RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Middelburg;G0687;10122;Zeeland;P29;29453;23691;81;;23610;7098;7296;2877;2316;1206;1517;448;469;142;43;97;46;;18;20;11;6;;;;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;11883;9576;20;;9556;2505;2792;1188;499;182;1880;121;324;37;5;8;6;2;1;1;2;1;;2;;;;;;
Middelstum;G0027;11199;Groningen;P20;2069;1864;6;;1858;777;589;120;81;60;5;135;68;;;6;2;;1;11;2;1;;;;;;;;
Middenschouwen;G0688;10837;Zeeland;P29;1925;1642;5;;1637;605;394;310;77;22;136;35;50;3;;2;;;;;1;1;;1;;;;;;
Midwolda;G0028;10356;Groningen;P20;3042;2721;9;;2712;938;1267;164;86;75;3;38;90;4;1;3;3;;27;10;1;1;;1;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;7300;6239;17;;6222;3116;1451;885;497;186;7;2;2;15;29;10;7;5;1;;3;4;;2;;;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;7908;6760;15;;6745;4026;1705;532;243;137;4;4;2;8;31;35;11;1;;1;2;2;;1;;;;;;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4008;3256;8;;3248;1234;1489;229;194;77;;1;8;4;;8;1;;;;2;;;1;;;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;4477;3839;15;;3824;2241;788;462;198;97;;1;2;13;9;7;4;;;1;1;;;;;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;2295;2071;11;;2060;609;312;293;114;36;553;20;97;9;2;8;;1;;3;2;1;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;7450;6161;20;;6141;1863;1733;1325;748;297;5;33;22;54;7;19;9;5;11;5;2;1;1;1;;;;;;
Monster;G0562;10019;Zuid-Holland;P28;14595;11759;37;;11722;6290;1867;1627;667;224;494;204;111;147;11;30;20;11;2;6;9;1;;1;;;;;;
