RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Wessem;G0989;10127;Limburg;P31;1696;1273;12;;1261;707;343;113;50;25;3;4;;2;2;3;2;5;;1;;;;1;;;;;;
West Maas en Waal;G0668;10042;Gelderland;P25;12925;10926;36;;10890;5940;3013;1116;465;196;18;18;12;28;29;25;4;;3;2;7;3;9;2;;;;;;
Westerbork;G0134;11095;Drenthe;P22;5715;5259;14;;5245;1306;2197;1096;301;145;57;48;47;18;5;6;5;;4;9;;;;1;;;;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;1314;1205;0;;1205;707;293;106;57;34;;1;1;3;;2;;;;;1;;;;;;;;;
Wester-Koggenland;G0558;10354;Noord-Holland;P27;9273;8054;23;;8031;4065;1536;1519;511;241;3;11;17;32;13;40;15;4;3;10;5;2;4;;;;;;;
Westerschouwen;G0725;10701;Zeeland;P29;4402;4654;13;;4641;1460;1262;1200;298;83;142;40;77;37;6;12;13;;1;7;1;2;;;;;;;;
Westervoort;G0293;11085;Gelderland;P25;10814;8659;21;;8638;3075;3007;1183;790;348;6;72;32;56;13;23;11;;2;6;3;3;3;5;;;;;;
Westkapelle;G0726;10931;Zeeland;P29;2022;1835;3;;1832;580;585;268;78;32;224;22;29;10;1;1;2;;;;;;;;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;18766;15896;63;;15833;4515;7406;2227;805;458;32;93;124;64;7;45;15;;8;29;3;2;;;;;;;;
Westvoorne;G0614;10009;Zuid-Holland;P28;10541;8914;32;;8882;2364;2383;2852;765;257;55;38;39;70;5;26;4;7;9;1;3;4;;;;;;;;
Wierden;G0189;10676;Overijssel;P23;16177;14851;15;;14836;9078;2347;1324;586;185;539;116;584;30;5;9;11;3;1;5;3;2;7;1;;;;;;
Wieringen;G0462;11277;Noord-Holland;P27;6188;5021;11;;5010;1107;2032;1254;362;141;2;12;20;32;1;15;13;1;7;4;4;1;2;;;;;;;
Wieringermeer;G0463;10239;Noord-Holland;P27;8560;7136;15;;7121;2748;1900;1424;519;253;43;78;90;14;1;16;12;1;6;7;2;3;3;1;;;;;;
Wijchen;G0296;10723;Gelderland;P25;24909;20235;27;;20208;9310;6334;2210;1432;584;14;43;24;50;65;49;22;;5;15;9;3;17;22;;;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;1010;893;5;;888;345;213;203;70;33;1;4;3;4;6;2;3;;;1;;;;;;;;;;
Wijhe;G0190;10888;Overijssel;P23;5318;4816;10;;4806;2279;1575;490;231;101;17;41;51;7;2;5;4;;1;1;;1;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;10938;9021;20;;9001;2994;2440;1853;972;442;64;44;69;48;18;15;19;8;;6;2;5;;;;;2;;;
Willemstad;G0872;10827;Noord-Brabant;P30;2522;2162;7;;2155;818;622;424;152;51;29;11;27;10;2;3;5;;;1;;;;;;;;;;
Winschoten;G0052;10453;Groningen;P20;15680;13098;28;;13070;2348;7509;1432;707;559;16;152;137;35;18;53;12;;62;22;2;4;;2;;;;;;
Winsum;G0053;11135;Groningen;P20;4627;4171;8;;4163;1399;1504;438;275;259;7;228;27;5;2;11;1;;1;1;;4;;1;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;21368;18034;52;;17982;5627;7126;3231;1123;488;22;95;104;39;22;52;15;;9;7;3;5;12;2;;;;;;
Wisch;G0295;10318;Gelderland;P25;15043;12216;49;;12167;5658;3668;1606;673;298;17;56;61;36;9;28;12;;1;5;11;6;18;4;;;;;;
Wissenkerke;G0727;10243;Zeeland;P29;2428;2208;3;;2205;961;566;316;93;61;115;43;25;15;;6;1;;2;1;;;;;;;;;;
Wittem;G0990;11371;Limburg;P31;5934;5620;21;;5599;2887;1744;440;284;144;8;11;6;20;12;21;7;5;3;5;2;;;;;;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;7716;5913;16;;5897;2327;1880;935;433;127;6;15;17;83;11;22;24;;1;5;8;3;;;;;;;;
Woerden;G0632;10974;Utrecht;P26;24786;20971;61;;20910;9229;3856;3372;1804;627;917;206;432;169;197;35;32;3;3;10;8;1;;3;;5;1;;;
Wognum;G0466;10818;Noord-Holland;P27;5254;4410;10;;4400;2550;635;712;304;123;;10;5;15;5;28;6;3;;1;;2;1;;;;;;;
Wormer;G0467;10648;Noord-Holland;P27;8628;7297;17;;7280;2105;2505;1034;762;643;16;26;71;36;3;44;6;3;15;1;3;2;2;3;;;;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;3702;3200;5;;3195;1625;525;530;300;89;48;12;20;12;8;15;2;4;1;1;1;1;;1;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;7167;6349;21;;6328;2476;1031;1120;392;170;686;118;272;26;11;14;6;1;2;;1;;;;;;2;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;9858;8618;18;;8600;3925;2101;923;344;182;452;299;285;30;20;20;6;1;3;6;3;;;;;;;;;
Wouw;G0875;10808;Noord-Brabant;P30;6501;5034;28;;5006;2498;1341;703;293;91;3;6;5;37;1;10;11;;;1;2;3;;1;;;;;;
Wûnseradiel;G0710;10454;Fryslân;P21;8266;7326;25;;7301;3402;2272;727;387;255;20;90;72;16;2;17;20;;3;11;3;4;;;;;;;;
Wymbritseradiel;G0683;11427;Fryslân;P21;10444;9345;22;;9323;5261;1953;888;577;306;37;96;130;11;7;33;9;;1;9;2;1;;2;;;;;;
Zaanstad;G0479;11044;Noord-Holland;P27;95974;75950;234;;75716;17384;30379;11716;7175;5522;299;511;549;934;167;342;127;119;309;39;48;26;53;17;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;6867;5722;16;;5706;1633;2093;888;535;262;117;61;38;30;16;12;9;;2;1;3;;6;;;;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;12728;9955;33;;9922;2327;2678;3427;951;258;10;35;31;84;2;47;16;15;6;8;2;4;18;1;;2;;;;
Zederik;G0707;10618;Zuid-Holland;P28;9440;8458;25;;8433;3569;1723;1019;374;107;1108;105;367;20;2;18;6;4;2;5;2;1;;1;;;;;;
Zeeland;G0877;10759;Noord-Brabant;P30;4228;3612;9;;3603;2397;666;237;137;80;8;3;4;5;47;7;6;;1;1;2;;;2;;;;;;
Zeevang;G0478;11121;Noord-Holland;P27;4343;3727;15;;3712;814;1081;1217;387;150;3;8;4;19;4;8;2;6;4;1;3;;1;;;;;;;
Zeewolde;G0050;10012;Flevoland;P24;4259;3792;3;;3789;1284;682;1080;355;78;46;100;126;15;2;4;5;;4;7;;;;1;;;;;;
Zeist;G0355;10324;Utrecht;P26;45247;36383;115;;36268;11096;8973;8082;3430;1554;1100;728;449;303;81;330;45;31;10;21;12;5;;3;6;4;5;;;
Zelhem;G0298;11159;Gelderland;P25;8774;7191;25;;7166;3175;2281;917;378;109;133;24;80;24;7;9;7;;1;3;7;8;3;;;;;;;
Zevenaar;G0299;10938;Gelderland;P25;20166;16232;38;;16194;7196;4791;2087;1323;455;19;75;68;70;20;39;15;;4;15;5;4;6;2;;;;;;
Zevenbergen;G0878;10046;Noord-Brabant;P30;15616;9049;52;;8997;3708;2799;1409;619;200;10;111;30;56;6;18;15;;3;2;4;2;;5;;;;;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;2021;1762;4;;1758;1004;226;306;106;25;34;7;29;6;4;3;4;;1;;;1;;1;;1;;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;4686;4083;8;;4075;1340;1093;867;344;67;233;37;51;16;2;13;2;3;;1;1;1;;4;;;;;;
Zierikzee;G0732;10843;Zeeland;P29;7544;6305;15;;6290;1898;2224;1054;441;199;175;49;200;14;3;10;10;;2;10;1;;;;;;;;;
Zijpe;G0476;10004;Noord-Holland;P27;6321;5236;9;;5227;2037;1473;1062;358;194;4;14;19;17;4;24;9;4;3;;1;;3;1;;;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;67204;53909;130;;53779;14632;15338;10870;7099;1751;838;534;528;672;970;229;80;96;20;40;32;8;;39;;3;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6137;5090;15;;5075;2618;829;837;471;178;31;23;11;21;3;27;5;14;1;3;2;1;;;;;;;;
Zuidhorn;G0056;10021;Groningen;P20;5332;4810;4;;4806;1355;1224;625;407;146;18;958;44;3;7;8;3;;4;4;;;;;;;;;;
Zuidlaren;G0136;10002;Drenthe;P22;8263;7087;32;;7055;1721;2379;1574;621;202;9;397;70;19;13;10;7;;5;28;;;;;;;;;;
Zuidwolde;G0137;10262;Drenthe;P22;7132;6189;23;;6166;2539;1643;1173;390;137;36;156;58;16;1;6;3;;;6;;2;;;;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;10306;7480;38;;7442;4151;1743;926;352;187;4;4;6;30;7;18;8;;;1;4;;;1;;;;;;
Zutphen;G0301;10254;Gelderland;P25;23283;18829;40;;18789;4511;8483;2472;1573;1085;34;183;97;74;50;142;23;26;18;6;8;2;;2;;;;;;
Zwartsluis;G0192;10303;Overijssel;P23;3216;2818;6;;2812;1291;756;268;118;53;68;135;106;4;2;5;2;;4;;;;;;;;;;;
Zweeloo;G0138;10872;Drenthe;P22;2155;2045;5;;2040;509;776;512;112;63;2;15;31;6;4;4;;;3;1;;;;2;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;31418;25611;67;;25544;8341;7740;3948;2189;742;985;674;425;282;49;56;28;29;7;22;10;8;;9;;;;;;
Zwolle;G0193;10093;Overijssel;P23;71356;56895;65;;56830;18109;19410;7474;4877;2622;428;2111;1079;198;171;140;75;22;28;31;26;7;14;8;;;;;;
