RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Warnsveld;G0291;10838;Gelderland;P25;6707;5406;;8;5398;1726;1400;931;563;400;118;102;13;48;6;24;19;17;8;14;7;0;0;1;1;0;0
Wassenaar;G0629;10164;Zuid-Holland;P28;18398;15082;;11;15071;2037;7676;2633;1365;563;174;109;34;51;65;32;115;57;41;23;52;16;14;;8;2;4
Wateringen;G0630;11329;Zuid-Holland;P28;11146;8728;;9;8719;1555;3288;2311;659;359;133;73;8;56;85;35;42;38;26;14;7;14;4;4;5;2;1
Waterland;G0852;10983;Noord-Holland;P27;13410;11029;;15;11014;2759;3713;1733;1234;791;224;97;15;58;70;68;115;41;38;22;9;17;3;;4;1;2
Weerselo;G0188;10893;Overijssel;P23;6827;5928;;14;5914;1052;947;3282;235;171;37;11;0;13;49;18;25;18;24;5;8;16;2;;0;0;1
Weert;G0988;11081;Limburg;P31;35957;24687;;47;24640;7416;6968;4992;1777;1529;833;76;13;29;262;190;88;128;51;23;97;34;17;102;2;9;4
Weesp;G0457;10773;Noord-Holland;P27;13728;10138;;13;10125;2861;2921;1402;1090;913;233;79;28;63;71;216;90;45;24;27;19;6;24;;7;4;2
Wehl;G0292;11116;Gelderland;P25;5237;3861;;5;3856;1398;570;1361;198;167;60;7;3;1;27;6;12;3;23;3;4;11;1;0;0;0;1
Werkendam;G0870;10078;Noord-Brabant;P30;19072;14670;;12;14658;3414;2939;3779;706;531;295;828;1652;195;89;30;76;26;29;21;14;7;0;14;8;4;1
Wervershoof;G0459;11270;Noord-Holland;P27;6139;4818;;8;4810;1190;1387;1343;347;237;85;16;3;8;26;51;46;21;21;11;7;6;0;;1;2;2
West Maas en Waal;G0668;10042;Gelderland;P25;13878;10853;;14;10839;3596;2776;2786;617;491;287;22;7;16;;49;44;80;16;11;6;15;2;;11;0;7
Wester-Koggenland;G0558;10354;Noord-Holland;P27;9901;8011;;6;8005;1905;2520;2033;673;412;161;27;2;13;33;41;62;37;27;20;23;8;2;;3;1;2
Westerveld;G1701;10186;Drenthe;P22;14547;12158;;0;12158;4476;3527;1699;1029;662;270;118;12;111;;51;46;35;44;21;37;4;5;;4;4;3
Westervoort;G0293;11085;Gelderland;P25;11336;8274;;10;8264;2999;2006;1229;740;664;294;85;3;75;39;27;18;24;19;6;8;3;10;6;5;3;1
Weststellingwerf;G0098;11322;Fryslân;P21;19233;14212;;17;14195;5535;2960;2837;886;920;416;227;22;77;83;53;;40;66;19;31;;3;;13;7;
Westvoorne;G0614;10009;Zuid-Holland;P28;10797;8418;;7;8411;2034;3673;1001;809;334;194;62;44;34;45;25;61;26;33;14;13;1;2;3;2;1;0
Wierden;G0189;10676;Overijssel;P23;17108;14680;;6;14674;2676;2658;6123;600;401;168;1309;394;78;36;64;70;20;35;10;10;12;4;;3;0;3
Wieringen;G0462;11277;Noord-Holland;P27;6508;4672;;4;4668;1572;1644;432;393;240;139;17;1;20;39;61;32;14;37;6;13;1;2;;4;1;0
Wieringermeer;G0463;10239;Noord-Holland;P27;9053;7021;;7;7014;1918;1967;1645;490;346;173;156;33;66;26;27;49;39;41;15;11;5;0;;2;2;3
Wijchen;G0296;10723;Gelderland;P25;28109;21052;;27;21025;6867;5130;4616;1775;1248;875;71;5;39;;66;62;108;54;27;32;24;15;;4;2;5
Wijhe;G0190;10888;Overijssel;P23;5646;4563;;6;4557;1487;757;1565;264;216;72;68;18;33;12;2;18;3;17;13;3;3;5;;1;0;0
Wijk bij Duurstede;G0352;10760;Utrecht;P26;16435;12638;;16;12622;3327;3756;1973;1284;1053;261;236;286;106;44;28;122;33;38;25;20;11;7;7;3;2;0
Winschoten;G0052;10453;Groningen;P20;14936;10709;;15;10694;5029;1739;1350;594;856;447;206;4;129;66;64;18;28;24;18;19;6;3;;92;2;
Winsum;G0053;11135;Groningen;P20;10245;8625;;21;8604;2832;1264;2039;708;698;201;105;14;579;17;23;36;23;30;19;7;2;0;;5;2;
Winterswijk;G0294;11119;Gelderland;P25;21817;16577;;11;16566;6443;4088;3054;1146;886;379;179;12;69;35;53;49;45;52;17;19;6;8;14;4;6;2
