RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Heerlen;G0917;10902;Limburg;P31;72837;45717;;58;45659;13555;7840;7976;3220;3199;7357;192;29;109;439;488;186;390;77;77;187;180;47;65;20;11;15
Heeze-Leende;G1658;10462;Noord-Brabant;P30;11695;9209;;24;9185;2173;2421;2659;845;541;191;11;4;14;58;99;34;35;50;3;11;8;2;26;;0;0
Heiloo;G0399;10793;Noord-Holland;P27;16800;13925;;20;13905;3370;4761;2446;1730;940;210;83;5;52;38;43;63;47;50;20;18;8;2;;16;1;2
Heino;G0162;10854;Overijssel;P23;5916;4811;;8;4803;1242;859;1685;370;253;68;93;1;144;13;10;18;10;26;7;2;1;0;;0;0;1
Helden;G0918;10205;Limburg;P31;14206;9699;;17;9682;2397;2359;3196;552;572;229;11;9;8;112;50;39;68;28;10;16;8;2;8;2;3;3
Hellendoorn;G0163;10806;Overijssel;P23;27066;22133;;19;22114;5538;3163;9356;981;861;420;771;83;470;80;80;140;48;60;11;20;13;10;;4;4;1
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;27361;18772;;20;18752;5873;6563;1435;1759;1333;692;211;75;80;116;133;199;87;61;29;42;7;14;29;10;3;1
Helmond;G0794;10932;Noord-Brabant;P30;57146;37100;;59;37041;11894;9134;6323;2716;2465;2857;129;23;65;425;250;149;233;88;44;43;58;52;73;;13;7
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;15280;12085;;16;12069;2823;3248;1888;888;439;196;551;1576;197;52;38;63;31;20;9;11;6;9;10;1;3;10
Hengelo;G0164;10907;Overijssel;P23;59588;45992;;60;45932;14625;9499;9660;3966;3386;2275;567;43;533;196;445;168;148;81;54;103;45;104;;14;14;6
Hengelo;G0248;10359;Gelderland;P25;6518;5190;;12;5178;1562;1191;1777;239;161;78;32;6;8;27;18;12;10;35;6;6;7;0;1;1;0;1
Het Bildt;G0063;10128;Fryslân;P21;7664;5814;;6;5808;1898;886;1947;319;330;170;97;7;58;23;18;;16;16;8;6;;4;;4;1;
Heteren;G0251;10290;Gelderland;P25;6495;5013;;8;5005;1434;1079;1316;403;259;95;121;132;35;39;19;31;7;12;3;5;3;1;7;4;0;0
Heumen;G0252;10600;Gelderland;P25;11466;9164;;6;9158;2483;2409;2155;1074;643;201;23;3;10;;22;14;43;18;31;9;12;1;;2;2;3
Heusden;G0797;10307;Noord-Brabant;P30;30939;23279;;5;23274;6706;6084;5010;1996;1284;1060;105;65;50;213;150;110;145;81;41;36;29;16;77;;7;9
Heythuysen;G0920;10840;Limburg;P31;9018;6696;;3;6693;1474;1619;2338;475;365;147;23;2;6;48;46;24;34;23;5;23;14;1;15;3;4;4
Hillegom;G0534;11236;Zuid-Holland;P28;15411;11862;;7;11855;2990;3901;2432;992;684;240;117;68;41;48;50;102;71;58;18;15;12;7;;3;1;5
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;10884;8604;;10;8594;2327;1914;2781;640;480;206;13;2;7;32;32;27;37;32;9;6;10;4;23;9;1;2
Hilversum;G0402;11285;Noord-Holland;P27;64075;47170;;68;47102;13104;13629;6186;5666;4105;1434;856;310;486;261;199;224;186;141;92;88;51;29;;23;23;9
Hoevelaken;G0253;11358;Gelderland;P25;6245;5060;;7;5053;1010;1612;831;483;222;62;192;392;133;18;8;27;20;21;3;3;3;4;7;0;2;0
Holten;G0165;11246;Overijssel;P23;6939;6064;;3;6061;1748;1675;1737;441;167;65;95;7;19;11;9;22;10;27;8;8;1;6;;2;3;0
Hontenisse;G0675;11123;Zeeland;P29;6103;4530;;3;4527;1573;987;1172;234;270;120;30;7;6;33;14;19;27;13;8;3;6;1;1;2;1;
Hoogeveen;G0118;10839;Drenthe;P22;39993;29722;;27;29695;9329;4581;8602;1657;1326;756;1527;294;1036;;109;202;65;97;37;25;9;11;;19;5;8
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;25287;17998;;38;17960;7989;3124;1946;1361;1250;994;218;29;508;80;162;68;62;33;28;29;11;23;;34;11;
Hoorn;G0405;11392;Noord-Holland;P27;46642;34170;;48;34122;10415;9708;4033;3742;3295;1203;364;23;65;160;244;335;224;66;54;72;34;26;;42;8;9
Horst;G0923;11108;Limburg;P31;14559;10045;;14;10031;2629;1799;3574;589;471;696;17;7;11;44;26;26;25;38;13;17;23;0;11;4;6;5
Houten;G0321;10230;Utrecht;P26;21634;17523;;17;17506;4085;4747;3035;2191;1408;344;512;443;316;47;51;141;54;30;21;19;24;17;8;7;5;1
Huissen;G0255;11047;Gelderland;P25;11796;8819;;6;8813;2753;2341;1879;928;464;189;45;4;23;15;37;33;40;21;12;14;8;0;4;0;3;0
Huizen;G0406;11170;Noord-Holland;P27;30820;23637;;30;23607;5146;7323;3806;2576;1546;381;1357;531;330;93;109;116;80;67;36;50;6;28;;11;2;13
Hulst;G0677;11408;Zeeland;P29;13773;9368;;15;9353;3384;2308;1849;700;485;226;49;6;9;103;67;40;35;27;15;15;17;4;5;5;4;
Hummelo en Keppel;G0256;11235;Gelderland;P25;3586;3009;;2;3007;872;900;720;255;107;61;17;10;7;7;3;9;2;17;1;7;2;3;6;0;1;0
Hunsel;G0925;10784;Limburg;P31;4433;3156;;7;3149;858;679;1095;165;172;64;1;1;2;30;28;10;12;7;5;5;8;0;6;0;1;0
IJsselham;G0195;10858;Overijssel;P23;4256;3518;;9;3509;1010;823;997;188;114;74;127;11;64;12;15;24;6;13;8;15;3;2;;2;1;0
IJsselmuiden;G0191;10641;Overijssel;P23;9906;8606;;20;8586;1128;930;2601;238;192;100;1445;1580;263;17;13;26;8;19;6;3;8;5;;1;1;2
IJsselstein;G0353;10152;Utrecht;P26;18533;13918;;16;13902;3660;4244;2262;1499;925;359;258;296;55;81;26;78;46;28;22;15;10;15;16;4;1;2
Jacobswoude;G0645;10461;Zuid-Holland;P28;8139;6561;;17;6544;1225;2095;1679;639;346;117;96;96;26;43;28;50;22;43;15;12;6;1;;0;5;0
Kampen;G0166;10253;Overijssel;P23;24079;18760;;32;18728;4918;2602;4653;873;1216;531;1758;900;904;95;45;70;60;33;30;12;11;11;;2;4;0
Kapelle;G0678;11223;Zeeland;P29;8113;6380;;2;6378;1514;1560;1433;418;271;93;281;598;102;20;20;26;11;17;0;7;0;0;6;0;1;
Katwijk;G0537;10707;Zuid-Holland;P28;29395;22133;;24;22109;3824;4265;5837;901;837;433;2155;3099;338;85;75;98;72;39;12;20;6;8;;2;1;2
Kerkrade;G0928;10313;Limburg;P31;36659;22641;;100;22541;9106;3481;4443;1054;1634;1579;24;14;27;335;226;91;120;51;57;90;77;25;78;15;4;10
Kerkwijk;G0257;10791;Gelderland;P25;4859;3944;;5;3939;640;749;708;179;95;57;488;928;33;;10;16;4;15;5;8;0;0;;2;2;0
Kessel;G0929;10890;Limburg;P31;3214;2506;;9;2497;653;684;773;126;108;53;0;4;0;34;22;10;6;12;0;5;2;0;5;0;0;0
Kesteren;G0258;10916;Gelderland;P25;7095;5750;;5;5745;1505;866;654;184;149;66;213;1992;41;;6;23;13;21;5;4;0;2;;1;0;0
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;9505;7215;;20;7195;1716;846;2988;259;394;256;355;102;171;37;15;;11;27;3;7;;4;;3;1;
Korendijk;G0588;10914;Zuid-Holland;P28;7831;6226;;2;6224;1522;1623;876;372;224;86;246;1038;54;33;22;54;21;25;8;8;0;2;6;2;0;2
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;21415;17157;;12;17145;4769;4496;1877;1450;677;290;630;2145;417;91;44;89;58;38;20;27;7;11;;3;1;5
Laarbeek;G1659;10173;Noord-Brabant;P30;16275;12336;;30;12306;3894;2680;3238;753;870;464;12;6;7;103;58;44;53;28;7;22;24;8;26;;5;4
Landerd;G1685;10276;Noord-Brabant;P30;10728;8365;;28;8337;2324;1818;2612;419;342;603;2;1;5;41;30;47;25;29;12;3;12;1;11;;0;0
Landgraaf;G0882;11335;Limburg;P31;31011;20359;;15;20344;6861;3924;4046;1351;1476;1772;34;13;58;196;123;69;121;29;29;132;48;15;28;9;3;7
Landsmeer;G0415;11225;Noord-Holland;P27;8013;6474;;7;6467;2011;2220;530;704;493;202;53;15;23;36;28;65;21;31;17;4;2;2;;6;2;2
Langedijk;G0416;10955;Noord-Holland;P27;17107;13549;;12;13537;3334;4116;2709;1331;1001;325;222;20;157;62;36;95;41;30;21;24;4;3;;1;2;3
Laren;G0417;10649;Noord-Holland;P27;9022;7266;;1;7265;1332;3152;1166;839;392;145;25;11;10;18;21;20;25;54;11;17;19;3;;1;1;3
Leek;G0022;10604;Groningen;P20;13895;10708;;10;10698;3552;1855;2321;861;608;193;199;29;825;34;87;51;19;26;8;11;5;4;;7;3;
Leerdam;G0545;10685;Zuid-Holland;P28;14874;11161;;20;11141;3131;2569;2005;632;436;366;691;812;223;76;24;80;25;29;5;5;2;12;8;4;6;0
Leersum;G0326;11142;Utrecht;P26;5470;4644;;5;4639;1021;1570;755;436;269;78;103;249;41;20;11;38;19;13;9;4;1;0;1;0;1;0
Leeuwarden;G0080;11228;Fryslân;P21;69362;50737;;63;50674;19293;8125;8151;4862;5092;2678;796;87;722;181;125;;173;92;98;109;;33;;34;23;
Leeuwarderadeel;G0081;10851;Fryslân;P21;7482;6250;;15;6235;2269;1063;1620;462;388;161;121;6;64;14;14;;8;20;3;16;;3;;1;2;
Leiden;G0546;10702;Zuid-Holland;P28;89592;67051;;124;66927;19926;16545;5957;9774;8224;3602;701;205;443;382;163;175;176;97;195;200;45;46;;42;20;9
Leiderdorp;G0547;10058;Zuid-Holland;P28;18148;14378;;11;14367;3456;4669;2198;1845;1098;317;167;144;94;55;84;82;47;36;23;28;9;10;;1;2;2
Leidschendam;G0548;10742;Zuid-Holland;P28;26007;20227;;22;20205;4378;6696;3903;2152;1230;882;168;41;104;125;72;172;103;45;18;33;32;40;;5;2;4
Lelystad;G0995;11110;Flevoland;P24;44325;29845;;45;29800;9286;7984;3065;2930;2426;1202;521;164;321;248;439;327;226;118;70;371;23;33;;34;12;
Lemsterland;G0082;10142;Fryslân;P21;9149;6883;;12;6871;2314;1386;1733;420;313;163;233;45;24;29;18;;13;23;3;7;;2;;144;1;
Leusden;G0327;10978;Utrecht;P26;20539;16903;;13;16890;3450;5478;3070;2087;1073;239;274;227;600;56;58;96;60;46;25;20;9;2;6;5;4;5
Lichtenvoorde;G0260;10242;Gelderland;P25;13885;11011;;9;11002;3077;2116;4223;653;511;183;15;3;12;32;24;33;29;39;9;9;11;6;12;1;1;3
Liemeer;G1673;10487;Zuid-Holland;P28;4964;3784;;5;3779;620;1272;1092;270;154;70;100;52;18;42;16;26;5;27;3;3;5;1;;1;1;1
Lienden;G0261;11093;Gelderland;P25;5890;4638;;6;4632;1492;1377;613;265;148;53;148;408;40;;8;33;9;27;1;5;2;0;;2;0;1
Liesveld;G0694;11205;Zuid-Holland;P28;6808;5803;;14;5789;1292;1170;1162;229;151;64;658;772;196;21;16;25;5;10;7;3;2;1;2;1;2;0
Limmen;G0418;11370;Noord-Holland;P27;4807;3963;;2;3961;981;1346;826;409;207;62;9;6;4;10;9;36;10;15;3;18;7;0;;1;2;0
Lingewaal;G0733;11376;Gelderland;P25;7940;6265;;5;6260;1753;1525;1433;379;199;122;380;302;67;;14;35;6;26;7;4;2;0;;3;3;0
Lisse;G0553;10197;Zuid-Holland;P28;16414;13093;;11;13082;2735;4032;2949;1104;611;213;287;632;124;45;66;93;58;73;21;15;13;3;;4;2;2
Lith;G0808;11219;Noord-Brabant;P30;4861;3758;;12;3746;992;816;1089;196;141;407;2;3;5;29;10;9;11;22;3;2;3;1;4;;1;0
Littenseradiel;G0140;10422;Fryslân;P21;7636;6168;;3;6165;1804;1142;1952;548;362;138;89;3;51;10;9;;2;19;9;23;;2;;1;1;
Lochem;G0262;11263;Gelderland;P25;14686;11863;;5;11858;3820;3370;2217;1196;676;221;87;8;37;39;39;23;24;48;24;8;6;2;11;1;1;0
Loenen;G0329;11202;Utrecht;P26;6461;5410;;5;5405;1102;1813;1018;682;295;67;108;100;59;18;25;52;24;23;6;2;2;0;5;1;3;0
Loon op Zand;G0809;11259;Noord-Brabant;P30;17031;11916;;14;11902;3625;3204;2759;861;619;345;25;106;29;65;69;40;30;55;7;22;8;2;20;2;8;1
Loosdrecht;G0330;10639;Utrecht;P26;6990;5584;;8;5576;1002;2426;948;609;206;42;94;63;44;8;17;37;17;39;6;7;6;0;5;0;0;0
Lopik;G0331;10333;Utrecht;P26;9762;7898;;10;7888;1491;1949;2106;369;256;104;667;619;78;72;22;63;22;30;6;7;4;7;12;0;3;1
Loppersum;G0024;10934;Groningen;P20;8151;6482;;5;6477;2003;845;1826;407;473;174;173;33;432;15;16;13;12;11;15;10;1;0;;11;7;
Losser;G0168;11166;Overijssel;P23;16951;12893;;19;12874;4019;2388;4486;681;550;289;45;15;26;81;109;42;31;27;22;14;21;7;;13;4;4
Maarn;G0332;10392;Utrecht;P26;4575;4022;;2;4020;767;1428;713;482;237;40;56;137;32;11;27;30;12;16;6;9;9;1;2;0;0;5
Maarssen;G0333;10191;Utrecht;P26;30036;22713;;19;22694;6087;7418;3052;2684;1624;486;472;109;156;126;91;126;60;57;40;23;14;31;26;3;5;4
Maartensdijk;G0334;10691;Utrecht;P26;7061;5972;;1;5971;1071;1833;1001;615;305;107;249;589;63;16;21;33;9;21;13;13;0;7;4;1;0;0
Maasbracht;G0933;10964;Limburg;P31;10682;7502;;36;7466;2153;1784;1912;456;485;205;46;5;18;77;132;26;35;39;19;40;12;0;20;2;0;0
Maasbree;G0934;11352;Limburg;P31;9446;6880;;21;6859;1543;1820;2266;473;370;116;9;1;8;86;45;23;25;16;18;14;11;1;6;0;4;4
Maasdonk;G1671;10370;Noord-Brabant;P30;8486;6345;;2;6343;1791;1337;1932;272;221;566;1;1;5;56;29;21;18;67;6;6;6;2;5;;1;0
Maasdriel;G0263;10341;Gelderland;P25;7146;5195;;5;5190;1354;1576;1432;283;202;166;10;14;12;;26;23;27;42;4;9;2;3;;1;4;0
Maasland;G0555;10393;Zuid-Holland;P28;4918;4159;;4;4155;621;1296;1481;237;138;49;164;43;52;10;13;20;9;8;9;2;0;0;2;0;0;1
Maassluis;G0556;10880;Zuid-Holland;P28;24313;17817;;31;17786;5353;5195;2865;1439;851;488;497;149;221;138;226;129;74;41;25;16;15;11;36;7;8;2
Maastricht;G0935;10182;Limburg;P31;94381;60579;;55;60524;19792;11573;10919;6415;6030;2983;169;23;137;455;357;130;816;103;93;203;154;63;61;18;25;5
Margraten;G0936;11243;Limburg;P31;10447;8232;;42;8190;1963;1734;2767;695;532;182;18;7;16;68;44;33;25;22;16;34;19;3;10;1;1;0
Markelo;G0169;11382;Overijssel;P23;5557;4820;;14;4806;1325;1711;1102;250;159;72;53;21;11;24;22;18;5;22;5;2;0;0;;4;0;0
Marum;G0025;11431;Groningen;P20;7266;5588;;18;5570;1831;1145;1392;352;244;109;128;14;198;43;25;35;11;28;5;1;1;2;;5;1;
Maurik;G0264;10300;Gelderland;P25;5182;3940;;6;3934;1400;1185;648;276;116;88;51;43;10;;21;32;19;31;4;6;1;1;;0;0;2
Medemblik;G0420;11215;Noord-Holland;P27;5584;3896;;2;3894;1070;1070;765;323;288;136;48;4;31;31;21;48;20;11;6;2;6;2;;7;4;1
Meerlo-Wanssum;G0993;11416;Limburg;P31;5549;4069;;10;4059;1103;807;1425;253;220;107;2;2;2;23;32;17;9;14;13;4;11;0;7;1;5;2
Meerssen;G0938;10494;Limburg;P31;16079;12000;;37;11963;3291;2689;3069;1031;1025;364;28;3;12;106;90;26;51;24;6;53;58;8;24;0;3;2
Meijel;G0941;10925;Limburg;P31;4366;2947;;10;2937;873;674;895;142;138;66;3;1;0;32;53;10;12;13;4;8;4;0;9;0;0;0
Menaldumadeel;G0083;11144;Fryslân;P21;10296;8384;;16;8368;2968;1518;2217;642;484;223;118;16;73;27;20;;12;21;7;7;;3;;5;7;
Menterwolde;G1987;11282;Groningen;P20;9571;7219;;14;7205;3541;1141;631;452;362;624;92;5;162;36;52;25;12;28;5;8;1;3;;22;3;
Meppel;G0119;11204;Drenthe;P22;22350;17547;;0;17547;6231;4074;2802;1497;1061;516;374;38;599;;77;98;54;34;20;31;6;21;;7;7;0
Middelburg;G0687;10122;Zeeland;P29;33301;24713;;26;24687;6658;4766;3748;2107;1970;842;1623;1902;442;108;162;93;77;48;26;40;6;24;19;15;11;
Middelharnis;G0559;11067;Zuid-Holland;P28;12439;9194;;13;9181;2411;1897;1143;452;337;170;887;1565;114;44;27;49;30;14;10;7;4;2;11;1;5;1
Middenveld;G1697;10520;Drenthe;P22;24256;19582;;13;19569;7115;4139;4396;1381;998;429;244;49;395;;69;120;58;93;21;18;0;18;;12;10;4
Mierlo;G0814;10215;Noord-Brabant;P30;7633;5938;;13;5925;1722;1477;1335;586;353;216;18;4;9;44;63;27;22;15;8;10;7;4;4;;0;1
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8474;6470;;15;6455;1998;1266;2195;228;277;269;2;4;15;45;30;34;19;32;9;8;10;1;9;;1;3
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4447;3117;;6;3111;1451;594;566;219;145;74;8;1;8;;9;6;8;6;5;3;5;2;;1;0;0
Monster;G0562;10019;Zuid-Holland;P28;15070;11377;;19;11358;1989;3899;2918;726;366;138;304;438;193;107;37;71;50;39;12;12;33;3;15;1;3;4
Montfoort;G0335;10033;Utrecht;P26;9753;8038;;6;8032;1639;2391;1643;712;469;96;400;431;38;58;20;50;22;24;12;6;9;7;4;1;0;0
Mook en Middelaar;G0944;10271;Limburg;P31;5688;4472;;7;4465;1200;1303;917;526;310;110;4;0;9;12;15;7;9;8;12;7;7;8;1;0;0;0
Moordrecht;G0563;10120;Zuid-Holland;P28;5370;4110;;14;4096;1142;1143;611;354;196;118;132;214;58;38;15;27;7;14;5;4;3;14;;0;1;0
Muiden;G0424;10958;Noord-Holland;P27;5214;4379;;9;4370;1138;1450;609;690;235;71;35;9;20;19;18;30;12;19;2;10;0;2;;0;1;0
Naaldwijk;G0565;11418;Zuid-Holland;P28;21115;16442;;14;16428;2555;6078;5141;939;468;175;352;156;105;129;76;81;38;52;23;16;10;2;22;5;0;5
Naarden;G0425;10187;Noord-Holland;P27;12637;10431;;10;10421;2041;4496;1324;1425;628;109;97;53;59;24;30;33;16;32;12;23;7;4;;2;5;1
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;3982;3234;;2;3232;749;1089;647;347;180;63;27;15;11;8;11;37;14;18;10;3;1;0;;1;0;1
Nederlek;G0643;10050;Zuid-Holland;P28;11222;9335;;22;9313;3126;2639;1054;783;367;158;216;655;95;47;44;56;24;25;8;12;1;0;;0;1;2
Nederweert;G0946;10681;Limburg;P31;12140;8947;;39;8908;2489;1875;3139;457;370;206;16;1;5;96;87;39;28;35;11;16;14;1;22;1;0;0
Neede;G0266;10367;Gelderland;P25;8659;6997;;9;6988;2612;1408;1785;453;284;143;53;3;104;30;23;35;11;25;3;6;3;2;4;0;1;0
Neerijnen;G0304;10125;Gelderland;P25;8244;6520;;19;6501;2026;1659;1132;356;198;96;182;687;59;;13;38;13;23;10;3;3;0;;2;0;1
Niedorp;G0412;10923;Noord-Holland;P27;8491;6397;;6;6391;2078;1893;945;644;414;161;20;2;18;30;20;73;23;31;13;13;6;2;;1;1;3
Nieuwegein;G0356;10374;Utrecht;P26;46350;34153;;29;34124;9818;10038;4648;3721;2565;1072;464;190;253;219;89;261;469;88;41;50;23;52;40;10;10;3
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;14767;11439;;9;11430;2674;3775;1617;1176;540;201;488;445;210;57;46;85;33;30;19;18;4;7;;3;0;2
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8230;6345;;4;6341;1341;1938;1452;630;356;120;187;105;19;52;18;37;23;42;6;5;3;2;;3;2;0
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6417;5449;;9;5440;1534;745;587;208;142;78;757;1172;112;26;14;34;11;9;0;5;1;0;3;2;0;0
Nieuwleusen;G0170;10384;Overijssel;P23;6208;5008;;10;4998;1212;862;1766;200;120;72;154;141;356;10;23;23;5;30;6;11;1;0;;2;3;1
Nijefurd;G0104;10768;Fryslân;P21;8069;6503;;5;6498;1727;1103;2335;409;443;158;139;14;40;16;48;;20;24;7;7;;3;;4;1;
Nijkerk;G0267;10446;Gelderland;P25;19849;15024;;14;15010;2972;3195;4168;811;607;176;1017;1032;620;120;50;90;34;64;14;11;3;8;7;4;3;4
Nijmegen;G0268;11209;Gelderland;P25;117713;84293;;190;84103;27432;14152;11023;9665;13282;5847;304;39;233;;460;185;402;106;548;123;99;85;;47;56;15
Noord-Beveland;G1695;10250;Zeeland;P29;5444;4327;;9;4318;1155;1197;926;253;191;147;109;192;35;17;14;32;7;24;4;9;0;2;4;0;0;
Noordenveld;G1699;10699;Drenthe;P22;23875;18931;;12;18919;7055;4849;2423;1940;1271;400;178;36;421;;95;76;64;41;31;16;5;5;;9;2;2
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7710;6101;;5;6096;1671;1975;850;650;385;106;155;65;39;24;27;58;30;29;5;17;8;0;;0;1;1
Noordoostpolder;G0171;10144;Flevoland;P24;29877;24004;;54;23950;5465;5194;7054;1617;1137;454;1095;439;821;103;110;171;59;102;31;40;27;5;;17;9;
Noordwijk;G0575;10769;Zuid-Holland;P28;18932;14047;;7;14040;3285;4940;2523;1146;1035;380;255;42;72;75;56;66;72;43;18;14;7;2;;2;1;6
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11496;9037;;7;9030;1887;3191;2109;774;521;182;43;13;14;38;43;62;49;48;15;18;10;6;;4;0;3
Nootdorp;G0577;10601;Zuid-Holland;P28;6815;5357;;8;5349;1019;1966;1230;527;256;91;51;19;36;32;24;29;26;19;5;6;7;2;;1;1;2
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;17536;14073;;11;14062;3598;4173;2833;1738;892;350;51;12;52;61;53;73;46;38;11;38;17;3;16;;6;1
Nunspeet;G0302;10512;Gelderland;P25;18818;15597;;6;15591;2018;3036;3384;564;408;157;2227;3227;227;87;29;87;30;56;18;10;5;8;8;3;2;0
Nuth;G0951;10104;Limburg;P31;13070;9937;;14;9923;2817;1959;2814;689;766;426;18;2;13;99;102;45;42;21;13;47;29;1;15;0;1;4
Obdam;G0429;11338;Noord-Holland;P27;4713;3846;;4;3842;850;1161;1091;334;218;65;8;3;0;21;15;30;9;10;7;9;7;1;;3;0;0
Oegstgeest;G0579;10287;Zuid-Holland;P28;14407;12231;;13;12218;2345;4435;1728;1890;944;216;160;28;186;33;40;48;39;21;25;46;13;14;;2;2;3
Oirschot;G0823;10225;Noord-Brabant;P30;13212;10160;;46;10114;2880;2301;3183;647;534;240;9;5;4;85;47;48;31;29;12;10;7;4;32;;3;3
Oisterwijk;G0824;10103;Noord-Brabant;P30;19167;14280;;12;14268;3740;4077;3461;1246;929;411;46;7;16;55;52;58;55;33;9;21;23;5;16;4;4;0
Oldebroek;G0269;11106;Gelderland;P25;16004;12208;;15;12193;2328;1530;2795;345;225;165;2408;1670;545;54;18;39;16;35;6;6;0;0;7;0;1;0
Oldenzaal;G0173;11100;Overijssel;P23;23342;18559;;22;18537;5572;4225;5086;1410;1193;486;29;3;38;85;162;49;62;20;30;25;30;12;;6;7;7
Olst;G0174;10409;Overijssel;P23;7050;5662;;28;5634;1980;1275;1418;399;270;90;52;18;14;28;19;14;5;23;6;7;5;8;;2;0;1
Ommen;G0175;11069;Overijssel;P23;12223;10520;;10;10510;2077;1771;4131;517;305;128;250;45;1143;18;17;27;12;39;8;9;8;2;;1;2;0
Onderbanken;G0881;10492;Limburg;P31;6492;4580;;24;4556;1421;843;1254;251;311;226;10;3;9;76;38;22;29;6;10;19;14;4;4;4;2;0
Oostburg;G0692;10782;Zeeland;P29;13540;9590;;21;9569;3221;2758;1693;648;439;186;149;108;82;51;51;55;31;37;15;11;11;2;12;9;0;
Oosterhout;G0826;11280;Noord-Brabant;P30;38830;27459;;20;27439;8472;7698;4618;2735;1797;1003;111;11;61;184;144;153;108;71;72;41;28;48;51;20;6;7
Oostflakkee;G0580;10714;Zuid-Holland;P28;7770;5936;;13;5923;1986;1127;881;314;209;138;487;537;36;54;30;60;10;22;9;6;6;0;6;3;2;0
Ooststellingwerf;G0085;10836;Fryslân;P21;19432;15047;;40;15007;5815;2780;3121;935;1081;402;173;64;337;62;57;;37;71;20;31;;3;;14;4;
Oostzaan;G0431;11303;Noord-Holland;P27;6715;5227;;3;5224;1500;1833;361;505;541;134;88;19;20;61;26;61;22;22;6;14;1;4;;4;1;1
Ootmarsum;G0176;11079;Overijssel;P23;3500;3100;;5;3095;791;755;1156;158;134;25;7;2;3;9;25;10;6;4;3;5;1;0;;1;0;0
Opmeer;G0432;10609;Noord-Holland;P27;7928;6155;;4;6151;1543;1851;1594;487;323;106;35;4;11;18;33;55;33;20;8;9;12;2;;4;2;1
Opsterland;G0086;10005;Fryslân;P21;21331;16905;;21;16884;6175;2719;3555;1275;1081;570;334;69;845;54;38;;23;47;22;20;;7;;47;3;
Oss;G0828;10834;Noord-Brabant;P30;48477;34529;;35;34494;8704;7721;6147;2568;1260;7166;53;10;47;242;92;136;91;96;33;35;37;16;29;;6;5
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;16071;12574;;10;12564;3123;3400;1709;1209;671;223;599;1201;103;50;77;84;41;24;12;18;5;1;8;1;5;0
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9263;7192;;5;7187;1740;2441;1114;956;462;98;66;51;36;38;29;50;38;16;26;12;7;6;;0;1;0
Ouderkerk;G0644;10095;Zuid-Holland;P28;6142;5048;;25;5023;1230;1199;776;317;142;61;308;805;89;23;20;22;6;14;5;5;0;1;;0;0;0
Oudewater;G0589;10188;Utrecht;P26;7440;5987;;17;5970;1244;1618;1664;428;242;77;279;189;38;37;34;33;21;28;2;7;18;4;4;2;0;1
Papendrecht;G0590;10427;Zuid-Holland;P28;22140;16987;;12;16975;4832;4612;2557;1494;844;377;996;657;208;76;70;69;66;35;13;24;3;19;15;2;1;5
Pekela;G0765;10848;Groningen;P20;10367;7142;;9;7133;3526;838;942;269;757;281;204;12;51;57;37;25;16;17;18;2;7;2;;72;0;
Pijnacker;G0594;10031;Zuid-Holland;P28;14773;12374;;16;12358;2222;4081;2954;1355;637;182;198;229;158;83;26;77;44;35;22;13;16;3;;4;19;0
Purmerend;G0439;11066;Noord-Holland;P27;49882;35949;;28;35921;11137;12125;2807;3529;2819;1207;294;23;84;194;461;521;377;112;72;51;16;35;;37;7;13
Putten;G0273;11109;Gelderland;P25;16498;13461;;9;13452;2102;2742;4222;617;356;126;1475;1166;341;67;39;58;26;81;8;8;1;2;10;1;3;1
Raalte;G0177;10279;Overijssel;P23;21037;16805;;20;16785;4549;2676;7207;956;657;337;70;11;32;52;26;51;22;69;15;15;32;2;;1;1;4
