RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Hunsel;G0925;10784;Limburg;P31;4537;3649;;5;3644;1844;690;520;198;143;111;82;2;2;25;16;6;3;0;1;1;;;
IJsselstein;G0353;10152;Utrecht;P26;23910;19446;;24;19422;5291;4815;4548;1064;1063;892;957;276;235;84;114;43;9;6;5;12;4;4;
Jacobswoude;G0645;10461;Zuid-Holland;P28;8056;7040;;8;7032;2813;1086;1580;303;475;239;318;63;57;46;27;13;6;1;0;3;1;1;
Kampen;G0166;10253;Overijssel;P23;35479;30545;;31;30514;11702;6541;2619;1248;935;1147;546;3148;2487;;84;30;17;;7;3;;;
Kapelle;G0678;11223;Zeeland;P29;8586;7479;;5;7474;2969;1361;1153;238;325;237;190;248;689;29;19;6;10;0;0;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;30560;25087;;21;25066;12180;3061;2867;686;1165;544;457;1436;2410;113;83;17;14;23;4;2;2;2;
Kerkrade;G0928;10313;Limburg;P31;36593;24788;;24;24764;7516;8836;2614;2305;1610;913;428;78;10;161;184;29;45;10;13;12;;;
Kessel;G0929;10890;Limburg;P31;3205;2655;;11;2644;1354;496;409;91;130;65;53;5;2;9;19;10;0;0;1;0;;;
Kesteren;G0258;10916;Gelderland;P25;15664;13715;;9;13706;3606;3564;1682;327;506;210;235;401;3072;48;23;18;11;2;1;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;9946;8259;;19;8240;3955;1961;682;379;319;239;138;376;77;41;44;14;7;0;6;;;2;
Korendijk;G0588;10914;Zuid-Holland;P28;8164;7004;;6;6998;1932;1362;1230;254;525;162;190;157;1078;52;24;6;7;0;1;16;0;1;1
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;21886;18789;;20;18769;4335;4441;3373;686;1568;569;637;827;2133;89;55;18;23;3;2;4;5;1;
Laarbeek;G1659;10173;Noord-Brabant;P30;16304;13398;;9;13389;5525;2962;2128;1002;744;429;369;24;5;66;65;48;7;1;4;5;1;4;
Landerd;G1685;10276;Noord-Brabant;P30;10972;9389;;7;9382;4372;1766;1353;957;373;231;208;15;4;29;43;18;6;0;3;3;1;0;
Landgraaf;G0882;11335;Limburg;P31;30619;22226;;19;22207;7021;7064;2564;2389;1184;939;604;87;16;144;115;35;22;3;12;8;;;
Landsmeer;G0415;11225;Noord-Holland;P27;7913;6776;;6;6770;1119;2028;1821;377;557;339;402;36;14;41;30;1;1;0;4;;;0;
Langedijk;G0416;10955;Noord-Holland;P27;18373;15672;;15;15657;4846;3420;3660;833;748;833;822;285;19;68;80;19;10;4;7;;;3;
Laren;G0417;10649;Noord-Holland;P27;8600;7514;;4;7510;2090;1220;2796;276;293;298;445;24;2;41;13;4;5;1;0;1;;1;
Leek;G0022;10604;Groningen;P20;14203;12046;;5;12041;3220;4057;1757;650;449;525;367;838;59;41;50;18;5;0;4;;;1;
Leerdam;G0545;10685;Zuid-Holland;P28;15210;12511;;16;12495;3725;3249;1932;549;779;425;350;533;780;57;33;18;7;47;3;7;0;0;1
Leersum;G0326;11142;Utrecht;P26;5521;4859;;4;4855;1488;947;1238;152;231;263;212;89;198;18;8;5;3;0;0;1;0;2;
Leeuwarden;G0080;11228;Fryslân;P21;70999;57121;;47;57074;11161;23252;7046;5184;2186;3848;2222;1397;74;297;224;64;49;47;19;;;4;
Leeuwarderadeel;G0081;10851;Fryslân;P21;7794;6922;;7;6915;2119;2574;944;369;217;267;199;137;4;26;42;14;1;0;2;;;0;
Leiden;G0546;10702;Zuid-Holland;P28;88436;70757;;119;70638;10960;22285;12647;5559;4266;7115;5941;832;183;438;196;69;55;30;25;16;8;13;
Leiderdorp;G0547;10058;Zuid-Holland;P28;19533;16541;;24;16517;4305;3992;3964;784;948;933;1095;204;120;61;63;18;11;10;2;2;4;1;
Leidschendam-Voorburg;G1916;11103;Zuid-Holland;P28;56199;46554;;58;46496;13073;9791;11592;2308;3427;2351;2700;427;131;362;169;35;58;19;18;16;11;8;
Lelystad;G0995;11110;Flevoland;P24;49913;37122;;50;37072;6918;11173;7947;2577;3053;2163;1573;815;148;285;242;52;59;23;29;;;15;
Lemsterland;G0082;10142;Fryslân;P21;9775;8074;;3;8071;2623;2360;1320;456;454;256;205;170;34;36;50;10;3;3;90;;;1;
Leusden;G0327;10978;Utrecht;P26;21284;18808;;12;18796;6032;3706;4452;808;678;976;1035;737;229;50;54;18;8;1;6;3;1;2;
Lichtenvoorde;G0260;10242;Gelderland;P25;14218;12227;;10;12217;6143;2418;1806;635;392;375;311;20;2;25;45;27;3;0;2;11;;2;
Liemeer;G1673;10487;Zuid-Holland;P28;4827;3986;;3;3983;1820;508;843;157;267;110;110;75;45;15;10;19;3;0;0;1;0;0;
Liesveld;G0694;11205;Zuid-Holland;P28;6959;6328;;3;6325;2341;1065;986;189;289;112;115;504;663;23;24;5;2;0;2;4;0;0;1
Lingewaal;G0733;11376;Gelderland;P25;7946;6939;;3;6936;2375;1708;1215;206;469;178;182;272;266;19;31;8;3;1;3;;;;
Lingewaard;G1705;10744;Gelderland;P25;32394;26741;;19;26722;9885;7074;4630;1460;1080;1107;1108;94;15;109;92;28;28;1;7;3;;1;
Lisse;G0553;10197;Zuid-Holland;P28;16484;14087;;8;14079;5429;2177;2991;584;871;477;565;241;593;64;61;12;8;1;2;3;0;0;
Lith;G0808;11219;Noord-Brabant;P30;4977;4192;;13;4179;1776;753;670;467;242;99;100;12;0;7;25;14;6;2;1;3;1;1;
Littenseradiel;G0140;10422;Fryslân;P21;7879;6868;;4;6864;2565;1966;916;421;206;388;198;104;7;25;56;8;2;1;0;;;1;
Lochem;G0262;11263;Gelderland;P25;14946;12909;;8;12901;3761;3937;2857;546;399;625;582;57;11;55;34;22;5;5;0;3;;2;
Loenen;G0329;11202;Utrecht;P26;6268;5603;;0;5603;1691;1044;1483;255;287;251;347;82;99;33;13;7;8;0;1;2;0;0;
Loon op Zand;G0809;11259;Noord-Brabant;P30;17489;13761;;12;13749;5348;3023;2568;877;720;477;441;48;71;61;65;28;8;2;2;4;3;3;
Lopik;G0331;10333;Utrecht;P26;9896;8643;;8;8635;3862;1248;1295;289;555;209;163;444;488;27;41;8;4;1;1;0;0;0;
Loppersum;G0024;10934;Groningen;P20;8296;7198;;5;7193;2332;2349;745;364;231;399;183;444;77;25;25;9;5;0;5;;;0;
Losser;G0168;11166;Overijssel;P23;17007;14110;;7;14103;6429;3695;1890;622;545;426;325;61;4;;55;31;11;;5;4;;;
Maarn;G0332;10392;Utrecht;P26;4418;4063;;3;4060;1220;746;1151;152;167;187;231;55;112;19;10;1;6;3;0;0;0;0;
Maarssen;G0333;10191;Utrecht;P26;29803;24389;;25;24364;6285;6195;5738;1322;1496;1325;1222;340;101;157;79;24;26;9;8;13;20;4;
Maasbracht;G0933;10964;Limburg;P31;10711;8253;;4;8249;3590;1767;1274;476;493;284;198;47;5;55;46;6;4;0;3;1;;;
Maasbree;G0934;11352;Limburg;P31;9576;7844;;2;7842;3867;1359;1271;329;391;280;230;12;7;43;30;19;1;0;0;3;;;
Maasdonk;G1671;10370;Noord-Brabant;P30;8421;6998;;7;6991;3142;1204;1120;814;344;160;121;8;6;9;36;12;4;4;2;2;0;3;
Maasdriel;G0263;10341;Gelderland;P25;17794;14924;;6;14918;5889;2966;2902;764;1090;435;377;85;251;59;64;21;14;0;1;;;;
Maasland;G0555;10393;Zuid-Holland;P28;4995;4625;;8;4617;2358;527;867;111;326;128;122;117;27;19;9;0;1;2;2;1;0;0;0
Maassluis;G0556;10880;Zuid-Holland;P28;24582;19825;;17;19808;5555;4990;3984;962;2082;648;686;455;111;119;102;21;28;42;5;8;1;3;6
Maastricht;G0935;10182;Limburg;P31;95131;68453;;48;68405;18303;23218;9403;4831;3634;4607;3108;320;27;530;195;84;85;18;21;21;;;
Margraten;G0936;11243;Limburg;P31;10164;8721;;7;8714;4313;1797;1120;366;361;333;315;22;3;47;19;6;5;0;4;3;;;
Marum;G0025;11431;Groningen;P20;7484;6191;;6;6185;1868;1925;1010;295;340;199;188;244;32;29;38;12;4;0;1;;;0;
Medemblik;G0420;11215;Noord-Holland;P27;5794;4537;;5;4532;1336;999;978;282;433;184;156;60;7;30;26;11;1;23;5;;;1;
Meerlo-Wanssum;G0993;11416;Limburg;P31;5793;4787;;7;4780;2395;918;618;283;222;167;115;3;2;14;25;11;5;0;1;1;;;
Meerssen;G0938;10494;Limburg;P31;15590;12593;;8;12585;5297;3032;1845;658;623;553;383;34;1;84;41;11;16;1;4;2;;;
Meijel;G0941;10925;Limburg;P31;4449;3558;;15;3543;1771;673;573;157;195;78;53;0;2;18;13;8;1;0;1;0;;;
Menaldumadeel;G0083;11144;Fryslân;P21;10547;9192;;5;9187;2973;3175;1307;452;343;414;256;159;7;23;52;19;3;0;2;;;2;
Menterwolde;G1987;11282;Groningen;P20;9793;7873;;1;7872;1076;3979;1042;618;348;281;211;184;19;41;28;16;8;1;18;;;2;
Meppel;G0119;11204;Drenthe;P22;23062;19337;;16;19321;4762;6808;3483;1026;710;796;736;793;43;69;59;13;8;4;4;7;;;
Middelburg;G0687;10122;Zeeland;P29;34647;28516;;22;28494;7901;7364;3891;1914;1186;1627;990;1314;2007;164;74;18;23;10;11;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;13216;11003;;12;10991;3049;2525;1636;397;635;244;250;626;1527;46;30;11;4;0;1;0;1;2;7
Midden-Drenthe;G1731;10520;Drenthe;P22;24893;21451;;17;21434;6098;7759;3700;910;815;801;643;458;58;71;79;22;14;0;6;0;;;
Mierlo;G0814;10215;Noord-Brabant;P30;7728;6454;;4;6450;2490;1367;1172;440;364;251;261;25;0;30;23;16;3;1;1;2;1;3;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8527;7248;;6;7242;3461;1463;971;662;306;175;121;17;5;14;25;16;2;0;0;3;0;1;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4434;3574;;1;3573;1020;1422;481;226;135;130;109;6;2;18;9;14;1;0;0;;;;
Moerdijk;G1709;10046;Noord-Brabant;P30;28014;22275;;19;22256;7571;5186;4379;1427;1519;745;626;350;115;125;123;49;17;12;2;9;1;0;
Monster;G0562;10019;Zuid-Holland;P28;15186;12575;;14;12561;5283;1660;2551;309;1245;320;352;298;348;80;57;15;29;0;1;6;3;3;1
Montfoort;G0335;10033;Utrecht;P26;9731;8668;;5;8663;3298;1350;1611;301;647;366;329;282;396;29;32;7;5;3;4;3;0;0;
Mook en Middelaar;G0944;10271;Limburg;P31;6030;5151;;4;5147;1672;1230;1038;325;218;324;275;9;2;22;24;5;1;0;0;2;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;5736;4765;;4;4761;1286;1157;1015;188;382;168;191;108;185;35;25;7;3;2;0;7;2;0;
Muiden;G0424;10958;Noord-Holland;P27;4945;4401;;2;4399;998;1123;1176;223;212;220;362;30;7;21;13;11;3;0;0;0;;0;
Naaldwijk;G0565;11418;Zuid-Holland;P28;21285;18193;;14;18179;8532;2187;3891;456;1643;405;440;256;147;78;93;15;17;1;4;6;5;2;1
Naarden;G0425;10187;Noord-Holland;P27;12438;10953;;2;10951;2611;2111;3738;425;457;543;811;98;59;59;23;8;6;0;2;0;;0;
Nederlek;G0643;10050;Zuid-Holland;P28;11272;9872;;10;9862;2289;2762;2111;407;786;300;341;193;551;60;32;12;11;0;3;2;1;1;
Nederweert;G0946;10681;Limburg;P31;12303;9830;;14;9816;4576;2039;1646;462;555;243;180;7;1;31;41;15;4;2;8;6;;;
Neede;G0266;10367;Gelderland;P25;8646;7549;;3;7546;2519;2579;1206;300;313;227;200;124;5;28;27;13;1;0;3;1;;0;
Neerijnen;G0304;10125;Gelderland;P25;8480;7319;;15;7304;2212;1852;1360;232;381;171;157;134;734;32;21;13;3;0;2;;;;
Niedorp;G0412;10923;Noord-Holland;P27;8566;7165;;4;7161;1848;2020;1662;413;460;292;321;23;3;28;68;9;7;3;2;;;2;
Nieuwegein;G0356;10374;Utrecht;P26;47221;37503;;44;37459;9217;10629;7758;2449;2384;2083;1747;504;134;231;197;45;27;9;11;18;11;5;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;16217;13868;;18;13850;3761;2671;3513;539;1128;462;607;577;415;68;57;19;15;1;2;9;5;1;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8229;6928;;4;6924;2574;1186;1567;297;385;269;343;152;95;25;17;5;4;2;1;2;0;0;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6483;5778;;3;5775;1415;1288;525;181;272;112;77;567;1276;21;23;7;1;0;3;5;0;2;0
Nijefurd;G0104;10768;Fryslân;P21;8341;7266;;5;7261;3128;1729;949;386;280;327;169;155;11;25;78;11;8;0;5;;;0;
Nijkerk;G0267;10446;Gelderland;P25;27701;23717;;15;23702;9562;3926;4076;713;1032;759;690;1423;1338;62;54;31;14;3;6;9;;4;
Nijmegen;G0268;11209;Gelderland;P25;120126;92813;;152;92661;17714;30228;11244;11412;3561;11462;5235;562;50;414;271;139;82;240;47;;;;
Noord-Beveland;G1695;10250;Zeeland;P29;5588;4694;;5;4689;1659;1050;887;263;258;147;103;81;194;26;15;3;3;0;0;;;;
Noordenveld;G1699;10699;Drenthe;P22;24242;20780;;15;20765;4096;7772;4252;962;875;1081;975;485;45;94;69;28;16;5;7;3;;;
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7893;6730;;7;6723;1704;1601;1670;402;458;324;287;99;72;49;38;8;8;0;2;;;1;
Noordoostpolder;G0171;10144;Flevoland;P24;32124;27351;;11;27340;11344;5657;4044;1098;1187;922;749;1531;541;89;90;27;23;17;12;;;9;
Noordwijk;G0575;10769;Zuid-Holland;P28;18533;15259;;29;15230;4987;2869;4011;700;1001;673;613;151;32;78;61;18;16;0;8;3;2;7;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11166;9378;;12;9366;3714;1474;2211;438;638;369;348;39;8;49;43;14;8;1;6;2;0;4;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;17574;15285;;11;15274;5464;3004;3463;874;741;687;789;65;9;45;66;53;10;0;2;2;0;0;
Nunspeet;G0302;10512;Gelderland;P25;19268;17123;;14;17109;6919;1732;2121;370;668;311;309;1446;3116;48;28;13;13;2;4;7;;2;
Nuth;G0951;10104;Limburg;P31;12752;10505;;10;10495;4693;2587;1319;575;503;422;240;30;6;54;41;7;9;2;2;5;;;
Obdam;G0429;11338;Noord-Holland;P27;4880;4213;;2;4211;1757;746;933;177;181;160;160;16;3;28;36;9;3;0;1;;;1;
Oegstgeest;G0579;10287;Zuid-Holland;P28;15035;13348;;16;13332;3381;2684;3895;498;529;834;1139;205;30;76;38;5;5;2;2;3;1;5;
Oirschot;G0823;10225;Noord-Brabant;P30;13449;11256;;22;11234;5428;2075;1878;628;539;282;274;11;7;33;31;39;2;2;1;0;3;1;
Oisterwijk;G0824;10103;Noord-Brabant;P30;19405;16111;;7;16104;6290;3389;3247;1034;643;657;631;52;8;42;60;19;22;0;0;7;0;3;
Oldebroek;G0269;11106;Gelderland;P25;16717;14158;;5;14153;5888;2389;1181;315;450;187;167;1847;1655;26;25;15;3;1;1;3;;0;
Oldenzaal;G0173;11100;Overijssel;P23;23820;20224;;32;20192;8278;5169;3195;1171;696;859;650;72;5;;56;27;4;;7;3;;;
Olst-Wijhe;G1773;10409;Overijssel;P23;12759;11021;;8;11013;4151;3436;1619;463;356;467;299;113;38;;38;17;7;;6;3;;;
Ommen;G0175;11069;Overijssel;P23;12803;11336;;10;11326;5527;1771;1454;365;333;308;288;1127;107;;23;12;3;;5;3;;;
Onderbanken;G0881;10492;Limburg;P31;6365;4984;;7;4977;1964;1384;611;364;271;190;111;19;1;30;18;7;4;1;1;1;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;39952;31469;;34;31435;8916;8601;6678;2144;1818;1303;1367;110;14;152;143;55;34;82;6;4;2;6;
Oostflakkee;G0580;10714;Zuid-Holland;P28;7859;6452;;7;6445;1980;1836;859;236;415;132;151;250;496;43;33;2;4;1;1;4;1;0;1
Ooststellingwerf;G0085;10836;Fryslân;P21;20224;16832;;29;16803;4420;6467;2418;914;703;762;409;417;60;90;88;28;12;3;8;;;4;
Oostzaan;G0431;11303;Noord-Holland;P27;6900;5833;;6;5827;991;1660;1603;318;503;305;273;53;17;48;40;3;9;0;3;;;1;
Opmeer;G0432;10609;Noord-Holland;P27;8272;7037;;5;7032;2783;1395;1517;313;394;263;240;26;7;28;41;15;5;0;1;;;4;
Opsterland;G0086;10005;Fryslân;P21;21709;18474;;9;18465;4864;6748;2471;1096;610;873;527;964;107;38;96;28;13;1;28;;;1;
Oss;G0828;10834;Noord-Brabant;P30;57061;44723;;43;44680;13103;9551;7277;9167;1797;1465;1466;134;22;149;175;97;25;217;12;16;3;4;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;17241;14602;;13;14589;3996;3164;3047;580;1042;495;545;392;1130;81;69;9;24;0;3;7;0;0;5
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9838;8446;;7;8439;2302;1932;2081;431;431;456;595;66;47;54;25;10;5;0;0;3;;1;
Ouderkerk;G0644;10095;Zuid-Holland;P28;6028;5252;;6;5246;1520;1129;908;146;293;121;132;294;641;25;19;3;8;0;1;5;0;1;
Oudewater;G0589;10188;Utrecht;P26;7317;6341;;12;6329;2912;930;1127;214;396;173;185;191;143;22;20;6;4;0;1;4;0;1;
Overbetuwe;G1734;11188;Gelderland;P25;30180;25039;;16;25023;8888;6254;4208;1371;962;1131;1091;398;471;82;91;32;29;2;5;6;;2;
Papendrecht;G0590;10427;Zuid-Holland;P28;23020;19094;;13;19081;5515;4672;3840;804;1379;602;658;736;638;80;88;16;26;2;9;8;0;2;6
Pekela;G0765;10848;Groningen;P20;10287;7986;;10;7976;1308;4312;663;542;301;444;127;156;13;28;33;15;7;0;26;;;1;
Pijnacker-Nootdorp;G1926;10031;Zuid-Holland;P28;25262;21909;;34;21875;8095;3658;5152;741;1423;912;1067;339;196;112;121;15;21;1;4;8;8;2;
Purmerend;G0439;11066;Noord-Holland;P27;55709;43032;;38;42994;7417;13442;10093;2982;3725;2054;2059;330;27;364;315;58;54;12;51;;;11;
Putten;G0273;11109;Gelderland;P25;17251;15037;;9;15028;7035;1839;2045;328;792;333;302;1221;1001;48;49;18;3;7;2;1;;4;
Raalte;G0177;10279;Overijssel;P23;27409;23505;;21;23484;12744;4690;2725;851;643;806;629;251;31;;58;39;8;;6;3;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;9608;8559;;3;8556;3069;1152;2140;208;556;230;330;258;557;14;19;8;8;0;2;1;3;1;
Reiderland;G1661;11043;Groningen;P20;5531;4203;;7;4196;275;2227;359;483;216;163;49;22;2;17;16;5;4;1;354;;;3;
Reimerswaal;G0703;10077;Zeeland;P29;14960;12788;;9;12779;4067;1940;1518;433;641;215;177;304;3371;41;38;13;8;8;5;;;;
Renkum;G0274;11325;Gelderland;P25;24946;21149;;12;21137;5877;5623;4516;1130;722;1512;1137;296;84;126;48;16;40;2;3;4;;1;
Renswoude;G0339;10269;Utrecht;P26;3007;2689;;1;2688;1369;238;409;72;131;25;36;100;294;3;8;2;1;0;0;0;0;0;
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;9239;7591;;6;7585;3896;1320;1164;427;334;183;157;6;2;19;44;23;4;2;0;2;0;2;
Rheden;G0275;11355;Gelderland;P25;35110;29384;;25;29359;7231;9811;5307;2016;1163;1648;1337;473;62;139;99;23;32;5;6;2;;5;
Rhenen;G0340;10309;Utrecht;P26;13259;11325;;6;11319;3283;2564;1964;426;559;391;366;271;1375;45;46;10;14;1;2;2;0;0;
Ridderkerk;G0597;10646;Zuid-Holland;P28;35719;29322;;48;29274;7676;7747;4652;1190;2658;752;817;1114;2260;158;144;36;27;10;6;13;4;4;6
Rijnsburg;G0602;11118;Zuid-Holland;P28;10678;9096;;3;9093;4957;951;1334;183;386;208;192;648;163;33;26;3;1;5;0;2;0;1;
Rijnwaarden;G0196;10819;Gelderland;P25;8538;6758;;14;6744;2207;2273;991;392;358;211;181;24;4;39;41;13;6;0;3;1;;0;
Rijnwoude;G1672;11257;Zuid-Holland;P28;14284;12477;;15;12462;4602;2186;2433;507;696;395;533;325;656;43;44;20;10;1;0;9;1;1;
Rijssen;G0178;10358;Overijssel;P23;25907;23622;;18;23604;8656;3730;2262;504;609;381;351;1940;5079;;37;34;9;;5;7;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;38200;30351;;47;30304;7821;7139;6863;1420;2887;1508;1604;308;108;254;278;22;34;14;9;13;19;1;2
Roerdalen;G1669;10196;Limburg;P31;7901;6215;;10;6205;2531;1472;1072;342;351;214;141;13;1;33;18;1;12;0;3;1;;;
Roermond;G0957;11313;Limburg;P31;33719;23606;;25;23581;7214;6324;4237;1699;1454;1319;797;73;14;197;85;27;34;91;6;10;;;
Roggel en Neer;G1670;10505;Limburg;P31;6315;5060;;6;5054;2458;943;816;271;202;185;116;7;0;27;15;13;1;0;0;0;;;
Roosendaal;G1674;10407;Noord-Brabant;P30;57813;43652;;26;43626;13732;10639;8914;2987;3353;1754;1414;175;29;193;235;79;49;35;17;12;3;6;
Rotterdam;G0599;10345;Zuid-Holland;P28;429369;299923;;760;299163;43639;108252;44159;20504;41304;16837;11861;4261;2135;2307;1158;361;420;1140;186;230;302;;107
Rozenburg;G0600;11314;Zuid-Holland;P28;10114;7857;;12;7845;1864;2175;1558;475;792;270;315;186;41;53;70;10;17;1;5;6;2;0;5
Rozendaal;G0277;10684;Gelderland;P25;1190;1125;;0;1125;279;165;480;29;36;41;71;6;5;4;3;1;5;0;0;0;;0;
Rucphen;G0840;11152;Noord-Brabant;P30;17943;12260;;11;12249;3975;3534;2117;682;1269;257;193;26;3;58;72;29;22;2;4;2;0;4;
Ruurlo;G0278;10879;Gelderland;P25;6529;5521;;1;5520;1958;1453;1342;184;184;162;160;17;5;17;22;9;2;3;0;1;;1;
Sassenheim;G0604;10612;Zuid-Holland;P28;11123;9558;;11;9547;3610;1676;2219;441;543;421;420;70;22;48;44;13;9;1;1;3;6;0;
Schagen;G0441;10511;Noord-Holland;P27;13638;11228;;11;11217;2494;3332;2695;642;563;663;591;85;8;53;57;20;6;2;5;;;1;
Scheemda;G0039;10711;Groningen;P20;11108;9240;;5;9235;2051;4252;956;635;317;341;218;289;14;43;30;17;8;0;64;;;0;
