RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Ubbergen;G0282;10408;Gelderland;P25;7275;6326;;7;6319;2152;1790;918;457;217;465;225;26;7;31;15;4;9;1;2;;;;
Uden;G0856;11141;Noord-Brabant;P30;30229;24143;;25;24118;8826;4637;4774;2792;1168;780;783;59;10;99;83;53;12;27;6;6;1;2;
Uitgeest;G0450;11238;Noord-Holland;P27;8655;7471;;8;7463;2032;1962;1669;415;424;451;364;34;6;41;47;7;6;0;5;;;0;
Uithoorn;G0451;11206;Noord-Holland;P27;19785;16827;;18;16809;4993;3462;4663;816;943;700;847;139;19;97;77;10;24;2;4;9;;4;
Urk;G0184;10783;Flevoland;P24;10154;9271;;1;9270;4206;68;105;37;157;13;16;1558;3094;5;4;5;2;0;0;;;0;
Utrecht;G0344;10722;Utrecht;P26;199114;154451;;223;154228;25660;48302;25809;13576;7117;18387;11020;2068;444;777;476;104;124;219;64;35;29;17;
Vaals;G0981;10007;Limburg;P31;6106;4311;;2;4309;1647;1427;459;216;214;197;78;10;3;26;18;1;2;1;7;3;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2717;2340;;1;2339;1151;297;389;64;107;55;64;161;25;7;8;3;7;0;0;0;0;1;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;14003;11512;;7;11505;5509;2230;1467;967;465;388;321;29;4;72;21;12;11;0;4;5;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;23931;19441;;19;19422;6782;4542;3894;1467;1122;670;595;54;6;89;90;81;17;1;4;4;1;3;
Veendam;G0047;11292;Groningen;P20;21983;17244;;21;17223;2807;8552;2425;1031;665;541;548;403;24;82;68;17;8;30;18;;;4;
Veenendaal;G0345;11052;Utrecht;P26;43515;37096;;33;37063;13504;6520;5840;1305;1611;1139;771;3162;2924;85;99;51;23;8;7;13;1;0;
