RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Weert;G0988;11081;Limburg;P31;37482;27840;41;28;27771;6186;4092;6404;4119;3600;1393;1163;182;8;280;219;74;18;23;4;3;3;
Weesp;G0457;10773;Noord-Holland;P27;13578;10465;32;9;10424;2426;2360;1400;999;999;910;880;135;31;138;89;28;12;10;3;4;;
Werkendam;G0870;10078;Noord-Brabant;P30;19992;15595;20;13;15562;2613;1756;2582;3559;1224;449;447;1064;1632;100;88;29;3;5;3;6;2;
Wervershoof;G0459;11270;Noord-Holland;P27;6575;5134;13;4;5117;1293;628;838;1145;473;287;253;48;2;58;48;24;7;9;0;3;1;0
West Maas en Waal;G0668;10042;Gelderland;P25;14280;11233;9;8;11216;2546;1680;2098;2191;1399;526;491;54;7;108;69;21;8;12;2;0;4;
Westerveld;G1701;10186;Drenthe;P22;15313;12737;13;8;12716;3259;3284;1396;1610;993;683;893;252;48;175;48;58;5;8;1;2;1;
Westervoort;G0293;11085;Gelderland;P25;11773;8821;12;6;8803;1513;1854;1590;1035;1314;482;619;166;12;127;33;34;7;11;3;0;2;1
Westland;G1783;11418;Zuid-Holland;P28;75086;59879;71;52;59756;17386;5349;11228;13636;3447;2659;2091;1869;806;565;401;179;47;70;11;7;5;
Weststellingwerf;G0098;11322;Fryslân;P21;20329;15253;28;16;15209;3080;3813;2119;2186;1667;614;938;373;39;209;89;52;9;11;4;4;;2
Westvoorne;G0614;10009;Zuid-Holland;P28;11329;8881;6;3;8872;3257;1215;1579;962;624;490;364;108;43;134;51;26;9;8;0;1;1;
Wierden;G0189;10676;Overijssel;P23;17841;14689;22;9;14658;2776;1544;1937;4822;874;567;393;1168;364;86;69;32;14;9;2;0;1;
Wieringen;G0462;11277;Noord-Holland;P27;6798;5061;6;5;5050;1420;979;1058;398;514;216;254;57;6;81;37;16;6;2;2;1;3;0
Wieringermeer;G0463;10239;Noord-Holland;P27;9437;7348;16;5;7327;1940;1068;1227;1308;641;335;304;257;39;79;79;18;6;6;5;3;2;10
Wijchen;G0296;10723;Gelderland;P25;30603;24094;23;19;24052;4801;4173;4106;3995;3253;1628;1406;186;13;224;130;32;20;73;4;2;6;
Wijdemeren;G1696;10534;Noord-Holland;P27;18017;14699;10;6;14683;4895;2049;1923;2146;949;1184;839;277;77;185;89;49;14;4;1;2;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;17523;14020;20;5;13995;3574;2199;2150;1798;1436;966;929;352;301;164;53;49;6;9;2;4;3;
Winsum;G0053;11135;Groningen;P20;10635;8797;11;6;8780;1068;2429;657;1433;865;433;818;827;64;111;22;32;11;5;0;2;;3
Winterswijk;G0294;11119;Gelderland;P25;22105;16815;20;14;16781;3971;4113;1901;2274;2132;865;851;322;24;154;83;58;5;14;3;5;4;2
Woensdrecht;G0873;10602;Noord-Brabant;P30;16348;11695;25;4;11666;2691;1604;2752;1837;1275;504;483;78;9;174;199;27;14;10;3;5;1;
Woerden;G0632;10974;Utrecht;P26;36741;29963;51;22;29890;7223;4309;3614;5380;2040;2300;1759;1728;924;298;178;74;23;25;3;8;4;
Wormerland;G0880;10648;Noord-Holland;P27;12061;9363;17;10;9336;2163;1991;1359;947;1127;624;716;143;15;136;73;23;8;4;1;3;2;1
Woudenberg;G0351;11398;Utrecht;P26;8782;7244;11;5;7228;1512;730;787;1331;360;303;240;685;1158;62;28;17;8;5;0;2;0;
Woudrichem;G0874;10282;Noord-Brabant;P30;11046;8909;8;3;8898;1582;1023;1197;2203;772;279;295;1100;322;72;31;14;4;4;0;0;0;
Wûnseradiel;G0710;10454;Fryslân;P21;8926;6979;5;3;6971;1168;1372;741;1822;772;289;417;230;11;74;38;28;5;2;1;1;;0
Wymbritseradiel;G0683;11427;Fryslân;P21;12054;9787;8;12;9767;1749;1653;909;2795;985;528;569;403;25;67;36;36;5;3;1;3;;0
Zaanstad;G0479;11044;Noord-Holland;P27;108441;78681;130;71;78480;15544;19615;13762;5878;8977;4920;5834;1333;206;1428;539;212;101;59;16;23;22;11
Zaltbommel;G0297;10557;Gelderland;P25;19308;15433;16;10;15407;2845;2312;2115;2214;1063;825;679;1045;2021;146;67;49;6;10;2;8;0;
Zandvoort;G0473;10910;Noord-Holland;P27;13232;10024;14;7;10003;3482;1559;1913;752;696;671;538;39;4;202;56;43;30;7;11;0;;
Zederik;G0707;10618;Zuid-Holland;P28;9984;8429;4;9;8416;1412;949;917;2227;491;200;218;937;950;73;34;4;2;1;0;1;0;
Zeevang;G0478;11121;Noord-Holland;P27;4778;3940;6;6;3928;1297;721;634;330;289;241;255;33;3;69;41;6;2;3;1;1;2;0
Zeewolde;G0050;10012;Flevoland;P24;14615;11842;21;5;11816;3787;1280;1584;1605;773;678;592;1086;138;133;77;46;11;12;0;4;;10
Zeist;G0355;10324;Utrecht;P26;45297;35283;81;28;35174;9098;6704;4035;3712;2353;3506;3002;1222;631;498;110;202;51;27;8;8;7;
Zevenaar;G0299;10938;Gelderland;P25;25196;19088;28;4;19056;3676;3824;2894;3458;2336;1189;1073;168;17;227;99;48;13;19;2;4;6;3
Zijpe;G0476;10004;Noord-Holland;P27;8836;7258;7;4;7247;2098;1401;1046;1060;600;368;395;54;8;106;59;30;5;6;7;1;2;1
Zoetermeer;G0637;10766;Zuid-Holland;P28;92466;68885;111;77;68697;17036;13171;12516;6061;6417;5056;4132;1873;619;980;421;208;117;60;5;12;13;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6299;4963;7;2;4954;1178;801;648;983;387;394;351;59;33;70;23;15;5;7;0;0;0;
Zuidhorn;G0056;10021;Groningen;P20;13735;11475;13;10;11452;1472;2327;814;2212;965;569;862;1828;186;123;27;41;11;5;1;3;;6
Zuidplas;G1892;10855;Zuid-Holland;P28;30230;24252;51;18;24183;6473;3228;3593;3107;1915;1364;1015;1425;1486;275;208;42;18;25;3;3;3;
Zundert;G0879;11192;Noord-Brabant;P30;15924;11190;17;6;11167;2655;1343;2129;2579;1142;541;431;64;3;112;126;28;6;5;2;1;0;
Zutphen;G0301;10254;Gelderland;P25;35610;27133;34;25;27074;4328;7461;2912;2376;3281;2126;2846;770;34;514;107;235;32;30;2;8;8;4
Zwartewaterland;G1896;10746;Overijssel;P23;15653;12779;12;2;12765;1447;1530;1193;2746;740;278;266;2171;2270;57;43;12;5;2;2;3;0;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;34397;25471;35;21;25415;5268;4161;4703;3314;2486;1240;1083;1515;1036;358;144;54;20;28;1;3;1;
Zwolle;G0193;10093;Overijssel;P23;91293;69824;78;60;69686;11244;16748;6168;8557;6583;5362;6237;6835;473;813;249;200;115;65;18;9;10;
