RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Eindhoven;G0772;11298;Noord-Brabant;P30;159882;114834;215;142;114477;20950;23448;18490;12199;15729;10049;9088;1548;114;1465;580;359;235;139;36;30;18;
Elburg;G0230;11113;Gelderland;P25;16644;13400;14;7;13379;2018;1189;1572;2993;721;350;331;2273;1769;75;47;15;4;3;0;5;0;14
Emmen;G0114;11180;Drenthe;P22;84906;60174;100;39;60035;8297;17409;10414;8690;6635;2430;2902;1753;169;625;375;188;59;37;14;28;10;
Enkhuizen;G0388;10729;Noord-Holland;P27;13858;10584;18;11;10555;2201;2256;1603;1148;1312;659;718;221;130;185;54;40;14;5;4;4;0;1
Enschede;G0153;10364;Overijssel;P23;117830;82438;187;101;82150;14009;19891;12676;9148;8835;6922;5567;3094;184;920;417;201;143;76;29;26;12;
Epe;G0232;10940;Gelderland;P25;25752;19913;39;11;19863;4411;3951;2632;3337;1474;1071;882;1021;640;233;119;57;5;17;0;5;3;5
Ermelo;G0233;10732;Gelderland;P25;20295;16137;20;22;16095;3125;1782;1753;3840;1048;740;743;1853;895;166;55;43;10;11;2;8;1;20
Etten-Leur;G0777;10750;Noord-Brabant;P30;31614;22803;36;24;22743;5341;3813;4270;3292;2758;1393;1120;208;14;244;171;58;27;24;5;2;3;
Ferwerderadiel;G1722;11284;Fryslân;P21;6739;5039;12;5;5022;659;950;530;1422;586;178;226;344;25;70;11;15;4;0;0;2;;0
Franekeradeel;G0070;10404;Fryslân;P21;15827;11866;10;6;11850;1877;2866;1337;2400;1431;484;679;515;41;112;46;43;8;8;0;1;;2
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7985;6500;10;4;6486;1113;1106;718;1735;631;297;351;249;144;72;31;32;2;4;0;1;;0
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16577;11827;13;6;11808;2517;1977;2447;1705;1579;586;592;91;22;121;108;39;13;6;0;3;2;
Geldermalsen;G0236;10881;Gelderland;P25;19523;16152;20;19;16113;4054;2208;2812;2334;1005;825;718;424;1402;143;123;29;13;13;3;4;3;
Geldrop-Mierlo;G1771;10529;Noord-Brabant;P30;29315;21962;30;20;21912;4092;3491;3979;3516;3278;1446;1363;211;9;264;139;62;30;16;2;7;7;
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;21961;16372;19;21;16332;2878;1900;3003;4054;2709;624;724;69;6;138;158;34;9;17;4;2;3;
Gennep;G0907;10542;Limburg;P31;13314;9672;19;6;9647;1619;1486;1590;1605;2074;620;402;48;7;85;56;34;4;12;0;0;5;
Giessenlanden;G0689;10255;Zuid-Holland;P28;10915;9254;12;5;9237;2249;1338;1088;1785;622;384;294;895;449;63;39;15;7;5;1;1;2;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;19324;14447;17;8;14422;2988;2513;2603;2397;1844;869;779;83;9;151;119;25;14;18;4;2;4;
Goedereede;G0511;10981;Zuid-Holland;P28;8765;7444;10;3;7431;1394;714;944;1361;385;202;156;501;1654;62;32;19;1;0;0;5;1;
Goes;G0664;10674;Zeeland;P29;28652;21759;21;25;21713;3775;4089;2508;3716;2175;1230;1352;940;1391;316;116;61;24;15;1;4;;
Goirle;G0785;10971;Noord-Brabant;P30;17713;13572;10;25;13537;2916;2416;2101;2003;1963;1010;753;62;3;148;113;20;7;16;2;0;4;
Gorinchem;G0512;10942;Zuid-Holland;P28;25421;18799;35;13;18751;3842;4179;2877;1844;1938;1212;1161;921;348;242;91;46;22;15;10;1;2;
Gouda;G0513;10302;Zuid-Holland;P28;52501;41230;73;42;41115;7088;8908;6524;3969;3335;3131;3266;2195;1638;587;276;92;54;26;12;12;2;
Graafstroom;G0693;10451;Zuid-Holland;P28;6993;5986;8;2;5976;902;438;505;1596;277;134;145;931;988;27;16;11;1;3;1;1;0;
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4925;4120;7;2;4111;1231;791;543;562;357;285;238;18;1;43;28;5;4;2;0;2;0;1
Grave;G0786;10165;Noord-Brabant;P30;9517;7383;8;6;7369;1561;1090;1181;1222;1219;417;423;47;2;93;75;20;6;10;1;1;1;
Groesbeek;G0241;10616;Gelderland;P25;14979;11369;29;6;11334;1683;2327;2156;1983;1542;574;727;75;8;149;57;29;5;9;1;4;5;
Groningen;G0014;10426;Groningen;P20;150336;115613;160;166;115287;17693;33124;8534;7330;13319;12480;14558;4990;318;1877;254;345;238;125;32;16;;54
Grootegast;G0015;11080;Groningen;P20;9031;6869;9;6;6854;861;1072;842;1981;632;195;275;780;87;72;30;16;1;5;0;0;;5
Gulpen-Wittem;G1729;11032;Limburg;P31;11728;9472;8;17;9447;1326;1393;2424;1966;1015;360;619;99;7;142;45;43;1;5;1;0;1;
Haaksbergen;G0158;11435;Overijssel;P23;18804;14664;17;11;14636;2995;2479;2127;3600;1480;903;607;129;14;117;110;48;7;9;2;7;2;
Haaren;G0788;11155;Noord-Brabant;P30;10409;7717;14;7;7696;1842;1022;1022;1825;846;469;416;52;2;90;63;27;9;8;0;2;1;
Haarlem;G0392;10357;Noord-Holland;P27;112970;86478;181;78;86219;16363;22081;10450;6188;7891;9334;9812;1210;129;1765;403;317;128;94;39;15;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4114;3358;3;4;3351;957;561;557;443;241;267;208;27;4;47;19;11;6;2;0;1;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;103493;80329;154;67;80108;25393;12651;13160;8886;5500;5981;4223;1759;452;1091;581;205;97;72;28;29;;
Halderberge;G1655;10397;Noord-Brabant;P30;22672;16118;30;10;16078;3395;2486;3637;2744;1857;763;644;108;16;154;185;37;27;18;2;2;3;
Hardenberg;G0160;10174;Overijssel;P23;44470;34826;33;31;34762;5343;5439;4138;9114;2746;1059;1145;4703;497;263;175;71;29;26;5;7;2;
