RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Kloosterburen;G0021;10628;Groningen;P20;1321;1202;5;;1197;552;406;128;47;3;13;8;10;6;3;;1;4;3;8;5;;;;;;;;;;;
Klundert;G0804;10656;Noord-Brabant;P30;4657;4162;19;;4143;1971;975;630;205;95;24;7;38;149;4;6;1;18;3;2;7;1;;;2;1;0;1;;3;;
Kockengen;G0324;10765;Utrecht;P26;2185;2047;6;;2041;1131;226;319;89;161;18;12;12;49;8;1;1;3;4;;1;4;;;1;;;;;0;1;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;8742;7831;29;;7802;4116;2086;678;256;129;50;32;142;191;17;8;10;52;1;14;6;1;2;;10;1;;;;;;
Korendijk;G0588;10914;Zuid-Holland;P28;7009;6306;25;;6281;1729;1764;1200;290;1009;47;34;37;65;10;27;2;19;5;23;5;4;2;;3;;;6;;;;
Kortgene;G0682;10250;Zeeland;P29;2772;2526;4;;2522;766;827;580;123;123;24;13;11;25;3;8;;7;;5;4;;;;2;;;1;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;3107;2835;3;;2832;1263;577;645;174;32;44;19;7;20;9;6;7;12;6;5;2;1;;3;;;;;;;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;19991;17630;46;;17584;3979;5530;3951;1139;1981;143;99;238;189;60;71;31;40;34;25;18;27;3;15;6;5;;;;;;
Landgraaf;G0882;11335;Limburg;P31;29991;24644;96;;24548;8781;11220;2181;1145;13;204;120;27;26;97;116;204;18;119;29;21;;14;127;3;9;63;9;;2;;
Landsmeer;G0415;11225;Noord-Holland;P27;6498;5886;16;;5870;1072;2280;1421;582;12;127;99;7;26;128;31;8;10;9;23;7;12;12;;;3;;1;;;;
Langbroek;G0325;11413;Utrecht;P26;1432;1345;6;;1339;562;250;190;41;212;16;10;18;26;1;5;;1;2;1;;2;;;;1;;;1;0;0;
Langedijk;G0416;10955;Noord-Holland;P27;10045;8972;22;;8950;3880;1994;1877;597;10;97;108;73;93;63;33;7;13;29;24;17;15;7;;1;11;;1;;;;
Laren;G0417;10649;Noord-Holland;P27;9725;8561;7;;8554;2772;1551;3160;593;27;125;131;22;25;32;11;7;18;21;32;12;2;3;;3;4;;3;;;;
Leek;G0022;10604;Groningen;P20;12468;11171;29;;11142;3086;4283;1872;666;22;134;101;712;98;27;18;7;53;7;10;19;5;1;;7;;;11;3;;;
Leende;G0805;11017;Noord-Brabant;P30;3032;2810;10;;2800;1791;303;523;118;1;18;12;2;3;3;4;;3;2;3;5;;;;;1;8;;;0;;
Leens;G0023;11050;Groningen;P20;2620;2369;5;;2364;726;871;275;61;7;29;46;284;22;14;1;9;8;5;3;1;1;;;;;;;1;;;
Leerdam;G0545;10685;Zuid-Holland;P28;12528;11191;45;;11146;3319;3645;1819;609;872;53;43;170;413;36;66;7;22;13;22;10;12;3;;6;2;;4;;;;
Leersum;G0326;11142;Utrecht;P26;4860;4467;10;;4457;1427;981;1343;236;263;65;21;31;41;4;10;3;17;4;4;2;2;;;;1;;;2;0;0;
Leeuwarden;G0080;11228;Fryslân;P21;65319;57181;188;;56993;13636;28313;7101;3577;137;870;820;691;482;367;108;193;291;73;77;108;43;16;;62;14;;14;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;6365;5908;13;;5895;1856;2447;846;406;8;59;54;57;55;9;7;9;37;9;2;6;6;2;;18;;;2;;;;
Leiden;G0546;10702;Zuid-Holland;P28;81487;68392;200;;68192;14926;28000;13227;5644;377;1468;1464;309;318;778;255;622;183;163;106;63;82;53;77;13;64;;;;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;15623;13978;29;;13949;4451;3246;3941;1335;139;291;148;79;75;29;39;39;36;21;27;13;13;4;17;1;5;;;;;;
Leidschendam;G0548;10742;Zuid-Holland;P28;23988;21205;77;;21128;8502;4526;5219;1719;60;254;155;123;70;49;83;79;44;41;64;30;34;1;59;7;9;;;;;;
Leimuiden;G0549;11351;Zuid-Holland;P28;3335;2992;9;;2983;1585;397;694;175;11;27;20;7;21;4;3;1;12;3;5;8;3;1;5;1;;;;;;;
Lelystad;G0995;11110;Flevoland;P24;37936;31432;62;;31370;6687;13603;5302;3046;149;492;275;287;192;325;389;88;81;122;138;62;46;38;;11;20;;17;;;;
Lemsterland;G0082;10142;Fryslân;P21;8030;7171;14;;7157;2521;2838;883;375;61;46;40;22;186;31;4;4;31;5;5;9;2;89;;4;;;1;;;;
Leusden;G0327;10978;Utrecht;P26;18195;16709;39;;16670;6472;2954;4475;1214;270;286;102;562;113;41;23;4;57;25;28;18;10;2;;5;3;;;4;1;1;
Lichtenvoorde;G0260;10242;Gelderland;P25;12534;11439;28;;11411;7059;2249;1316;454;;111;109;10;6;11;8;8;15;9;12;21;;;;1;;10;;2;0;;
Liempde;G0806;10390;Noord-Brabant;P30;2958;2749;4;;2745;1694;648;253;90;2;20;15;2;2;1;1;6;1;4;1;3;1;;;;;1;;;0;;
Lienden;G0261;11093;Gelderland;P25;4707;4238;19;;4219;1136;1652;786;127;354;23;19;18;48;6;12;1;16;6;7;4;;1;;;;0;1;1;1;;
Lieshout;G0807;10637;Noord-Brabant;P30;4187;3769;9;;3760;2148;921;423;158;3;34;15;1;1;10;8;16;4;6;4;2;;1;;;1;2;1;;1;;
Liesveld;G0694;11205;Zuid-Holland;P28;6089;5677;31;;5646;1999;1213;952;214;796;27;16;154;215;9;11;;12;3;4;5;9;;;6;1;;;;;;
Limmen;G0418;11370;Noord-Holland;P27;3741;3410;2;;3408;1737;660;700;181;1;36;31;3;6;18;4;1;9;7;6;3;;2;;1;1;;1;;;;
Linne;G0932;10990;Limburg;P31;2900;2531;13;;2518;1340;671;347;99;1;20;10;2;1;2;2;;2;;6;7;;;2;;;5;1;;0;;
Linschoten;G0328;11324;Utrecht;P26;3006;2722;5;;2717;1300;375;514;149;222;45;15;21;41;5;5;1;13;1;3;3;1;;;;1;;;1;0;1;
Lisse;G0553;10197;Zuid-Holland;P28;14443;13070;21;;13049;6119;2132;2790;701;624;180;111;77;125;32;27;18;21;22;17;16;8;;21;6;2;;;;;;
Lith;G0808;11219;Noord-Brabant;P30;4283;3776;9;;3767;2163;939;417;144;1;24;8;1;2;1;1;39;2;4;7;8;3;;;;;1;1;;1;;
Littenseradiel;G0140;10422;Fryslân;P21;7111;6547;12;;6535;2685;1953;1201;335;5;95;59;29;48;15;7;9;54;7;13;8;2;1;;5;1;;3;;;;
Lochem;G0262;11263;Gelderland;P25;13696;12370;34;;12336;3596;4252;3090;798;9;182;119;36;59;35;16;8;38;21;35;17;4;2;;3;2;;;6;5;3;
Loenen;G0329;11202;Utrecht;P26;5171;4672;15;;4657;1673;930;1392;288;123;69;33;47;36;15;9;3;6;11;11;4;2;1;;;1;;;2;0;1;
Loon op Zand;G0809;11259;Noord-Brabant;P30;14938;12907;31;;12876;6491;3306;2028;600;93;105;92;13;8;17;20;21;7;14;22;21;3;1;;2;4;4;3;1;0;;
Loosdrecht;G0330;10639;Utrecht;P26;6391;5782;22;;5760;1885;984;2222;379;85;44;30;26;30;12;12;4;11;8;12;4;2;;;5;;;;3;0;2;
Lopik;G0331;10333;Utrecht;P26;5402;4880;17;;4863;2426;1025;614;183;356;27;33;28;110;4;8;1;13;3;5;9;4;;;3;4;;;7;0;0;
Loppersum;G0024;10934;Groningen;P20;2815;2587;6;;2581;933;935;322;92;7;29;30;147;32;5;2;3;30;4;4;4;;;;2;;;;;;;
Losser;G0168;11166;Overijssel;P23;16065;14333;42;;14291;7653;4278;1395;526;5;149;86;17;34;32;25;20;15;17;10;17;2;2;;3;3;;;;2;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;1902;1729;4;;1725;1114;319;192;52;1;16;7;;;1;;1;3;1;2;4;2;;;;1;7;2;;0;;
Maarheeze;G0811;11143;Noord-Brabant;P30;6193;5343;15;;5328;3172;817;989;205;3;33;31;9;1;6;2;2;3;9;7;;5;3;;3;3;10;15;;0;;
