RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;1993;1842;8;;1834;920;516;256;106;1;9;4;;6;;4;;1;;3;2;4;;;;;0;2;;0;;
Staphorst;G0180;11362;Overijssel;P23;8591;8085;38;;8047;2158;878;915;154;2554;24;22;693;594;2;9;1;13;7;4;5;1;;;10;2;;;;1;;
Stede Broec;G0532;11337;Noord-Holland;P27;12637;10898;16;;10882;4715;2955;1880;698;21;176;160;18;42;95;23;15;7;29;17;13;10;6;;;1;;1;;;;
Stedum;G0041;10771;Groningen;P20;1406;1323;2;;1321;551;443;106;52;3;25;19;68;14;16;1;2;13;;4;1;1;;;1;;;;1;;;
Steenbergen;G0851;10731;Noord-Brabant;P30;10361;8615;28;;8587;3273;3135;1518;416;18;46;57;7;3;11;17;4;11;10;18;14;12;3;;1;2;4;1;4;2;;
Steenderen;G0280;10497;Gelderland;P25;3397;3199;14;;3185;1785;729;468;96;12;25;25;;17;6;3;1;5;5;;4;;;;3;;;;1;0;0;
Steenwijk;G0181;10546;Overijssel;P23;15560;14018;37;;13981;4651;5623;2031;719;47;162;138;183;237;24;20;10;36;24;20;31;11;3;;7;4;;;;0;;
Stein;G0971;11319;Limburg;P31;19841;17163;92;;17071;7933;5841;1700;912;7;159;151;11;10;50;66;17;8;30;18;19;;2;82;2;2;44;6;;1;;
Stevensweert;G0972;11203;Limburg;P31;1242;1105;4;;1101;650;283;115;36;;5;4;;;;;;;;;2;;;4;;;2;;;0;;
Stramproy;G0973;11186;Limburg;P31;3485;3094;11;;3083;1901;702;279;118;;24;16;1;;4;3;10;5;6;2;3;;1;3;1;;4;;;0;;
Strijen;G0617;10558;Zuid-Holland;P28;6291;5579;27;;5552;1540;1984;1208;283;253;28;53;24;82;16;14;2;21;9;21;4;6;;;1;;;3;;;;
Susteren;G0974;10457;Limburg;P31;9648;8448;44;;8404;4267;2731;770;340;2;79;71;2;9;12;16;4;7;10;11;9;;3;38;;1;21;;;1;;
Swalmen;G0975;10474;Limburg;P31;6296;5040;30;;5010;2327;1801;538;188;2;36;45;6;3;11;11;;1;9;8;6;;3;6;1;;8;;;0;;
't Zandt;G0054;10956;Groningen;P20;1803;1640;7;;1633;426;780;230;65;2;20;21;37;14;6;1;;20;3;2;4;;;;1;1;;;;;;
Tegelen;G0976;11333;Limburg;P31;13107;10709;43;;10666;5064;3672;1085;507;2;84;47;39;11;19;36;12;6;8;15;12;;1;28;2;2;11;2;;1;;
Ten Boer;G0009;10891;Groningen;P20;4732;4363;9;;4354;1359;1455;584;198;14;47;37;479;96;32;3;5;11;3;9;1;4;2;;12;2;;1;;;;
Ter Aar;G0480;11104;Zuid-Holland;P28;6253;5664;18;;5646;3130;710;1223;274;100;63;28;20;27;7;6;6;12;6;9;7;8;;5;;5;;;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;6049;5369;11;;5358;2289;1677;786;410;5;55;50;8;4;17;3;;12;6;9;14;3;;;1;3;5;;;1;;
Termunten;G0042;11023;Groningen;P20;3351;2943;24;;2919;660;1579;297;114;12;21;30;5;45;101;9;2;15;4;3;4;4;3;;3;5;;2;1;;;
Terneuzen;G0715;10704;Zeeland;P29;25515;20919;71;;20848;6676;6369;3667;1320;1068;177;151;698;314;34;81;30;79;31;58;34;34;6;;3;13;;5;;;;
Terschelling;G0093;11210;Fryslân;P21;3525;3780;14;;3766;855;1329;1141;218;9;59;41;23;33;14;10;2;7;5;6;6;3;2;;3;;;;;;;
Teteringen;G0854;10677;Noord-Brabant;P30;4125;3783;5;;3778;1949;688;771;255;;32;28;6;3;11;9;1;4;6;4;3;3;1;;1;;2;;1;0;;
Texel;G0448;10237;Noord-Holland;P27;9371;9163;19;;9144;3310;2515;2119;552;37;133;211;39;80;31;11;13;28;27;17;9;2;5;;3;;;2;;;;
Tholen;G0716;10376;Zeeland;P29;13716;11983;43;;11940;3024;3310;1699;360;2894;50;34;92;326;16;24;15;34;7;14;11;11;3;;7;3;;6;;;;
Thorn;G0977;11195;Limburg;P31;2014;1813;9;;1804;1000;527;156;75;1;17;8;;;2;3;;2;6;3;1;;1;2;;;0;;;0;;
Tiel;G0281;10027;Gelderland;P25;21327;18002;15;;17987;4754;7880;3187;1055;108;365;169;103;82;53;53;21;35;45;30;14;9;;;3;5;0;1;14;1;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;21200;19198;52;;19146;8064;6189;2427;1018;142;154;113;358;360;48;13;25;98;24;8;38;8;1;;48;4;;6;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;116059;92465;381;;92084;33821;34292;11639;5330;54;1467;2027;120;124;667;368;992;116;195;236;242;112;62;;12;45;47;24;58;34;;
Tubbergen;G0183;10694;Overijssel;P23;12973;12406;26;;12380;9814;1366;773;209;14;45;33;23;16;7;10;18;12;16;9;11;2;;;1;1;;;;0;;
Ubbergen;G0282;10408;Gelderland;P25;7183;6446;18;;6428;2917;1938;947;301;1;129;83;13;4;37;9;6;5;12;3;15;4;1;;;;0;;3;0;;
Uden;G0856;11141;Noord-Brabant;P30;24213;21057;52;;21005;10004;5135;3814;960;10;156;158;28;24;45;30;484;18;15;36;41;20;2;;1;15;6;3;;0;;
Udenhout;G0857;11268;Noord-Brabant;P30;6162;5091;16;;5075;2958;1068;698;208;4;47;32;;4;10;10;2;5;6;7;9;;;;;2;0;4;1;0;;
Uitgeest;G0450;11238;Noord-Holland;P27;7075;6275;19;;6256;2278;1684;1336;527;2;118;98;13;10;87;17;11;9;27;12;7;2;11;;1;3;;3;;;;
Uithoorn;G0451;11206;Noord-Holland;P27;15786;14255;26;;14229;5436;3051;3930;1063;29;276;131;42;44;33;54;24;17;28;22;19;13;9;;1;5;;2;;;;
Ulrum;G0045;10180;Groningen;P20;2756;2491;13;;2478;987;718;284;86;33;19;19;233;75;4;3;1;6;1;2;1;1;;;3;2;;;;;;
Urk;G0184;10783;Flevoland;P24;6724;6307;14;;6293;2937;56;120;20;1929;2;1;352;839;3;7;;3;;5;1;2;;;14;;;2;;;;
Usquert;G0046;11035;Groningen;P20;1225;1111;3;;1108;135;682;174;47;;15;7;30;2;10;;3;1;;1;;;;;;;;1;;;;
Utrecht;G0344;10722;Utrecht;P26;174392;143304;496;;142808;35026;57619;21268;10876;782;3944;5073;877;687;1946;1304;1454;441;324;212;276;384;66;;44;66;;;56;17;66;
Vaals;G0981;10007;Limburg;P31;6568;5481;42;;5439;2097;2374;629;142;5;29;33;19;4;11;14;6;5;26;4;4;;1;16;;;14;3;;3;;
Valburg;G0283;11071;Gelderland;P25;8569;7612;18;;7594;3559;1764;1201;344;379;110;58;34;86;12;5;5;14;9;6;3;2;;;2;;0;1;;0;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2170;1952;9;;1943;991;272;319;78;63;24;1;99;64;3;8;;8;2;5;2;1;;1;2;;;;;;;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;13529;12083;42;;12041;6113;3344;1703;476;7;75;65;17;13;16;60;14;8;26;9;9;;1;47;;2;35;1;;0;;
Valkenisse;G0720;10779;Zeeland;P29;4511;4144;10;;4134;1733;712;991;254;225;56;26;32;57;6;4;1;15;6;8;3;2;;;2;;;1;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;21508;18647;34;;18613;8745;5102;3095;964;20;207;105;15;48;43;35;69;25;19;33;31;11;4;;2;2;23;10;;5;;
Veendam;G0047;11292;Groningen;P20;20827;18515;49;;18466;3376;10487;2683;881;18;158;136;155;213;120;31;74;36;17;26;7;10;11;;5;15;;2;5;;;
Veenendaal;G0345;11052;Utrecht;P26;30429;26525;5;;26520;10262;5522;4465;1189;2260;172;234;521;1313;263;38;18;132;25;25;18;19;5;;21;5;;;8;0;5;
Veere;G0717;10369;Zeeland;P29;3482;3302;10;;3292;1546;368;621;187;237;56;12;155;56;7;2;1;23;3;1;8;3;2;;3;1;;;;;;
Veghel;G0860;10985;Noord-Brabant;P30;17527;15246;52;;15194;8020;3656;2241;705;12;136;109;19;19;27;27;116;9;22;23;28;5;;;4;6;4;4;;2;;
Veldhoven;G0861;10071;Noord-Brabant;P30;26835;22448;42;;22406;10666;5499;3876;1312;15;334;174;24;69;33;57;82;87;32;37;37;20;3;;2;4;30;9;;4;;
Velsen;G0453;10620;Noord-Holland;P27;44316;37707;124;;37583;11701;13203;7340;2739;137;406;517;249;295;291;120;67;98;125;85;55;72;36;;23;14;;10;;;;
Venhuizen;G0454;10433;Noord-Holland;P27;5078;4580;13;;4567;1910;1033;1142;256;4;57;44;6;5;14;11;1;8;33;18;10;5;4;;4;;;2;;;;
Venlo;G0983;10477;Limburg;P31;46890;36680;139;;36541;17393;10642;5263;1790;16;430;328;32;60;97;134;85;23;43;34;58;;11;45;4;6;36;5;;6;;
Venray;G0984;11222;Limburg;P31;24237;19982;85;;19897;11013;5023;2170;892;8;219;208;20;12;53;47;81;14;26;13;32;;8;19;2;16;13;4;;4;;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;3496;3209;6;;3203;2191;407;380;124;;38;26;3;3;7;;3;5;3;6;;1;;;;2;3;;;1;;
Vianen;G0620;10887;Zuid-Holland;P28;12629;11279;46;;11233;3970;3320;2159;758;448;159;75;44;82;28;44;12;35;36;25;18;8;7;;3;1;;1;;;;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;5682;5186;16;;5170;3276;995;536;204;4;38;49;7;;15;4;11;12;6;1;6;;1;;;1;3;;;1;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;6376;5621;18;;5603;2613;748;1548;312;164;56;15;29;63;5;16;1;7;6;11;3;1;;;1;;;;4;0;0;
Vlaardingen;G0622;10811;Zuid-Holland;P28;57233;48382;120;;48262;12946;18642;7168;3838;1169;631;443;395;623;299;265;1302;114;74;102;96;91;6;;20;30;;8;;;;
Vlagtwedde;G0048;11249;Groningen;P20;12807;11176;37;;11139;3587;5432;1287;339;16;73;31;61;128;65;10;19;34;10;19;7;6;4;;3;3;;2;3;;;
Vledder;G0132;11120;Drenthe;P22;2763;2488;8;;2480;557;1120;499;189;3;25;23;14;11;3;;3;10;6;4;3;5;2;;2;1;;;;;;
Vleuten-De Meern;G0347;10658;Utrecht;P26;11866;10894;22;;10872;5208;1541;2884;639;96;125;99;101;41;19;24;;32;18;16;8;4;;;7;4;;;5;0;1;
Vlieland;G0096;10211;Fryslân;P21;784;1028;1;;1027;199;369;317;85;3;21;15;4;3;;;;2;3;;1;1;;;3;;;1;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;10808;9634;32;;9602;4740;2628;1387;501;6;98;43;12;7;19;20;24;17;29;19;27;7;;;;1;13;2;;2;;
Vlissingen;G0718;10270;Zeeland;P29;33523;27653;95;;27558;7667;10355;5110;2181;667;289;209;172;225;85;119;93;76;35;67;86;61;14;;15;19;;13;;;;
Vlist;G0623;11174;Zuid-Holland;P28;6830;6289;20;;6269;2317;1439;1326;316;565;64;47;37;79;9;20;3;12;8;9;9;5;;3;;1;;;;;;
Vlodrop;G0985;10644;Limburg;P31;1670;1428;11;;1417;762;360;191;58;;7;16;2;;4;4;3;;4;1;2;;;2;;;1;;;0;;
Voerendaal;G0986;11341;Limburg;P31;9974;8783;1;;8782;4097;2388;1539;417;11;67;81;9;12;20;11;17;1;29;7;11;;3;32;;5;21;4;;0;;
Voorburg;G0624;11103;Zuid-Holland;P28;32685;28814;62;;28752;9311;6606;8688;2309;139;295;276;275;148;81;178;53;63;80;32;31;83;3;73;17;11;;;;;;
Voorhout;G0625;10017;Zuid-Holland;P28;5940;5503;10;;5493;2772;775;1305;369;17;109;39;28;8;15;9;1;6;11;9;8;4;;7;1;;;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;16033;14653;34;;14619;5227;2795;4577;1242;105;184;122;77;72;32;27;17;30;23;33;13;11;4;19;5;4;;;;;;
Voorst;G0285;10912;Gelderland;P25;17202;15179;47;;15132;6631;4221;2773;789;226;142;75;42;72;40;12;10;21;16;19;18;5;3;;2;6;;;3;6;0;
Vorden;G0286;10957;Gelderland;P25;5569;5195;15;;5180;2250;1396;1122;203;17;48;22;24;31;10;3;8;6;23;8;4;;;;1;;;;3;0;1;
Vries;G0133;10630;Drenthe;P22;7118;6461;26;;6435;1007;2473;2106;465;3;113;40;102;47;22;;5;10;5;11;7;13;2;;;1;;3;;;;
Vriezenveen;G0186;10643;Overijssel;P23;12704;11599;30;;11569;5518;3376;981;306;489;40;28;98;624;12;5;5;31;8;4;17;7;;;18;;;;;2;;
Vught;G0865;11224;Noord-Brabant;P30;17839;15147;12;;15135;6303;3964;3197;936;29;199;189;49;25;38;13;50;33;37;12;24;14;7;;1;4;6;4;;1;;
Vuren;G0287;11376;Gelderland;P25;7136;6482;11;;6471;2293;2037;1173;333;248;47;68;58;101;38;18;2;15;4;7;8;5;5;;4;2;2;1;2;0;;
Waalre;G0866;10959;Noord-Brabant;P30;11210;10217;20;;10197;4402;2113;2685;702;4;116;55;5;10;16;17;6;11;12;13;13;4;1;;;2;2;7;;1;;
Waalwijk;G0867;11359;Noord-Brabant;P30;20263;16971;45;;16926;7629;4876;2785;837;59;153;132;44;74;52;57;47;31;30;34;33;27;6;;1;6;9;1;;3;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;16319;14663;24;;14639;5043;3474;3090;928;1094;149;90;220;336;33;41;18;32;13;26;14;11;;15;6;6;;;;;;
Wageningen;G0289;11010;Gelderland;P25;26112;22834;31;;22803;5253;7844;3890;2114;379;1158;987;182;234;334;17;78;140;73;36;43;1;14;;7;4;;;10;0;5;
Wanroij;G0868;10265;Noord-Brabant;P30;3463;3215;10;;3205;2308;470;252;100;;22;21;4;5;3;1;3;3;2;4;5;;;;;1;0;1;;0;;
Warffum;G0049;10498;Groningen;P20;1750;1636;6;;1630;385;804;239;76;4;19;21;37;26;5;;;6;1;;2;1;2;;;;;;2;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;3003;2754;6;;2748;1359;506;599;135;2;39;50;6;5;16;3;3;3;10;5;4;1;;;;2;;;;;;
Warmond;G0628;10204;Zuid-Holland;P28;3892;3396;11;;3385;1631;580;772;228;26;41;27;11;8;14;4;3;13;11;2;7;3;1;2;1;;;;;;;
Warnsveld;G0291;10838;Gelderland;P25;6893;6041;13;;6028;2147;1994;1197;388;7;81;40;34;42;11;6;4;12;19;16;7;3;;;3;1;;;16;0;0;
Waspik;G0869;10402;Noord-Brabant;P30;3394;3059;9;;3050;1561;911;323;144;19;18;20;6;19;4;6;5;1;1;3;2;1;;;4;1;0;1;;0;;
Wassenaar;G0629;10164;Zuid-Holland;P28;19362;17570;11;;17559;6094;2087;7684;1098;67;104;122;58;37;22;22;14;19;22;14;18;16;4;50;5;2;;;;;;
Wateringen;G0630;11329;Zuid-Holland;P28;10926;9461;4;;9457;4900;1372;2290;538;11;69;96;24;31;29;14;18;9;21;16;9;3;3;;2;1;;1;;;;
Weerselo;G0188;10893;Overijssel;P23;6221;5948;13;;5935;4730;567;410;136;;24;18;6;4;5;3;3;11;5;2;9;1;;;;1;;;;0;;
Weert;G0988;11081;Limburg;P31;29289;23917;126;;23791;10947;7499;3381;1139;17;155;147;20;27;42;98;54;18;35;39;30;;3;65;17;6;36;13;;3;;
Weesp;G0457;10773;Noord-Holland;P27;13871;12015;26;;11989;3434;3805;2708;1192;41;147;219;59;63;46;60;22;48;35;41;20;24;11;;3;6;;5;;;;
Wehl;G0292;11116;Gelderland;P25;4698;3996;5;;3991;2381;997;377;146;1;32;20;2;2;9;7;1;1;2;2;5;2;;;;;0;3;1;0;;
Werkendam;G0870;10078;Noord-Brabant;P30;12545;11127;30;;11097;4866;2542;1263;367;1351;71;62;131;290;22;17;7;37;23;16;9;7;1;;6;2;5;1;;1;;
Wervershoof;G0459;11270;Noord-Holland;P27;5140;4672;9;;4663;2911;753;594;216;1;58;36;4;9;21;11;4;6;14;12;7;2;1;;;1;;2;;;;
Wessem;G0989;10127;Limburg;P31;1642;1330;2;;1328;730;365;149;43;;8;10;1;;2;4;;;4;3;;;;7;;;2;;;0;;
West Maas en Waal;G0668;10042;Gelderland;P25;12549;11283;32;;11251;6057;3100;1397;386;11;71;86;17;10;14;19;17;7;16;15;6;3;1;;4;2;3;6;1;2;;
Westerbork;G0134;11095;Drenthe;P22;5545;5233;8;;5225;1285;2137;1264;228;55;72;38;32;47;10;;2;23;12;5;5;6;;;4;;;;;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;1231;1232;2;;1230;755;285;115;40;;17;8;;;1;1;1;2;2;;2;1;;;;;0;;;0;;
Wester-Koggenland;G0558;10354;Noord-Holland;P27;8976;8069;24;;8045;3988;1560;1730;415;5;104;77;4;17;37;11;10;8;25;25;15;4;1;;2;4;;3;;;;
Westerschouwen;G0725;10701;Zeeland;P29;4101;4404;13;;4391;1339;1168;1284;206;148;43;22;30;94;5;9;8;11;5;8;6;1;;;3;1;;;;;;
Westervoort;G0293;11085;Gelderland;P25;9187;8100;16;;8084;2924;2929;1260;550;7;151;97;31;23;26;14;12;9;12;12;19;6;;;;;1;;1;0;;
Westkapelle;G0726;10931;Zeeland;P29;1997;1854;10;;1844;569;575;332;63;218;10;12;14;29;3;2;;8;2;4;1;;;;1;1;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;18421;16483;44;;16439;4419;7597;2811;821;28;140;128;67;141;93;28;20;48;24;24;21;11;3;;4;5;;6;;;;
Westvoorne;G0614;10009;Zuid-Holland;P28;10142;9168;40;;9128;2137;2725;3237;619;59;67;44;23;50;37;27;7;20;13;36;9;8;1;;1;4;;4;;;;
Wierden;G0189;10676;Overijssel;P23;15335;14512;27;;14485;8754;2302;1624;486;476;73;35;65;560;6;9;5;46;7;17;7;3;1;;6;3;;;;0;;
Wieringen;G0462;11277;Noord-Holland;P27;6078;5382;16;;5366;1111;2194;1457;319;4;38;52;17;19;75;21;6;3;11;13;9;7;;;3;3;;4;;;;
Wieringermeer;G0463;10239;Noord-Holland;P27;8347;7510;20;;7490;3011;1984;1556;465;39;113;56;63;68;36;16;5;28;6;17;9;7;2;;7;1;;1;;;;
Wijchen;G0296;10723;Gelderland;P25;22264;19343;18;;19325;8412;6193;2915;1059;16;189;263;19;35;43;21;63;15;12;14;24;2;4;;;11;11;;1;3;;
Wijdewormer;G0470;10434;Noord-Holland;P27;987;890;0;;890;326;215;226;66;;9;14;3;6;9;;3;4;2;2;2;2;;;;;;1;;;;
Wijhe;G0190;10888;Overijssel;P23;5233;4937;8;;4929;2359;1536;631;194;16;35;33;33;54;6;1;1;8;5;7;1;1;;;3;5;;;;0;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;9600;8595;8;;8587;2946;2439;1893;746;42;184;104;47;49;38;23;9;18;13;19;6;3;1;;1;1;;;2;0;3;
Willemstad;G0872;10827;Noord-Brabant;P30;2387;2197;9;;2188;822;647;472;122;11;20;20;4;28;3;7;1;3;4;9;7;4;1;;1;2;0;;;0;;
Willeskop;G0349;10758;Utrecht;P26;698;653;3;;650;380;72;95;25;59;7;2;1;4;1;1;;1;;2;;;;;;;;;;0;0;
Wilnis;G0350;10365;Utrecht;P26;4127;3786;12;;3774;1905;393;909;215;129;41;27;22;100;5;2;;10;7;6;1;;;;;;;;1;0;1;
Winschoten;G0052;10453;Groningen;P20;15695;13796;48;;13748;2396;8097;1673;538;15;107;108;120;163;345;8;28;35;20;14;20;7;31;;14;3;;1;5;;;
Winsum;G0053;11135;Groningen;P20;4333;3947;7;;3940;1313;1444;500;223;4;111;71;200;27;8;1;9;16;5;;3;;3;;2;;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;21000;18566;58;;18508;5333;7483;3877;1073;23;175;136;59;111;29;32;33;53;17;14;25;16;2;;6;2;1;2;5;1;;
Wisch;G0295;10318;Gelderland;P25;14678;12658;42;;12616;5665;3723;2083;626;16;128;97;23;61;23;23;5;69;19;11;17;10;;;1;1;4;5;6;0;;
Wissenkerke;G0727;10243;Zeeland;P29;2403;2169;6;;2163;937;533;380;73;122;17;10;39;28;3;4;1;9;;3;1;;1;;;1;;1;;;;
Wittem;G0990;11371;Limburg;P31;5730;5527;25;;5502;2927;1591;542;216;2;61;39;10;4;11;10;3;8;17;4;4;;1;16;2;1;32;;;1;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;7244;6126;18;;6108;2358;1917;1263;347;4;53;41;9;12;8;22;6;6;10;9;13;6;4;;4;1;5;5;3;2;;
Woerden;G0632;10974;Zuid-Holland;P28;19081;17121;30;;17091;7073;3653;3623;1151;508;252;138;120;181;30;66;132;50;20;30;26;17;1;9;7;4;;;;;;
Wognum;G0466;10818;Noord-Holland;P27;5177;4512;4;;4508;2492;760;814;271;2;48;47;6;2;13;17;1;3;10;6;11;1;1;;2;;;1;;;;
Wonseradeel;G0099;10454;Fryslân;P21;8192;7534;25;;7509;3508;2254;958;345;13;95;64;78;63;31;7;8;45;9;8;15;1;;;3;4;;;;;;
Wormer;G0467;10648;Noord-Holland;P27;8165;7248;19;;7229;2090;2657;1162;533;19;148;256;15;70;189;12;6;14;12;26;5;3;6;;3;1;;2;;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;3467;3212;9;;3203;1573;531;636;247;48;45;25;12;19;7;3;2;25;8;8;5;3;;3;3;;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;6623;6095;12;;6083;2384;988;1334;272;618;67;39;92;213;21;6;5;27;4;4;3;1;;;1;2;;;1;0;1;
Woudrichem;G0874;10282;Noord-Brabant;P30;9310;8462;15;;8447;3894;2035;983;329;489;52;47;256;245;14;14;3;41;12;15;6;1;1;;4;3;2;1;;0;;
Wouw;G0875;10808;Noord-Brabant;P30;6199;5257;27;;5230;2550;1416;952;217;1;25;15;3;2;5;11;;6;5;3;13;1;1;;;;1;3;;0;;
Wymbritseradiel;G0683;11427;Fryslân;P21;10129;9391;16;;9375;5430;1813;1111;446;30;159;67;59;117;13;8;6;70;6;9;16;;3;;4;6;;2;;;;
Zaanstad;G0479;11044;Noord-Holland;P27;93105;78309;186;;78123;17726;33571;12871;6024;257;1216;1612;417;579;2092;413;136;182;208;240;112;134;218;;29;46;;40;;;;
Zaltbommel;G0297;10557;Gelderland;P25;6498;5852;15;;5837;1558;2351;1067;396;115;83;73;56;40;18;4;18;18;20;2;12;1;1;;;2;1;;1;0;;
Zandvoort;G0473;10910;Noord-Holland;P27;12689;10623;37;;10586;2484;2916;4063;726;7;82;61;15;25;48;49;14;9;27;21;8;15;7;;1;3;;5;;;;
Zederik;G0707;10618;Zuid-Holland;P28;8927;8375;33;;8342;3490;1800;1209;273;1049;39;35;83;279;13;16;1;18;7;4;7;3;3;;11;;;2;;;;
Zeeland;G0877;10759;Noord-Brabant;P30;4056;3647;13;;3634;2487;607;283;118;;23;26;2;4;6;2;30;6;3;6;7;5;;;;3;15;;;1;;
Zeevang;G0478;11121;Noord-Holland;P27;4093;3679;11;;3668;770;1176;1194;333;8;40;59;2;5;20;7;2;3;13;13;10;11;1;;;;;1;;;;
Zeewolde;G0050;10012;Flevoland;P24;1714;1636;9;;1627;664;243;455;119;30;15;10;33;37;4;6;1;2;2;5;;;;;;;;1;;;;
Zegveld;G0354;10949;Utrecht;P26;1389;1308;2;;1306;764;84;177;44;117;10;6;11;86;1;3;1;1;;;;;;;1;;;;;0;0;
Zeist;G0355;10324;Utrecht;P26;45203;38871;163;;38708;11617;9696;10279;2833;1163;620;419;626;466;110;123;86;189;294;57;38;38;8;;14;13;;;8;4;7;
Zelhem;G0298;11159;Gelderland;P25;8320;7192;26;;7166;2969;2357;1190;264;117;62;30;15;86;12;8;6;21;10;5;3;2;;;2;2;0;1;1;3;;
Zevenaar;G0299;10938;Gelderland;P25;18679;16307;75;;16232;7225;4735;2527;1108;26;216;95;51;52;40;27;12;27;12;16;43;12;;;1;1;2;1;2;1;;
Zevenbergen;G0878;10046;Noord-Brabant;P30;11088;9464;46;;9418;3873;2988;1625;501;10;66;66;113;26;14;29;11;22;20;17;12;8;1;;;4;4;1;5;2;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;1779;1633;1;;1632;910;211;317;83;31;12;11;13;30;;5;;3;1;2;1;1;;0;1;;;;;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;4470;4074;9;;4065;1258;1112;1021;231;238;38;18;22;68;9;14;3;5;4;13;4;2;;3;1;1;;;;;;
Zierikzee;G0732;10843;Zeeland;P29;7270;6465;16;;6449;1965;2367;1180;362;186;53;49;48;154;11;9;7;12;8;8;14;4;1;;7;1;;3;;;;
Zijpe;G0476;10004;Noord-Holland;P27;6176;5526;7;;5519;1998;1635;1312;333;5;54;71;7;15;27;11;3;7;10;9;6;5;2;;2;3;;4;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;58481;50130;114;;50016;13781;15175;11607;5005;841;473;444;371;510;161;232;747;98;96;82;66;64;18;177;51;17;;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;5835;5045;11;;5034;2573;826;1008;355;30;81;50;10;8;11;16;4;10;16;5;9;1;;16;4;1;;;;;;
Zuidhorn;G0056;10021;Groningen;P20;5110;4709;10;;4699;1338;1240;736;266;11;89;35;886;39;10;1;3;26;2;4;2;3;1;;7;;;;;;;
Zuidlaren;G0136;10002;Drenthe;P22;7849;6981;17;;6964;1610;2377;1826;466;11;98;64;339;80;17;;10;23;12;13;3;5;3;;2;3;;2;;;;
Zuidwolde;G0137;10262;Drenthe;P22;6775;6154;27;;6127;2425;1555;1435;342;27;47;23;154;58;4;;6;24;3;3;8;11;;;1;1;;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;9858;8081;53;;8028;4339;1782;1371;328;6;36;71;7;2;14;12;3;3;11;15;11;7;;;1;;1;5;2;1;;
Zutphen;G0301;10254;Gelderland;P25;23038;20134;38;;20096;4765;9419;3125;1374;28;388;243;148;95;128;34;37;48;113;24;33;15;10;;7;8;;;46;5;3;
Zwartsluis;G0192;10303;Overijssel;P23;3175;2932;8;;2924;1389;757;329;93;81;8;10;115;104;4;;1;11;4;5;5;;7;;1;;;;;0;;
Zweeloo;G0138;10872;Drenthe;P22;2075;2008;10;;1998;437;750;612;94;2;18;22;12;23;3;;3;7;3;5;2;3;;;2;;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;29742;25687;84;;25603;8056;8173;4765;1760;901;246;182;589;454;62;124;28;55;49;48;39;44;3;;11;8;;6;;;;
Zwolle;G0193;10093;Overijssel;P23;65780;56833;96;;56737;17381;19608;9497;3976;383;978;846;1856;950;264;88;237;301;92;102;72;27;17;;34;26;;;;2;;
