RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);VVD;PVV (Partij voor de Vrijheid);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;21747;18550;;17;18533;4412;3390;2094;2536;1237;507;1402;206;295;2159;218;42;;9;8;4;3;;8;2;1;;;
Laarbeek;G1659;10173;Noord-Brabant;P30;16594;13271;;15;13256;5261;2035;2671;1627;839;300;101;126;142;16;71;38;18;;4;;4;;1;0;2;;;
Landerd;G1685;10276;Noord-Brabant;P30;11128;9378;;7;9371;4088;1201;1938;1238;423;206;69;66;63;7;38;14;4;;7;;0;;2;5;2;;;
Landgraaf;G0882;11335;Limburg;P31;30245;23430;;26;23404;5029;5760;5927;1918;3004;718;258;148;411;35;57;49;31;34;17;;3;;;5;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;7880;6765;;11;6754;1155;1648;845;1732;462;360;89;153;201;16;39;9;21;9;1;;2;6;2;4;0;;;
Langedijk;G0416;10955;Noord-Holland;P27;19137;16403;;14;16389;4882;2480;2559;3320;991;786;592;259;291;21;113;40;18;5;8;;4;16;1;1;2;;;
Laren;G0417;10649;Noord-Holland;P27;8504;7371;;10;7361;2200;925;656;2481;232;298;98;185;212;7;25;10;9;2;2;;0;0;1;18;0;;;0
Leek;G0022;10604;Groningen;P20;14448;12060;;10;12050;2787;3379;1944;1476;387;489;1143;151;133;69;38;27;8;7;7;;1;;1;3;;;;
Leerdam;G0545;10685;Zuid-Holland;P28;15179;12632;;20;12612;3507;2451;1586;1628;801;270;864;314;146;789;69;38;5;8;8;126;0;;2;0;0;;;
Leeuwarden;G0080;11228;Fryslân;P21;72975;57884;;65;57819;10062;18930;12531;5747;2047;3473;2558;858;1034;92;247;86;37;32;25;;5;37;;18;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;7739;6775;;16;6759;1807;2084;1144;708;208;221;356;67;99;14;29;6;7;3;3;;2;1;;0;;;;
Leiden;G0546;10702;Zuid-Holland;P28;88452;71104;;169;70935;11701;17635;12062;10608;3588;7158;2045;3191;1907;210;469;91;;54;34;102;10;;51;12;7;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;19306;16300;;39;16261;4276;3176;2201;3188;772;996;540;476;336;132;119;26;;3;8;1;2;;3;3;3;;;
Leidschendam-Voorburg;G1916;11103;Zuid-Holland;P28;55526;45896;;74;45822;12497;7820;5800;10088;2886;2227;1199;1182;1390;120;393;96;;23;35;17;6;;27;10;6;;;
Lelystad;G0995;11110;Flevoland;P24;52566;39548;;75;39473;7247;9424;7370;6692;2763;1706;1775;755;1013;148;202;105;107;35;32;;9;40;11;35;4;;;
Lemsterland;G0082;10142;Fryslân;P21;9998;8282;;6;8276;2573;1996;1332;1190;329;181;353;90;149;27;20;11;12;3;4;;1;4;;1;;;;
Leusden;G0327;10978;Utrecht;P26;21211;18736;;31;18705;6145;2898;2126;3558;692;889;1196;411;369;245;110;24;17;4;9;0;4;;4;4;0;;;
Liemeer;G1673;10487;Zuid-Holland;P28;5097;4176;;5;4171;1866;338;408;784;300;109;158;53;68;35;37;12;;0;2;0;1;;0;0;0;;;
Liesveld;G0694;11205;Zuid-Holland;P28;7128;6283;;8;6275;2191;803;487;779;263;97;852;31;61;655;21;22;2;0;5;1;1;;2;2;0;;;
Lingewaal;G0733;11376;Gelderland;P25;8172;7038;;2;7036;2235;1315;748;1082;466;157;528;62;104;265;47;12;5;1;5;;1;;0;2;1;;;
Lingewaard;G1705;10744;Gelderland;P25;33631;27697;;27;27670;9823;5337;4803;3999;1410;976;327;384;374;17;102;43;31;13;8;2;2;9;4;6;;;;
Lisse;G0553;10197;Zuid-Holland;P28;16420;14039;;12;14027;5328;1824;1570;2536;732;411;478;222;210;596;68;28;;7;11;1;2;;2;1;0;;;
Lith;G0808;11219;Noord-Brabant;P30;5015;4218;;14;4204;1679;566;896;604;220;87;36;32;51;1;22;5;3;;0;;0;;0;1;1;;;
Littenseradiel;G0140;10422;Fryslân;P21;7967;6912;;7;6905;2362;1624;1085;804;187;335;293;90;86;4;17;8;0;2;4;;1;3;;0;;;;
Lochem;G0262;11263;Gelderland;P25;25505;22051;;31;22020;6330;4839;3022;4598;673;1057;485;486;365;20;73;29;13;6;4;3;9;7;1;0;;;;
Loenen;G0329;11202;Utrecht;P26;6166;5469;;4;5465;1721;809;528;1282;248;273;177;140;134;89;33;8;11;7;2;1;0;;2;0;0;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;17525;13796;;17;13779;4915;2437;2347;2158;846;362;154;126;216;70;79;30;14;3;;6;6;5;4;1;0;;;
Lopik;G0331;10333;Utrecht;P26;10068;8614;;5;8609;3585;869;774;1184;622;159;731;57;92;466;37;17;5;1;3;3;2;;1;0;1;;;
Loppersum;G0024;10934;Groningen;P20;8268;7066;;4;7062;1922;1754;1183;565;216;389;718;80;128;54;9;17;4;3;3;;12;;2;3;;;;
Losser;G0168;11166;Overijssel;P23;17199;14257;;18;14239;5798;2910;2250;1569;832;317;218;114;120;7;36;25;19;7;4;;5;6;1;;1;;;
Maarssen;G0333;10191;Utrecht;P26;29859;24472;;52;24420;6314;5028;3298;4641;1864;1103;773;471;524;98;142;57;30;20;9;8;3;;7;29;1;;;
Maasbracht;G0933;10964;Limburg;P31;10756;8475;;17;8458;2956;1362;1508;1037;1002;180;124;55;149;3;26;23;9;9;10;;2;;;3;;;;
Maasbree;G0934;11352;Limburg;P31;9709;7926;;9;7917;3304;1021;1069;944;1076;194;66;65;93;8;42;10;14;4;3;;3;;;1;;;;
Maasdonk;G1671;10370;Noord-Brabant;P30;8395;6827;;4;6823;2962;823;1462;822;469;113;40;37;45;0;27;13;3;;2;;1;;3;1;0;;;
Maasdriel;G0263;10341;Gelderland;P25;17822;14936;;9;14927;5318;2359;2203;2681;1044;397;221;132;180;249;70;33;15;10;8;;2;;3;1;1;;;
Maassluis;G0556;10880;Zuid-Holland;P28;23839;19513;;20;19493;5344;3806;2791;3060;1771;440;828;479;350;107;296;83;77;16;10;21;2;;3;5;4;;;
Maastricht;G0935;10182;Limburg;P31;93320;69741;;108;69633;14639;18180;14512;7820;5727;4275;913;1592;1241;34;221;112;198;72;55;;22;;;20;;;;
Margraten;G0936;11243;Limburg;P31;10342;8833;;19;8814;3286;1466;1343;1021;861;374;125;116;138;3;30;10;17;16;6;;0;;;2;;;;
Marum;G0025;11431;Groningen;P20;7525;6130;;11;6119;1666;1587;899;830;248;191;466;67;74;29;27;23;3;2;4;;0;;0;3;;;;
Medemblik;G0420;11215;Noord-Holland;P27;5847;4565;;6;4559;1317;808;842;729;366;151;113;70;91;5;30;15;7;5;3;;1;3;1;0;2;;;
Meerlo-Wanssum;G0993;11416;Limburg;P31;5823;4767;;4;4763;2004;618;801;509;554;115;47;26;43;2;11;16;11;4;1;;1;;;0;;;;
