RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Ilpendam;G0407;10809;Noord-Holland;P27;2139;1910;4;19;1887;491;325;239;78;75;101;292;83;82;14;23;11;23;18;8;20;4;;;
Jabeek;G0927;10256;Limburg;P31;422;369;2;6;361;84;189;13;10;27;;7;4;3;;3;;3;15;;3;;;;
Jisp;G0408;10481;Noord-Holland;P27;681;574;1;0;573;177;46;104;19;33;18;80;23;26;;21;1;14;3;4;3;1;;;
Kamerik;G0323;10554;Utrecht;P26;1945;1740;1;19;1720;118;435;189;237;61;258;7;47;54;205;37;40;12;11;1;8;;;;
Kampen;G0166;10253;Overijssel;P23;19133;16970;57;31;16882;4157;991;1288;3327;692;1994;208;392;412;1541;289;1249;149;74;90;29;;;;
Kantens;G0020;10372;Groningen;P20;1216;1084;1;2;1081;409;8;144;196;20;61;23;15;27;;16;149;4;2;1;6;;;;
Kapelle;G0678;11223;Zeeland;P29;5391;4549;20;1;4528;1059;90;687;664;138;871;31;85;119;370;229;108;33;3;16;25;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;23593;19557;59;70;19428;3079;699;2589;2420;646;3792;229;521;897;3355;249;613;119;51;92;59;;18;;
Katwoude;G0409;11136;Noord-Holland;P27;182;158;1;0;157;22;17;29;23;1;29;2;5;13;5;8;;1;1;1;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;828;730;0;9;721;243;8;219;115;6;29;6;15;15;41;10;3;1;2;7;1;;;;
Kerkrade;G0928;10313;Limburg;P31;31807;23484;208;382;22894;6119;9021;1900;428;1172;91;1336;1127;401;19;479;36;219;303;92;151;;;;
Kerkwijk;G0257;10791;Gelderland;P25;3510;2934;7;14;2913;631;50;202;633;27;205;23;44;52;866;62;70;18;5;5;20;;;;
Kessel;G0929;10890;Limburg;P31;2171;1799;12;13;1774;214;1072;239;32;36;;10;42;17;1;52;2;13;32;2;10;;;;
Kesteren;G0258;10916;Gelderland;P25;4762;4124;11;2;4111;1234;52;412;470;85;159;28;70;109;1262;108;67;12;2;16;25;;;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;2129;1802;0;1;1801;672;39;258;239;65;143;24;81;64;135;12;32;20;2;5;10;;;;
Klimmen;G0930;10977;Limburg;P31;2482;2041;27;0;2014;292;868;262;37;163;9;29;65;43;;49;2;15;142;14;24;;;;
