RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
's-Graveland;G0390;10534;Noord-Holland;P27;5479;4678;29;6;4643;833;735;937;427;268;334;126;204;322;96;63;127;74;37;35;21;4;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;4404;3827;15;17;3795;1379;45;418;744;67;429;54;107;75;278;46;86;21;1;12;33;;;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;383770;305686;865;643;304178;96218;30473;57593;21791;12317;11075;14668;16253;23186;3089;2902;4012;4849;2078;1767;1097;;;574;236
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;1118;946;4;0;942;128;54;59;389;28;144;5;16;10;29;27;39;4;4;2;4;;;;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;8992;7859;24;26;7809;1629;535;1467;1515;177;1081;55;246;343;414;53;191;33;10;33;27;;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;55455;42453;185;119;42149;10541;12634;6037;1366;3485;328;1123;1823;1276;57;1119;267;936;756;176;225;;;;
Sijbekarspel;G0447;11167;Noord-Holland;P27;1053;925;0;5;920;207;307;138;25;42;2;18;61;53;;14;1;23;21;1;7;;;;
Simpelveld;G0965;10515;Limburg;P31;4031;3387;27;27;3333;522;1573;456;67;132;7;100;156;90;4;135;3;16;51;9;12;;;;
Sint Geertruid;G0966;10288;Limburg;P31;836;715;2;5;708;78;446;51;12;20;1;6;10;14;1;28;2;6;27;2;4;;;;
Sint Maarten;G0445;10740;Noord-Holland;P27;1167;1013;7;3;1003;262;155;151;166;36;6;35;60;43;;17;13;36;6;6;7;4;;;
Sint Odiliënberg;G0967;10278;Limburg;P31;1990;1566;7;20;1539;243;720;224;52;48;2;18;36;33;;57;1;13;74;8;10;;;;
Sint Pancras;G0446;10513;Noord-Holland;P27;2744;2339;6;14;2319;523;309;365;276;116;152;108;134;71;15;67;76;49;17;22;14;5;;;
Sint Philipsland;G0712;10394;Zeeland;P29;1445;1272;5;2;1265;173;5;77;131;17;99;11;9;17;661;11;41;;;5;8;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;6813;5536;16;17;5503;940;2202;786;187;317;36;90;208;175;9;253;28;70;136;21;45;;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;8189;7107;14;20;7073;1099;3713;613;219;431;29;104;222;124;1;245;9;72;105;40;47;;;;
Sittard;G0968;11230;Limburg;P31;22503;16767;91;111;16565;3480;6719;2141;406;883;66;533;784;412;16;346;37;284;285;57;116;;;;
Sleen;G0130;10489;Drenthe;P22;5280;4631;21;19;4591;2131;47;788;609;60;300;290;93;73;8;80;44;26;3;13;26;;;;
Slenaken;G0969;11274;Limburg;P31;448;314;1;1;312;41;155;31;14;6;;6;13;17;;10;;2;13;;4;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;15287;13157;90;0;13067;4908;189;1399;1420;334;776;334;645;335;2141;122;310;72;23;25;34;;;;
Slochteren;G0040;10747;Groningen;P20;8914;7495;22;33;7440;2633;98;1170;999;92;436;369;170;178;17;239;773;140;15;63;48;;;;
Sloten (F);G0089;10867;Fryslân;P21;455;406;4;0;402;68;30;46;65;6;116;6;9;17;3;4;22;3;2;3;2;;;;
Sluis;G0713;10895;Zeeland;P29;2157;1764;6;13;1745;481;395;427;79;64;99;14;30;37;4;53;16;15;10;12;9;;;;
Smallingerland;G0090;10405;Fryslân;P21;25734;22840;72;34;22734;7807;454;1715;5940;818;1181;1093;726;737;236;258;1239;333;26;115;56;;;;
Smilde;G0131;11033;Drenthe;P22;4741;4232;10;8;4214;1329;16;399;1149;74;658;53;98;102;4;92;144;31;1;33;31;;;;
Sneek;G0091;11421;Fryslân;P21;18058;15665;84;49;15532;4555;1200;1583;2831;775;1623;773;547;656;79;197;321;160;71;109;52;;;;
Snelrewaard;G0341;10802;Utrecht;P26;447;397;4;0;393;21;192;62;33;6;26;;4;2;28;10;5;;2;;2;;;;
Soest;G0342;11021;Utrecht;P26;24866;20868;103;76;20689;3441;3286;5432;2241;913;750;388;913;1530;325;324;445;339;161;129;72;;;;
Someren;G0847;10203;Noord-Brabant;P30;8673;6950;22;33;6895;870;4061;617;171;200;45;62;153;123;8;318;9;66;134;27;31;;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;7463;6504;14;14;6476;719;2236;1725;232;337;47;51;292;479;2;125;43;84;67;11;26;;;;
Spaubeek;G0970;10552;Limburg;P31;2223;1691;16;9;1666;313;698;260;23;64;3;40;58;39;;54;5;20;69;5;15;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;15885;13385;36;19;13330;5844;556;1765;1302;674;491;590;1010;410;207;117;138;127;15;31;53;;;;
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;4793;4040;13;9;4018;646;144;360;853;69;700;44;83;109;535;309;107;12;14;15;18;;;;
Stad Delden;G0179;10913;Overijssel;P23;4056;3677;11;3;3663;589;1448;587;175;161;99;29;104;232;6;79;14;24;61;35;20;;;;
Stadskanaal;G0037;10610;Groningen;P20;22037;18243;77;49;18117;5847;1433;1367;3014;398;2176;1273;429;372;102;307;936;100;125;121;117;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;1492;1283;6;12;1265;183;699;167;36;25;10;12;37;12;;34;2;9;22;2;15;;;;
Staphorst;G0180;11362;Overijssel;P23;6722;6127;9;16;6102;727;28;497;881;56;520;24;99;98;2017;485;591;13;1;30;35;;;;
Stavoren;G0092;10240;Fryslân;P21;623;524;8;1;515;96;1;42;102;37;153;3;13;16;3;11;13;10;;9;6;;;;
Stedum;G0041;10771;Groningen;P20;1317;1181;5;4;1172;259;12;88;405;20;188;35;15;28;2;13;83;12;1;3;8;;;;
Steenbergen;G0851;10731;Noord-Brabant;P30;8549;6583;22;54;6507;1582;2481;878;172;207;99;113;208;127;14;404;20;38;90;20;54;;;;
Steenderen;G0280;10497;Gelderland;P25;2848;2602;11;2;2589;422;1018;237;374;64;234;8;49;29;15;61;1;16;8;42;11;;;;
Steenwijk;G0181;10546;Overijssel;P23;8486;7203;0;0;7203;2640;313;980;863;307;866;212;215;294;56;80;229;63;21;43;21;;;;
Steenwijkerwold;G0182;11347;Overijssel;P23;5229;4884;7;5;4872;1450;604;461;410;267;910;100;111;114;15;134;129;79;33;39;16;;;;
Stein;G0971;11319;Limburg;P31;7682;5681;24;53;5604;1435;1958;557;130;221;29;180;258;126;4;196;20;54;135;276;25;;;;
Stevensweert;G0972;11203;Limburg;P31;1050;854;5;12;837;139;451;101;26;18;2;4;16;18;1;31;2;9;9;2;8;;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;2738;2442;8;12;2422;690;25;510;341;54;50;40;114;101;372;55;15;30;;14;11;;;;
Stramproy;G0973;11186;Limburg;P31;2529;1993;12;11;1970;177;1255;219;44;48;;12;58;34;1;51;;10;41;6;14;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;1388;1214;27;1;1186;292;9;152;233;18;110;8;31;27;244;29;19;4;;5;5;;;;
Strijen;G0617;10558;Zuid-Holland;P28;4477;3913;29;20;3864;1415;30;637;493;79;447;67;130;75;255;38;101;44;1;36;16;;;;
Susteren;G0974;10457;Limburg;P31;4778;3761;32;47;3682;679;1846;325;63;131;7;76;193;77;2;114;7;33;70;26;33;;;;
Swalmen;G0975;10474;Limburg;P31;5385;4026;22;57;3947;729;1852;473;98;151;11;75;136;94;3;150;6;63;56;16;34;;;;
't Zandt;G0054;10956;Groningen;P20;1695;1456;5;3;1448;545;11;195;384;29;80;34;29;52;;23;44;7;;8;7;;;;
Tegelen;G0976;11333;Limburg;P31;11580;9141;70;62;9009;1712;4344;1111;187;475;25;120;260;200;;180;12;82;223;27;51;;;;
Ten Boer;G0009;10891;Groningen;P20;3757;3354;2;8;3344;899;41;368;1036;49;152;141;75;103;22;37;335;40;6;28;12;;;;
Ter Aar;G0480;11104;Zuid-Holland;P28;4288;3767;15;14;3738;304;1582;518;337;125;301;44;106;101;87;75;50;28;41;13;24;;2;;
Terheijden;G0853;10905;Noord-Brabant;P30;4298;3643;13;28;3602;843;1455;374;121;183;11;58;173;71;6;164;6;43;50;18;26;;;;
Termunten;G0042;11023;Groningen;P20;3345;2648;9;22;2617;991;25;240;582;57;145;328;47;51;11;26;63;26;8;12;5;;;;
Terneuzen;G0715;10704;Zeeland;P29;21181;16942;50;31;16861;5408;1742;2427;1527;676;1312;232;557;444;1061;340;820;97;65;73;80;;;;
Terschelling;G0093;11210;Fryslân;P21;3137;2553;25;2;2526;808;32;679;226;46;240;37;68;222;11;32;41;36;;28;20;;;;
Teteringen;G0854;10677;Noord-Brabant;P30;2823;2434;8;13;2413;354;908;560;92;121;16;18;95;69;3;80;6;17;45;14;15;;;;
Texel;G0448;10237;Noord-Holland;P27;7775;6582;37;5;6540;1784;1007;1279;696;245;369;126;229;381;36;109;74;94;40;41;24;6;;;
Tholen;G0716;10376;Zeeland;P29;11486;9531;31;30;9470;2385;411;1118;844;138;832;55;149;123;2903;187;164;51;12;51;47;;;;
Thorn;G0977;11195;Limburg;P31;1645;1291;2;17;1272;169;773;140;11;38;1;9;28;14;1;51;1;11;9;2;14;;;;
Tiel;G0281;10027;Gelderland;P25;14732;12219;0;0;12219;5564;1911;1726;502;488;443;212;368;391;40;195;141;89;42;45;62;;;;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;320;305;0;2;303;59;2;30;112;4;34;2;3;5;36;8;5;2;;;1;;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;16002;14029;87;19;13923;3645;184;1323;4338;351;1861;190;315;496;179;219;554;155;5;49;59;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;105496;81731;808;0;80923;18377;24862;11432;2366;6066;394;3281;3528;2147;74;3895;305;1808;923;918;547;;;;
Tubbergen;G0183;10694;Overijssel;P23;9898;9088;18;9;9061;534;6437;474;159;197;252;34;79;86;6;461;17;27;244;19;35;;;;
Twisk;G0449;10371;Noord-Holland;P27;558;486;6;0;480;203;6;137;31;11;5;15;22;16;4;12;;5;;3;6;4;;;
Ubach over Worms;G0978;10146;Limburg;P31;7149;5367;43;62;5262;1591;1614;340;126;199;25;320;511;120;5;198;19;56;57;25;56;;;;
Ubbergen;G0282;10408;Gelderland;P25;6551;5336;0;0;5336;902;2204;754;172;483;63;113;179;116;7;107;16;88;67;21;44;;;;
Uden;G0856;11141;Noord-Brabant;P30;15108;12236;50;30;12156;1867;5027;2093;437;586;98;145;514;414;8;396;39;135;258;59;80;;;;
Udenhout;G0857;11268;Noord-Brabant;P30;4590;3576;24;10;3542;462;1943;460;94;142;13;28;105;62;;109;10;19;62;7;26;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;4872;4426;42;2;4382;885;1114;651;126;428;27;384;222;210;2;53;31;71;74;60;30;14;;;
Uithoorn;G0451;11206;Noord-Holland;P27;11711;10395;30;5;10360;2033;2265;2045;749;666;369;320;724;645;19;108;108;140;74;39;43;13;;;
Uithuizen;G0043;11137;Groningen;P20;3480;3123;10;8;3105;947;277;330;650;51;239;153;55;100;6;19;181;15;31;35;16;;;;
Uithuizermeeden;G0044;10246;Groningen;P20;3484;3043;5;5;3033;630;37;263;773;34;567;42;46;39;11;44;509;13;6;12;7;;;;
Ulestraten;G0979;11220;Limburg;P31;1952;1639;10;7;1622;259;737;291;36;88;4;21;58;39;;36;2;13;19;6;13;;;;
Ulrum;G0045;10180;Groningen;P20;2595;2324;0;6;2318;491;26;218;811;24;107;32;25;46;51;30;394;20;5;24;14;;;;
Urk;G0184;10783;Overijssel;P23;4564;4142;9;9;4124;40;1;77;1930;10;291;10;13;21;1326;42;353;2;;7;1;;;;
Urmond;G0980;10700;Limburg;P31;2896;2344;15;18;2311;542;989;201;57;160;14;38;93;28;1;53;6;27;43;40;19;;;;
Ursem;G0452;10696;Noord-Holland;P27;1413;1232;6;0;1226;183;549;127;39;77;7;42;29;38;2;30;3;9;81;2;7;1;;;
Usquert;G0046;11035;Groningen;P20;1192;1092;1;6;1085;667;26;139;35;16;26;48;12;57;1;13;23;10;2;7;3;;;;
Utingeradeel;G0095;10140;Fryslân;P21;3465;3139;12;7;3120;1344;30;445;338;89;317;71;110;124;47;28;25;112;1;18;21;;;;
Utrecht;G0344;10722;Utrecht;P26;189022;155878;1125;0;154753;48083;20655;21391;11398;12690;4801;6644;7409;9499;1433;1602;2156;4077;1537;933;445;;;;
Vaals;G0981;10007;Limburg;P31;6493;4916;53;63;4800;1015;1912;616;96;198;27;241;207;117;2;116;4;32;151;17;49;;;;
Valburg;G0283;11071;Gelderland;P25;6542;5521;6;7;5508;1083;1529;555;552;229;492;46;132;114;380;165;96;34;29;34;38;;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;1780;1556;1;12;1543;187;79;252;285;60;303;12;34;84;78;26;114;9;4;11;5;;;;
Valkenburg-Houthem;G0982;11077;Limburg;P31;8449;6709;31;52;6626;947;2732;1245;145;263;21;133;194;177;8;172;11;57;419;35;67;;;;
Valkenisse;G0720;10779;Zeeland;P29;3590;2957;2;6;2949;408;30;445;613;137;636;19;94;124;244;47;98;20;1;13;20;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;15902;12839;50;61;12728;2643;4871;1726;513;562;64;306;576;420;10;400;49;203;230;46;109;;;;
Varik;G0284;11064;Gelderland;P25;800;690;1;1;688;255;116;51;60;15;71;4;11;11;14;46;11;6;7;4;6;;;;
Veen;G0859;10015;Noord-Brabant;P30;1019;819;4;3;812;133;1;38;251;5;58;6;6;9;254;15;27;3;;2;4;;;;
Veendam;G0047;11292;Groningen;P20;17365;14554;67;41;14446;6866;503;1745;1509;297;704;991;454;489;15;161;230;139;33;246;64;;;;
Veenendaal;G0345;11052;Utrecht;P26;20433;17954;61;81;17812;4124;570;1927;3414;454;2190;156;402;542;2601;342;875;73;22;89;31;;;;
Veere;G0717;10369;Zeeland;P29;2679;2434;1;2;2431;229;28;205;981;82;323;14;34;87;225;19;163;14;2;10;15;;;;
Veghel;G0860;10985;Noord-Brabant;P30;12407;10263;40;29;10194;1390;4938;1373;301;609;41;114;382;240;4;323;25;125;197;49;83;;;;
Veldhoven;G0861;10071;Noord-Brabant;P30;16360;13571;45;38;13488;2602;5311;1865;575;642;135;261;704;423;11;349;73;213;193;36;95;;;;
Velsen;G0453;10620;Noord-Holland;P27;45160;39001;152;94;38755;11569;4739;5784;3299;2206;1259;2891;1963;2088;249;548;561;878;219;272;145;85;;;
Venhuizen;G0454;10433;Noord-Holland;P27;4056;3478;10;16;3452;841;1090;567;103;127;41;105;140;156;1;56;9;116;61;13;23;3;;;
Venlo;G0983;10477;Limburg;P31;40818;31025;144;179;30702;4910;13076;5826;670;1706;131;467;987;883;21;527;42;449;759;90;158;;;;
Venray;G0984;11222;Limburg;P31;14434;12995;70;79;12846;1724;7458;1327;239;575;54;151;309;234;2;308;20;197;181;25;42;;;;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;2545;2163;10;4;2149;187;1298;274;36;66;6;14;68;66;2;37;10;30;31;10;14;;;;
Vianen;G0620;10887;Zuid-Holland;P28;6417;5470;42;0;5428;1637;732;893;517;283;354;116;234;248;172;61;55;64;16;26;20;;;;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;4152;3488;21;11;3456;369;2200;300;70;132;20;28;55;49;5;100;3;30;49;12;34;;;;
Vierpolders;G0621;11056;Zuid-Holland;P28;1194;1057;5;0;1052;415;43;209;88;29;43;31;76;58;6;21;13;8;2;4;6;;;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;4933;4191;16;28;4147;463;1167;826;397;150;330;68;162;220;131;91;45;39;26;18;14;;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;54839;46721;125;90;46506;18019;2735;5413;4565;2529;2980;2094;2737;1514;1419;352;958;737;120;169;165;;;;
Vlagtwedde;G0048;11249;Groningen;P20;11383;9311;29;45;9237;3115;1128;987;921;189;962;666;169;195;25;425;152;71;64;89;79;;;;
Vledder;G0132;11120;Drenthe;P22;2247;1938;14;6;1918;791;97;357;149;45;137;82;59;53;1;54;24;37;5;11;16;;;;
Vleuten-De Meern;G0347;10658;Utrecht;P26;9935;8949;36;14;8899;1087;2342;2016;644;517;527;70;356;592;113;124;133;108;184;55;31;;;;
Vlieland;G0096;10211;Fryslân;P21;680;613;5;0;608;226;6;142;48;14;36;7;27;50;1;8;8;10;;16;9;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;8008;6584;35;11;6538;1082;2836;816;269;252;38;96;242;173;8;465;11;80;98;18;54;;;;
Vlissingen;G0718;10270;Zeeland;P29;28891;23669;82;39;23548;9035;1362;3153;2548;1183;1784;474;1065;1041;649;347;410;230;67;99;101;;;;
Vlist;G0623;11174;Zuid-Holland;P28;366;336;0;5;331;28;75;31;96;5;12;;3;8;68;2;2;;1;;;;;;
Vlodrop;G0985;10644;Limburg;P31;1055;942;15;14;913;137;502;141;15;18;2;7;15;11;;28;2;9;14;2;10;;;;
Voerendaal;G0986;11341;Limburg;P31;5211;4368;29;26;4313;683;2017;574;90;221;8;85;213;122;2;83;4;50;101;27;33;;;;
Vollenhove;G0185;11088;Overijssel;P23;3479;3080;3;8;3069;651;141;175;620;48;612;22;45;43;68;108;490;8;10;19;9;;;;
Voorburg;G0624;11103;Zuid-Holland;P28;30931;26953;62;73;26818;5214;3610;6985;2438;1341;1055;424;1308;2677;158;209;506;322;338;145;73;;15;;
Voorhout;G0625;10017;Zuid-Holland;P28;3899;3521;8;10;3503;289;1283;842;166;295;93;45;85;168;5;42;31;48;83;13;13;;2;;
Voorschoten;G0626;10537;Zuid-Holland;P28;13625;12111;59;11;12041;1910;1739;3408;1184;633;556;138;608;1095;127;107;181;184;73;63;27;;8;;
Voorst;G0285;10912;Gelderland;P25;14225;12396;43;12;12341;3248;2863;1958;720;309;1149;199;351;393;193;467;73;91;131;131;65;;;;
Vorden;G0286;10957;Gelderland;P25;5015;4470;16;9;4445;1036;490;667;680;114;535;21;101;147;15;175;51;24;22;360;7;;;;
Vries;G0133;10630;Drenthe;P22;5517;4671;22;14;4635;1722;51;1197;392;116;88;134;162;233;4;244;118;47;9;59;59;;;;
Vriezenveen;G0186;10643;Overijssel;P23;9675;8291;27;22;8242;1902;425;447;926;133;2362;63;156;90;612;419;555;21;15;72;44;;;;
Vught;G0865;11224;Noord-Brabant;P30;14980;12140;34;40;12066;1950;4381;2348;519;738;100;191;441;434;10;345;50;214;230;46;69;;;;
Vuren;G0287;11376;Gelderland;P25;1801;1587;1;4;1582;599;30;170;317;47;212;17;52;31;39;17;25;11;2;4;9;;;;
Waalre;G0866;10959;Noord-Brabant;P30;7322;6161;26;15;6120;909;2037;1450;235;322;48;94;238;341;4;184;26;85;96;12;39;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;15218;12476;37;18;12421;2117;4080;2082;672;634;383;307;487;399;64;509;72;173;271;62;109;;;;
Waardenburg;G0288;10238;Gelderland;P25;1374;1197;2;4;1191;362;14;98;89;14;186;10;29;25;298;43;11;5;1;5;1;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;12217;10763;56;17;10690;2409;886;1941;1463;451;598;133;666;492;1053;97;267;109;59;40;24;;2;;
Wageningen;G0289;11010;Gelderland;P25;19840;17739;44;31;17664;5186;1571;2632;1427;1811;1066;473;777;999;483;197;286;576;52;96;32;;;;
Wamel;G0290;10042;Gelderland;P25;5675;4744;18;18;4708;918;2307;508;120;247;75;42;113;57;6;169;8;17;78;14;29;;;;
Wanneperveen;G0187;10105;Overijssel;P23;1206;1022;2;1;1019;305;4;77;139;17;349;3;11;23;9;31;28;;1;12;10;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;2485;2174;5;0;2169;187;1562;167;33;54;4;9;35;21;3;29;4;20;20;2;19;;;;
Warffum;G0049;10498;Groningen;P20;1632;1467;0;1;1466;653;13;170;359;31;45;17;30;40;4;18;52;22;1;8;3;;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;1972;1692;17;1;1674;227;698;260;92;87;7;41;61;45;1;60;9;38;30;7;9;2;;;
Warmond;G0628;10204;Zuid-Holland;P28;2909;2539;8;14;2517;345;816;492;151;161;86;55;93;171;25;24;12;27;38;11;5;;5;;
Warnsveld;G0291;10838;Gelderland;P25;4870;4040;14;9;4017;1068;394;820;500;123;435;39;112;231;4;96;71;42;9;69;4;;;;
Waspik;G0869;10402;Noord-Brabant;P30;2623;2163;13;11;2139;347;981;190;111;68;80;43;59;31;16;135;7;17;24;6;24;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;19083;16990;42;61;16887;1993;2990;6317;1103;594;649;149;579;1657;102;119;167;145;193;70;54;;6;;
Wateringen;G0630;11329;Zuid-Holland;P28;7410;6395;25;15;6355;682;2649;1069;371;385;274;56;200;206;16;87;52;77;158;23;50;;;;
Weerselo;G0188;10893;Overijssel;P23;5004;4680;16;4;4660;245;3437;231;54;152;41;17;61;28;1;261;2;15;91;7;17;;;;
Weert;G0988;11081;Limburg;P31;22326;17255;73;119;17063;2354;9059;2188;315;641;49;237;593;354;14;616;27;196;238;59;123;;;;
Weesp;G0457;10773;Noord-Holland;P27;11662;10034;31;48;9955;2812;1000;1544;776;840;582;401;624;643;86;150;157;208;62;30;38;2;;;
Wehl;G0292;11116;Gelderland;P25;3520;2803;6;5;2792;373;1392;193;82;101;41;27;53;47;;226;2;26;186;17;26;;;;
Werkendam;G0870;10078;Noord-Brabant;P30;7706;6347;11;15;6321;1799;81;465;1821;107;506;47;83;85;1020;50;183;35;1;20;18;;;;
Wervershoof;G0459;11270;Noord-Holland;P27;3276;2879;13;8;2858;314;1663;271;45;87;7;51;68;55;;133;2;31;103;12;14;2;;;
Wessem;G0989;10127;Limburg;P31;1383;971;1;10;960;149;520;100;18;31;1;8;29;16;1;24;;10;14;8;31;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;4216;3796;26;6;3764;755;18;324;1297;35;779;78;39;81;90;36;168;40;2;18;4;;;;
Westerbork;G0134;11095;Drenthe;P22;4448;3956;7;7;3942;1590;23;771;670;91;217;62;75;102;38;112;73;30;2;57;29;;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;941;838;6;3;829;105;494;72;11;47;;10;35;11;;25;;7;11;;1;;;;
Westerschouwen;G0725;10701;Zeeland;P29;3154;2702;5;4;2693;778;40;703;329;50;345;20;82;103;136;27;26;18;3;23;10;;;;
Westervoort;G0293;11085;Gelderland;P25;2771;2371;7;0;2364;528;900;229;134;139;79;39;97;69;7;56;15;41;17;3;11;;;;
Westkapelle;G0726;10931;Zeeland;P29;1751;1511;2;4;1505;515;11;146;168;29;223;11;17;42;224;20;66;8;2;6;17;;;;
Westmaas;G0631;10695;Zuid-Holland;P28;1208;1059;6;0;1053;279;10;234;213;28;106;14;45;28;37;11;21;10;2;7;8;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;15274;13097;71;23;13003;5110;1064;1700;972;384;1129;699;424;414;30;466;180;200;81;76;74;;;;
Westwoud;G0460;11101;Noord-Holland;P27;1100;933;5;0;928;135;422;129;26;36;12;36;28;23;;13;4;22;27;3;10;2;;;
Westzaan;G0461;11381;Noord-Holland;P27;2997;2574;4;9;2561;784;80;349;238;137;70;437;147;90;61;39;31;62;7;9;18;2;;;
Wierden;G0189;10676;Overijssel;P23;11565;10574;19;11;10544;1240;2827;725;1805;292;1771;62;148;219;714;278;297;22;79;48;17;;;;
Wieringen;G0462;11277;Noord-Holland;P27;5075;4257;19;7;4231;1547;239;897;279;103;145;374;170;141;8;85;48;120;11;15;35;14;;;
Wieringermeer;G0463;10239;Noord-Holland;P27;6444;5704;21;16;5667;1366;880;908;954;233;409;153;161;224;24;66;143;66;29;22;24;5;;;
Wijchen;G0296;10723;Gelderland;P25;10940;8989;39;18;8932;1745;3967;930;329;568;55;141;318;164;2;411;18;86;125;22;51;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;827;725;9;2;714;169;179;131;36;23;17;44;47;22;1;21;6;11;5;1;1;;;;
Wijhe;G0190;10888;Overijssel;P23;4195;3821;12;8;3801;1076;971;388;337;62;518;32;62;66;36;134;34;21;30;25;9;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;4140;3424;14;11;3399;771;894;617;236;140;155;80;131;130;31;74;38;30;36;17;19;;;;
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;2361;1892;13;5;1874;294;5;161;576;25;66;6;15;31;590;48;29;9;;7;12;;;;
Wijlre;G0991;10131;Limburg;P31;2133;1752;14;11;1727;205;970;128;29;99;4;29;54;33;;80;2;20;61;3;10;;;;
Wijnandsrade;G0992;10992;Limburg;P31;941;834;2;1;831;119;349;85;15;157;2;7;26;14;2;16;;8;24;1;6;;;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;366;344;6;0;338;36;1;27;115;6;12;2;6;3;112;9;8;;;1;;;;;
Willemstad;G0872;10827;Noord-Brabant;P30;1585;1376;6;1;1369;409;77;156;225;33;304;19;30;32;28;23;19;6;1;3;4;;;;
Willeskop;G0349;10758;Utrecht;P26;610;516;0;6;510;58;242;50;31;8;39;1;5;9;37;20;4;1;5;;;;;;
Wilnis;G0350;10365;Utrecht;P26;3065;2631;12;13;2606;194;561;427;519;109;245;38;104;105;95;65;78;25;22;10;9;;;;
Winschoten;G0052;10453;Groningen;P20;13010;11191;32;21;11138;4610;276;1393;1203;250;478;1620;297;346;9;76;243;111;29;116;81;;;;
Winsum;G0053;11135;Groningen;P20;2822;2636;4;4;2628;780;23;342;955;101;100;16;56;83;4;15;92;27;;24;10;;;;
Winterswijk;G0294;11119;Gelderland;P25;17963;15589;24;56;15509;6033;1740;2847;1507;383;661;149;666;738;23;295;119;108;65;110;65;;;;
Wisch;G0295;10318;Gelderland;P25;11956;9735;31;19;9685;2176;2302;1335;1167;303;957;86;316;320;20;343;59;64;66;113;58;;;;
Wissenkerke;G0727;10243;Zeeland;P29;2165;1887;2;3;1882;315;16;223;533;32;401;23;28;38;148;23;80;5;1;6;10;;;;
Wittem;G0990;11371;Limburg;P31;4362;3619;31;11;3577;454;2212;279;58;118;10;49;109;34;2;121;7;28;63;9;24;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;5376;4061;28;21;4012;878;1365;683;171;154;49;54;164;122;7;228;17;29;45;13;33;;;;
Woerden;G0632;10974;Zuid-Holland;P28;12975;11204;34;32;11138;1855;2086;1863;1473;564;1184;123;417;542;474;138;213;79;75;33;17;;2;;
Wognum;G0466;10818;Noord-Holland;P27;1996;1737;13;3;1721;229;889;188;30;65;4;34;88;30;;34;7;28;78;1;14;2;;;
Wonseradeel;G0099;10454;Fryslân;P21;7682;6749;36;20;6693;1561;420;615;1572;229;1313;168;133;163;38;101;200;91;28;28;33;;;;
Workum;G0100;10768;Fryslân;P21;2652;2393;10;7;2376;387;407;181;442;83;564;28;47;59;7;36;48;23;30;24;10;;;;
Wormer;G0467;10648;Noord-Holland;P27;7162;6333;15;9;6309;1741;937;731;419;517;86;762;353;284;36;48;108;160;63;23;21;20;;;
