RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6298;5540;;15;5525;1208;733;731;609;73;71;111;623;1123;129;24;29;16;9;4;3;4;3;7;9;2;0;0;3;1;0
Nieuwleusen;G0170;10384;Overijssel;P23;6094;5152;;17;5135;1008;1865;811;476;100;36;63;128;160;362;12;42;10;7;1;1;1;24;5;2;0;0;20;;1;0
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;1800;1441;;5;1436;491;330;221;202;72;22;55;8;1;5;7;10;1;4;0;3;0;0;3;1;0;0;0;0;0;0
Nijefurd;G0104;10768;Fryslân;P21;7755;6571;;21;6550;1657;2508;909;689;143;179;55;177;17;66;25;33;10;32;1;9;14;0;4;6;9;4;2;;1;0
Nijeveen;G0121;10774;Drenthe;P22;2201;1951;;9;1942;371;664;440;266;34;22;16;35;8;46;4;5;3;0;0;2;0;4;2;1;0;0;18;;0;1
Nijkerk;G0267;10446;Gelderland;P25;19287;16039;;79;15960;2405;4802;2739;1965;312;186;424;1054;1064;634;20;179;41;28;15;4;3;32;9;6;6;9;17;;2;4
Nijmegen;G0268;11209;Gelderland;P25;114494;87440;;292;87148;24948;14856;10586;16641;3263;8557;1916;263;96;319;3498;606;233;284;193;346;59;37;60;;156;97;27;;75;32
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7237;6111;;11;6100;1330;1151;1707;987;212;158;101;154;64;49;24;39;16;32;1;10;6;11;6;1;8;3;18;5;1;6
Noordoostpolder;G0171;10144;Flevoland;P24;28029;23648;;57;23591;4424;7803;4362;2842;594;483;358;941;425;760;80;227;62;40;10;47;26;47;11;15;7;13;;7;5;2
Noordwijk;G0575;10769;Zuid-Holland;P28;19018;15101;;44;15057;2597;3833;4254;2148;555;586;299;226;42;87;121;87;94;45;12;19;5;9;8;7;6;9;2;;1;5
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11224;9470;;45;9425;1345;2950;2756;1351;275;209;137;27;12;17;53;72;91;29;17;17;3;18;12;6;8;8;3;;6;3
Nootdorp;G0577;10601;Zuid-Holland;P28;5915;4883;;10;4873;587;1489;1508;733;97;95;160;36;16;43;21;28;13;12;5;12;0;3;5;4;0;1;3;;0;2
Norg;G0120;10608;Drenthe;P22;5404;4476;;17;4459;1355;577;1295;695;118;131;68;24;13;52;23;18;4;3;8;5;1;19;0;10;3;2;31;;3;1
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;16170;13660;;20;13640;2317;3957;2957;2740;741;338;204;29;9;71;76;47;25;36;15;14;3;9;8;;3;19;5;5;9;3
Nunspeet;G0302;10512;Gelderland;P25;18603;16317;;50;16267;1580;4035;2609;1305;372;141;277;2388;3012;261;20;100;17;34;14;8;4;54;11;8;5;4;4;;2;2
Nuth;G0951;10104;Limburg;P31;13258;10880;;51;10829;2555;3574;1521;1517;531;309;274;23;15;48;170;79;24;99;14;12;2;10;14;12;5;4;1;;10;6
Obdam;G0429;11338;Noord-Holland;P27;4543;3944;;11;3933;633;1405;981;558;92;120;45;10;6;12;11;27;5;9;2;4;2;2;3;2;1;1;0;1;0;1
Odoorn;G0122;11320;Drenthe;P22;9734;7863;;31;7832;3183;1248;1449;1001;158;140;118;148;6;122;57;81;14;22;0;14;11;21;3;1;5;14;11;;1;4
Oegstgeest;G0579;10287;Zuid-Holland;P28;13973;12228;;35;12193;1975;2377;4014;2217;343;479;110;128;44;205;67;100;22;28;16;18;5;3;12;8;12;4;1;;1;4
Oirschot;G0823;10225;Noord-Brabant;P30;8935;7259;;33;7226;1397;2726;1189;1088;345;123;147;8;5;10;68;44;15;12;3;10;1;11;9;;1;4;7;1;1;1
Oisterwijk;G0824;10103;Noord-Brabant;P30;14322;11375;;12;11363;2275;3024;2682;1867;541;348;212;43;29;36;111;64;19;20;11;11;5;6;16;1;7;16;3;8;6;2
Oldebroek;G0269;11106;Gelderland;P25;15482;12514;;15;12499;2217;3315;1215;713;122;78;136;2354;1652;509;38;48;44;5;7;5;2;17;4;0;2;2;6;;4;4
Oldenzaal;G0173;11100;Overijssel;P23;22847;19331;;65;19266;4304;6310;3345;3099;558;526;351;51;13;75;137;266;36;49;19;21;13;23;20;12;7;19;1;;5;6
Olst;G0174;10409;Overijssel;P23;7095;6097;;22;6075;1851;1658;1295;753;96;137;67;34;27;20;19;38;9;9;7;10;2;14;1;1;4;22;0;;0;1
Ommen;G0175;11069;Overijssel;P23;13455;12112;;30;12082;1889;5055;1828;1199;191;139;74;284;56;1165;19;68;13;10;5;9;3;51;4;2;4;1;6;;5;2
Onderbanken;G0881;10492;Limburg;P31;6473;4994;;25;4969;1306;1593;544;580;319;121;233;5;8;25;107;40;14;40;2;5;5;6;2;7;2;0;0;;5;0
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;3865;3097;;15;3082;506;1363;539;376;109;46;60;2;3;3;20;12;12;12;1;2;0;6;1;1;1;2;4;1;0;0
Oostburg;G0692;10782;Zeeland;P29;13753;10510;;55;10455;2889;2236;2619;1202;400;192;300;122;137;81;40;97;37;10;5;18;15;17;11;;6;6;9;;2;4
Oosterhesselen;G0123;10490;Drenthe;P22;3801;3248;;7;3241;1062;716;592;366;65;49;62;81;16;95;22;26;2;4;0;4;5;24;2;1;2;4;40;;1;0
Oosterhout;G0826;11280;Noord-Brabant;P30;37331;29025;;49;28976;6784;6148;6382;5518;1320;581;787;136;49;73;314;335;79;57;100;61;13;17;36;12;9;123;9;6;14;13
Oostflakkee;G0580;10714;Zuid-Holland;P28;7504;6158;;28;6130;1724;1322;955;702;138;66;202;236;603;44;13;42;17;14;3;11;0;5;6;6;3;6;6;2;0;4
Ooststellingwerf;G0085;10836;Fryslân;P21;18918;15510;;44;15466;5415;3258;2563;1992;352;530;259;213;64;359;78;67;30;42;7;20;23;32;13;81;27;8;25;;5;3
Oostzaan;G0431;11303;Noord-Holland;P27;6384;5222;;11;5211;1362;528;1535;834;183;324;174;66;21;7;33;55;16;11;4;6;9;3;9;6;5;1;0;17;1;1
Ootmarsum;G0176;11079;Overijssel;P23;3411;3131;;11;3120;503;1473;546;335;85;49;32;9;12;10;4;39;10;2;0;1;3;0;5;1;0;0;1;;0;0
Opmeer;G0432;10609;Noord-Holland;P27;7604;6379;;26;6353;1210;2231;1468;791;204;165;80;30;1;22;23;30;4;25;4;16;1;17;4;6;5;2;7;4;1;2
Opsterland;G0086;10005;Fryslân;P21;20477;16876;;26;16850;5917;3568;2500;2004;282;591;156;357;59;873;100;96;49;28;11;33;140;8;16;27;13;8;5;;4;5
Oss;G0828;10834;Noord-Brabant;P30;45936;35287;;34;35253;7116;8214;5622;4729;1590;682;1034;76;32;67;4552;1028;92;124;64;28;14;26;30;;54;16;9;18;21;15
Ossendrecht;G0829;10929;Noord-Brabant;P30;3916;2847;;15;2832;666;760;553;418;162;43;112;12;4;12;11;28;13;7;6;7;0;3;5;3;0;1;2;4;0;0
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;6416;4636;;31;4605;1190;1280;804;669;210;73;191;13;3;7;42;37;20;4;2;10;1;16;8;6;5;3;1;6;1;3
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;15338;12354;;9;12345;2418;2118;3026;1955;238;277;281;488;1177;99;61;87;39;16;7;15;3;3;12;7;7;3;0;5;1;2
Oudenbosch;G0830;10397;Noord-Brabant;P30;9300;7030;;37;6993;1551;1876;1510;1074;278;139;310;13;14;16;44;51;25;17;10;8;3;4;6;4;4;7;0;22;3;4
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9104;7651;;22;7629;1422;1615;2244;1237;387;207;182;52;49;30;34;54;17;20;11;10;9;0;4;7;7;4;2;23;0;2
Ouderkerk;G0644;10095;Zuid-Holland;P28;6201;5311;;27;5284;963;910;1229;586;91;58;163;267;819;103;5;34;18;12;2;3;1;4;2;1;0;3;1;;5;4
Oudewater;G0589;10188;Utrecht;P26;7234;6144;;14;6130;820;2257;1333;793;136;84;155;180;208;55;9;33;22;11;3;5;4;9;3;1;0;3;1;5;0;0
Papendrecht;G0590;10427;Zuid-Holland;P28;21655;17525;;18;17507;3853;3234;3869;3242;469;330;377;809;677;187;117;93;71;30;62;12;3;5;11;4;7;17;8;16;2;2
Peize;G0124;10501;Drenthe;P22;3925;3231;;14;3217;1273;235;800;595;72;92;56;10;7;8;18;15;5;2;1;2;3;10;4;0;3;3;2;;0;1
Pekela;G0765;10848;Groningen;P20;10157;7910;;50;7860;3632;1088;748;654;258;655;142;256;20;45;100;46;27;12;2;10;120;3;6;10;7;5;7;;6;1
Pijnacker;G0594;10031;Zuid-Holland;P28;14095;12296;;23;12273;1499;3657;3688;1887;234;274;240;158;234;173;56;52;31;20;2;9;0;5;13;16;8;3;7;;4;3
Posterholt;G0956;10456;Limburg;P31;8563;6638;;27;6611;1701;1954;1139;904;347;144;202;18;3;21;30;53;16;34;8;8;2;6;6;5;1;3;2;;0;4
Prinsenbeek;G0832;11354;Noord-Brabant;P30;8041;6665;;24;6641;1180;2094;1599;1106;215;89;106;22;6;17;36;94;18;17;8;3;1;5;5;13;0;3;0;3;1;0
Purmerend;G0439;11066;Noord-Holland;P27;47822;36738;;92;36646;9275;3676;10280;7230;2037;1353;832;280;41;96;275;420;153;120;72;75;109;11;53;35;37;18;17;118;23;10
Putte;G0833;10099;Noord-Brabant;P30;2864;1890;;9;1881;361;401;431;291;86;17;76;6;2;7;12;132;16;7;2;7;1;1;16;0;3;2;1;3;0;0
Putten;G0273;11109;Gelderland;P25;15998;13957;;50;13907;1591;4397;2528;1392;285;121;261;1585;1163;369;28;62;18;23;11;3;3;33;15;0;3;8;3;;3;2
Raalte;G0177;10279;Overijssel;P23;20843;17918;;44;17874;3147;8996;2324;2125;288;270;178;76;14;66;138;91;19;22;10;9;1;64;11;5;5;4;4;;5;2
Raamsdonk;G0834;11391;Noord-Brabant;P30;10666;8047;;10;8037;2032;1927;1699;1216;348;217;220;35;46;34;67;92;24;11;13;10;6;8;7;4;10;3;1;3;1;3
Ravenstein;G0835;10805;Noord-Brabant;P30;6269;5264;;18;5246;1361;1763;717;664;208;110;118;9;6;9;172;51;12;8;1;7;0;8;9;;5;2;3;3;0;0
Reeuwijk;G0595;10485;Zuid-Holland;P28;9458;8208;;16;8192;1024;2196;2351;1040;161;166;183;300;531;86;17;55;25;15;1;5;3;11;8;8;1;1;1;;3;0
Reiderland;G1661;11043;Groningen;P20;5660;4601;;31;4570;1791;176;416;333;165;107;59;32;5;7;60;24;10;10;3;14;1312;10;4;9;3;1;15;;1;3
Reimerswaal;G0703;10077;Zeeland;P29;14439;11863;;23;11840;1995;2262;1825;981;402;119;344;382;3098;147;41;88;50;11;16;18;11;9;12;;6;9;6;;4;4
Renkum;G0274;11325;Gelderland;P25;26008;23432;;71;23361;5152;6004;5517;3621;772;823;263;286;150;207;117;156;45;70;34;37;10;8;19;8;17;26;7;;10;2
Renswoude;G0339;10269;Utrecht;P26;2603;2187;;0;2187;246;760;467;118;38;12;75;141;249;34;1;25;2;2;2;0;1;7;1;0;1;0;1;0;4;0
Reusel;G0836;10162;Noord-Brabant;P30;5736;4396;;12;4384;882;1834;692;533;155;61;105;8;7;9;20;37;12;6;4;6;0;5;4;;1;0;0;0;1;2
Rheden;G0275;11355;Gelderland;P25;35904;29516;;67;29449;8846;5822;6135;4852;956;933;375;436;58;233;209;158;61;106;85;51;21;13;29;15;9;23;4;;18;1
Rhenen;G0340;10309;Utrecht;P26;12951;10576;;27;10549;2195;2120;2135;1274;286;223;208;325;1253;129;47;160;33;20;18;13;3;16;8;3;3;7;51;11;4;4
Ridderkerk;G0597;10646;Zuid-Holland;P28;35842;28358;;47;28311;6779;5142;5304;4235;845;356;699;877;2521;634;251;215;169;50;49;27;20;16;28;16;20;16;4;14;14;10
Riethoven;G0837;10455;Noord-Brabant;P30;1749;1506;;8;1498;185;665;315;193;57;23;25;3;0;3;11;7;2;5;0;0;0;1;0;;0;1;2;0;0;0
Rijnsburg;G0602;11118;Zuid-Holland;P28;9807;8169;;21;8148;790;3694;1408;680;139;89;99;482;156;486;16;35;20;13;4;9;3;5;5;2;0;4;5;;1;3
Rijnwaarden;G0196;10819;Gelderland;P25;7850;5867;;25;5842;1967;1591;688;985;199;100;151;13;5;12;35;42;8;12;1;5;3;4;8;4;6;0;2;;1;0
Rijnwoude;G1672;11257;Zuid-Holland;P28;14220;12004;;11;11993;1685;3316;2948;1863;193;261;208;465;657;106;86;62;39;15;8;22;6;8;12;4;13;4;3;;3;6
Rijsbergen;G0841;10866;Noord-Brabant;P30;4340;3313;;16;3297;723;1184;625;487;87;42;53;9;5;7;17;23;5;6;6;3;1;8;2;2;1;0;0;1;0;0
Rijssen;G0178;10358;Overijssel;P23;17006;15406;;56;15350;1936;3419;1111;713;200;90;279;2569;4652;176;32;95;25;4;5;3;3;18;6;0;2;2;4;;5;1
Rijswijk;G0603;11133;Zuid-Holland;P28;37602;30452;;100;30352;5684;5677;8843;5055;1211;840;958;279;136;240;300;353;228;116;238;40;17;10;31;19;23;12;10;13;10;9
Roden;G0125;10699;Drenthe;P22;14276;12201;;28;12173;4193;2029;2474;1797;290;340;181;142;8;406;57;96;16;22;19;10;11;20;17;3;5;2;19;;13;3
Roerdalen;G1669;10196;Limburg;P31;7630;5979;;31;5948;1279;1698;1301;825;279;136;191;2;8;14;32;65;10;57;7;6;1;5;14;3;0;9;1;;3;2
Roermond;G0957;11313;Limburg;P31;31125;21825;;81;21744;4652;4754;4903;3011;1273;1122;1008;86;14;98;237;165;79;154;73;12;9;11;18;12;12;31;1;;3;6
Roggel en Neer;G1670;10505;Limburg;P31;6033;4675;;6;4669;954;1722;861;635;190;118;77;6;7;7;14;20;8;10;0;3;3;9;3;3;4;2;9;;3;1
Rolde;G0126;10470;Drenthe;P22;4977;4246;;2;4244;1443;410;1411;596;86;126;24;11;4;29;19;17;2;12;0;7;1;15;1;0;4;1;25;;0;0
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;46314;33571;;82;33489;6969;8272;6934;5431;1584;915;1407;137;55;131;504;316;273;70;119;58;17;65;71;15;25;23;12;31;33;22
Rosmalen;G0839;10970;Noord-Brabant;P30;20336;16451;;45;16406;3290;3921;3515;2851;620;411;320;34;15;50;981;218;28;32;19;11;7;5;23;;18;18;3;7;5;4
Rossum;G0276;10860;Gelderland;P25;2411;2031;;11;2020;546;592;367;284;65;45;53;4;6;1;15;8;7;10;0;5;2;3;1;;2;3;1;;0;0
Rotterdam;G0599;10345;Zuid-Holland;P28;426382;303694;;12843;290851;89516;33716;52864;43224;13027;12744;19016;2941;3244;2737;6438;2863;2702;945;576;430;447;113;343;1706;221;240;97;208;413;80
Rozenburg;G0600;11314;Zuid-Holland;P28;10920;7920;;42;7878;1817;1333;1828;1518;294;138;301;97;56;183;51;98;46;21;27;12;16;4;9;7;8;9;2;0;2;1
Rozendaal;G0277;10684;Gelderland;P25;1025;931;;0;931;115;207;375;153;26;24;9;8;0;3;1;3;1;3;2;1;0;0;0;0;0;0;0;;0;0
Rucphen;G0840;11152;Noord-Brabant;P30;17539;11707;;51;11656;3739;2748;1788;1454;406;122;1056;26;4;9;82;71;32;17;14;9;3;16;16;11;6;4;0;9;2;12
Ruinen;G0127;10629;Drenthe;P22;5536;4864;;18;4846;1475;841;1456;575;82;68;61;52;9;43;15;8;8;12;1;5;3;36;3;2;1;4;81;;2;3
Ruinerwold;G0128;10944;Drenthe;P22;2724;2376;;7;2369;574;520;671;335;35;39;22;24;3;54;4;16;3;15;0;5;0;4;1;0;0;0;44;;0;0
Ruurlo;G0278;10879;Gelderland;P25;6095;4966;;8;4958;1347;1153;1555;590;73;61;51;18;9;10;29;34;3;5;2;3;0;3;3;3;0;0;4;;0;2
Sas van Gent;G0704;11405;Zeeland;P29;6102;4417;;28;4389;1112;891;888;715;255;105;187;13;24;19;22;79;20;8;8;7;3;9;9;;0;7;2;;3;3
Sassenheim;G0604;10612;Zuid-Holland;P28;10759;9139;;18;9121;1291;2949;2475;1433;268;148;84;60;29;47;80;70;112;28;9;7;1;2;11;3;5;1;1;;3;4
Schagen;G0441;10511;Noord-Holland;P27;13011;10447;;20;10427;2552;1629;2754;2101;350;364;146;66;6;43;95;147;30;62;9;12;8;9;13;2;7;7;4;7;1;3
Scheemda;G0039;10711;Groningen;P20;10654;8877;;30;8847;3778;1756;961;854;244;277;107;319;14;108;71;43;20;18;2;18;204;5;5;10;4;5;17;;4;3
Schermer;G0458;10308;Noord-Holland;P27;3698;3150;;9;3141;681;901;820;440;82;64;49;10;3;9;9;21;4;12;4;7;4;8;3;4;1;3;0;1;1;0
Scherpenzeel;G0279;11146;Gelderland;P25;6477;5739;;13;5726;874;1551;1220;537;113;53;110;393;730;60;6;41;11;9;1;0;0;4;2;4;2;0;5;;0;0
Schiedam;G0606;11260;Zuid-Holland;P28;54022;39993;;74;39919;11533;6028;7176;6949;1588;1433;1984;460;254;229;491;357;285;133;92;53;52;29;59;522;35;20;18;93;26;20
Schiermonnikoog;G0088;10355;Fryslân;P21;801;962;;1;961;247;236;209;159;12;54;0;2;4;20;3;11;0;1;2;1;0;0;0;0;0;0;0;;0;0
Schijndel;G0844;11178;Noord-Brabant;P30;16840;13912;;1191;12721;2953;3612;1852;1651;521;236;319;16;16;11;1241;96;17;17;25;4;3;19;10;;16;5;71;5;4;1
Schinnen;G0962;10132;Limburg;P31;10765;9687;;691;8996;2021;3043;1262;1390;442;224;180;18;12;41;129;87;12;83;13;4;2;3;10;7;3;5;2;;3;0
Schipluiden;G0607;10130;Zuid-Holland;P28;6463;5679;;5;5674;536;2495;1466;648;89;116;88;73;35;45;9;17;12;12;1;5;0;6;7;1;4;6;0;1;1;1
Schoonebeek;G0129;10064;Drenthe;P22;5833;4664;;10;4654;1415;1805;446;589;92;56;61;30;3;36;15;42;10;12;0;4;0;10;2;7;2;2;6;;7;2
Schoonhoven;G0608;10980;Zuid-Holland;P28;8926;7614;;21;7593;1399;1630;1707;1415;164;237;212;251;298;63;28;52;25;16;24;36;5;3;11;7;5;4;1;;0;0
Schoorl;G0444;10627;Noord-Holland;P27;5239;4489;;9;4480;1002;911;1204;751;140;167;77;19;7;8;34;39;9;31;5;16;1;4;5;12;6;21;0;6;1;4
Sevenum;G0964;10045;Limburg;P31;5336;4151;;8;4143;669;1953;592;556;86;50;46;9;9;22;79;36;10;9;0;4;1;1;4;0;2;0;2;;2;1
's-Graveland;G0390;10534;Noord-Holland;P27;7245;6160;;15;6145;1017;1417;1820;1062;193;150;145;74;59;75;10;32;5;25;12;10;7;5;8;1;5;6;2;2;1;2
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6639;5540;;12;5528;1420;1296;1096;747;96;71;160;161;330;77;8;13;15;9;4;10;0;2;1;2;5;1;0;0;1;3
's-Gravenhage;G0518;11434;Zuid-Holland;P28;334584;238611;;829;237782;55918;33690;62388;37318;8494;10051;11732;2243;1680;1837;3574;2797;1577;879;1087;760;192;97;238;308;274;192;51;212;114;79
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;1673;1441;;0;1441;227;460;287;217;24;20;32;96;29;12;14;15;0;1;0;0;0;1;0;0;1;1;2;2;0;0
's-Gravenzande;G0519;10640;Zuid-Holland;P28;13966;11418;;16;11402;1356;3738;3513;1033;246;129;297;340;443;107;26;63;44;10;4;6;5;13;9;6;1;1;4;3;2;3
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;72725;54833;;80;54753;13700;10309;8901;9447;3151;3090;2028;183;52;278;1531;902;232;199;213;71;31;42;74;;75;110;9;45;53;27
Simpelveld;G0965;10515;Limburg;P31;8835;6799;;17;6782;1920;2250;709;862;321;159;191;10;24;23;112;60;23;56;4;7;7;6;16;7;1;10;1;;3;0
Sint Philipsland;G0712;10394;Zeeland;P29;1759;1491;;0;1491;206;248;180;130;23;9;37;72;548;14;9;2;6;0;0;3;0;0;0;;0;2;1;;0;1
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;9492;7659;;23;7636;1885;2115;1247;1317;314;156;115;9;10;22;157;212;17;13;0;2;3;10;8;;9;8;3;2;2;0
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12721;10472;;22;10450;2093;3795;1613;1677;564;202;155;10;10;16;119;31;17;49;7;6;3;16;18;;7;6;30;1;3;2
Sittard;G0968;11230;Limburg;P31;36123;26526;;108;26418;6652;7137;3647;4080;1603;1383;734;62;27;89;289;233;49;150;97;26;16;17;34;18;11;15;4;;40;5
Skarsterlân;G0051;10022;Fryslân;P21;18834;15932;;41;15891;4378;5216;2498;2094;425;335;187;312;41;104;45;48;45;42;6;16;26;11;11;15;15;7;7;;6;1
Sleen;G0130;10489;Drenthe;P22;6750;5787;;20;5767;2472;990;1044;674;100;86;88;106;10;43;29;41;5;12;3;3;14;23;2;4;1;1;15;;1;0
Sliedrecht;G0610;11331;Zuid-Holland;P28;17719;14170;;21;14149;3582;2272;2154;1831;268;208;353;828;2080;283;49;68;46;23;18;17;9;9;9;8;7;3;1;14;4;5
Slochteren;G0040;10747;Groningen;P20;10844;8606;;22;8584;2865;1281;1401;1104;216;224;135;106;29;845;47;166;26;7;1;26;23;26;7;7;6;5;24;;3;4
Sluis;G0713;10895;Zeeland;P29;2064;1678;;10;1668;382;367;523;209;83;16;40;11;3;6;2;11;2;4;2;2;1;0;2;;1;1;0;;0;0
Smallingerland;G0090;10405;Fryslân;P21;38170;32092;;64;32028;10707;8213;3647;3870;687;1161;292;1244;158;1264;264;111;82;71;27;20;89;14;14;31;25;13;13;;6;5
Smilde;G0131;11033;Drenthe;P22;7073;5914;;17;5897;1805;1681;870;748;94;168;70;98;15;176;47;19;10;6;19;7;6;21;1;6;1;0;22;;1;6
Sneek;G0091;11421;Fryslân;P21;22564;17669;;30;17639;5617;4604;2704;2501;466;489;176;414;38;141;67;70;56;52;16;29;52;3;6;19;93;8;8;;8;2
Soest;G0342;11021;Utrecht;P26;31451;25856;;53;25803;4108;5889;8014;4028;835;651;493;521;211;380;106;140;121;65;74;39;7;9;22;16;6;18;5;31;8;6
Someren;G0847;10203;Noord-Brabant;P30;13258;10412;;29;10383;1748;4242;1736;1357;544;162;286;12;13;25;92;61;23;8;8;4;0;8;19;;5;5;13;4;2;6
Son en Breugel;G0848;10549;Noord-Brabant;P30;11276;9305;;22;9283;1327;2724;2409;1630;523;174;195;35;18;31;46;63;11;38;11;5;3;11;2;;6;11;4;1;2;3
Spijkenisse;G0612;10735;Zuid-Holland;P28;51044;37247;;84;37163;9728;3822;9568;7398;1486;828;1335;459;278;292;560;383;357;124;127;49;61;8;47;59;20;23;17;106;16;12
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;7370;5926;;41;5885;881;1359;1209;714;214;79;195;429;575;62;37;50;13;12;4;15;3;10;6;4;1;8;0;3;0;2
St.Anthonis;G1691;11415;Noord-Brabant;P30;8284;7061;;35;7026;1275;3314;933;832;259;165;71;5;6;17;38;48;6;21;0;6;2;8;6;;1;5;4;2;1;1
Stad Delden;G0179;10913;Overijssel;P23;5794;5171;;7;5164;959;1872;1246;692;81;63;68;18;4;28;22;63;12;11;2;5;3;6;3;2;1;2;0;;1;0
Stadskanaal;G0037;10610;Groningen;P20;25753;19681;;70;19611;6899;5077;2015;1910;501;303;269;1256;36;808;138;99;54;19;18;30;72;31;15;7;16;5;19;;9;5
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;2201;1742;;3;1739;407;492;376;273;61;26;43;10;1;4;7;15;6;4;1;2;0;0;5;1;0;1;0;3;0;1
Staphorst;G0180;11362;Overijssel;P23;9733;8612;;7;8605;806;1656;954;468;67;34;73;892;2665;766;10;31;9;5;1;5;4;63;4;1;4;2;82;;2;1
Stede Broec;G0532;11337;Noord-Holland;P27;14135;11420;;48;11372;2356;2748;2506;2046;523;346;271;83;11;44;59;148;39;45;16;17;15;14;15;6;11;9;1;17;5;21
Steenbergen;G0851;10731;Noord-Brabant;P30;11374;8445;;38;8407;2239;1848;1893;1371;277;128;390;27;10;11;45;31;54;13;21;10;5;4;6;1;2;5;4;4;2;6
Steenderen;G0280;10497;Gelderland;P25;3554;3118;;11;3107;694;1243;602;334;53;63;32;30;7;6;8;14;2;4;0;9;1;0;1;0;0;2;0;;0;2
Steenwijk;G0181;10546;Overijssel;P23;16386;13575;;33;13542;4492;3195;2106;1687;416;421;221;380;31;276;52;80;24;36;23;10;11;30;13;6;2;6;17;;4;3
Stein;G0971;11319;Limburg;P31;21024;16328;;90;16238;4360;4193;2301;2520;942;490;587;25;22;45;190;220;49;91;50;20;7;19;27;19;13;14;12;;18;4
Stramproy;G0973;11186;Limburg;P31;3778;2971;;12;2959;651;1143;412;363;134;68;91;9;5;5;30;10;1;12;3;1;1;3;5;1;1;0;4;;3;3
Strijen;G0617;10558;Zuid-Holland;P28;6684;5477;;12;5465;1434;1018;1355;700;97;131;150;139;263;69;21;30;13;9;0;4;4;5;3;3;1;3;5;3;0;5
Susteren;G0974;10457;Limburg;P31;10249;8010;;48;7962;2011;2464;1007;1199;584;178;230;12;9;29;53;51;13;59;12;6;4;7;13;6;2;0;1;;7;5
Swalmen;G0975;10474;Limburg;P31;6551;4775;;19;4756;1351;1293;725;725;236;171;122;6;3;5;15;42;12;18;8;0;2;4;6;5;0;2;3;;1;1
Tegelen;G0976;11333;Limburg;P31;13492;9651;;14;9637;2430;2825;1395;1486;412;216;444;14;21;38;88;120;28;34;20;15;9;5;12;4;5;5;2;;5;4
Ten Boer;G0009;10891;Groningen;P20;4975;4359;;17;4342;1137;1119;515;567;87;106;36;119;17;520;33;19;8;9;2;8;17;3;2;0;5;0;8;;2;3
Ter Aar;G0480;11104;Zuid-Holland;P28;6703;5657;;16;5641;602;2236;1477;677;118;132;129;48;79;34;23;27;20;13;4;9;2;4;4;1;0;0;0;;2;0
Terheijden;G0853;10905;Noord-Brabant;P30;6544;5289;;15;5274;1210;1331;1022;1080;169;124;146;22;14;15;25;29;14;12;10;12;2;5;7;4;3;9;4;3;2;0
Terneuzen;G0715;10704;Zeeland;P29;26224;19840;;78;19762;4285;3666;3767;2737;881;504;831;476;998;773;162;353;125;59;24;20;9;21;19;;8;23;8;;6;7
Terschelling;G0093;11210;Fryslân;P21;3871;3971;;19;3952;1098;728;989;645;103;155;66;40;3;28;22;18;11;10;0;9;1;5;6;0;8;4;1;;0;2
Teteringen;G0854;10677;Noord-Brabant;P30;4329;3769;;7;3762;540;1124;923;707;173;89;68;6;5;11;35;37;6;11;7;4;1;1;3;0;3;6;0;0;2;0
Texel;G0448;10237;Noord-Holland;P27;9906;9120;;14;9106;2120;2292;2104;1385;249;443;83;106;55;46;35;52;9;47;5;12;15;7;7;2;6;6;14;4;2;0
Tholen;G0716;10376;Zeeland;P29;14611;11408;;0;11408;2386;1868;1784;1105;232;122;246;616;2615;155;106;37;53;7;6;9;5;16;10;;11;9;2;;3;5
