RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Epe;G0232;10940;Gelderland;P25;25820;21692;;112;21580;5709;4931;4555;2894;565;427;478;654;662;192;76;137;51;57;40;7;6;67;29;11;7;6;7;;5;7
Ermelo;G0233;10732;Gelderland;P25;19764;16432;;32;16400;1683;5584;3370;1915;363;324;201;1145;708;676;209;80;17;34;33;11;4;16;3;5;1;5;5;;4;4
Esch;G0776;10709;Noord-Brabant;P30;1524;1300;;2;1298;225;522;185;195;45;23;35;7;2;6;9;30;4;4;0;0;0;0;1;;0;4;0;1;0;0
Etten-Leur;G0777;10750;Noord-Brabant;P30;25173;19014;;62;18952;4324;4383;3945;3724;696;473;546;86;23;41;325;124;52;40;35;19;7;30;23;7;10;11;5;8;7;8
Ferwerderadeel;G0068;11284;Fryslân;P21;6496;5270;;3;5267;1213;2286;617;460;56;82;48;113;17;267;21;19;15;8;2;10;3;9;1;1;10;2;6;;1;0
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;4901;3990;;4;3986;1127;1053;740;524;145;54;136;59;31;18;20;29;15;5;2;4;2;1;6;1;0;3;4;4;1;2
Franekeradeel;G0070;10404;Fryslân;P21;15338;12469;;37;12432;3715;3807;1831;1451;376;315;124;302;19;193;56;57;35;39;2;22;32;10;9;12;9;6;4;;3;3
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7058;5995;;21;5974;1121;2510;900;636;137;100;63;205;149;46;10;25;11;12;4;2;13;9;4;5;2;3;4;;1;2
Gasselte;G0115;11099;Drenthe;P22;3339;2810;;12;2798;1260;383;533;353;58;77;38;12;3;23;7;18;6;2;1;2;4;4;3;1;3;0;6;;1;0
Geertruidenberg;G0779;10101;Noord-Brabant;P30;5034;3787;;18;3769;1001;725;709;687;221;89;104;8;12;9;37;64;12;17;28;6;3;6;7;3;2;9;1;5;2;2
Geldermalsen;G0236;10881;Gelderland;P25;17123;14311;;20;14291;3178;3067;3393;1893;295;277;487;195;1081;119;81;73;55;23;5;6;2;15;15;;9;12;3;;5;2
Geldrop;G0781;10529;Noord-Brabant;P30;20445;15804;;25;15779;3269;4082;2660;2893;1329;452;380;81;28;58;175;112;39;60;35;9;8;9;14;;10;47;2;4;15;8
Geleen;G0906;10048;Limburg;P31;26343;18818;;21;18797;5088;4718;2404;2411;1320;1144;704;57;25;61;193;257;68;125;88;41;10;3;16;11;15;16;2;;13;7
Gemert;G0782;10277;Noord-Brabant;P30;13818;10752;;24;10728;2543;3669;1456;1449;417;290;234;23;16;23;191;212;33;44;35;17;8;2;11;;15;7;15;2;7;9
Gendringen;G0237;10260;Gelderland;P25;15346;12443;;17;12426;3123;4886;1462;1726;374;270;186;42;8;31;81;108;25;22;19;12;2;3;20;5;3;6;2;;6;4
Gendt;G0238;10440;Gelderland;P25;5352;4261;;18;4243;1203;1368;595;754;112;75;51;2;2;4;13;23;9;9;3;3;0;3;5;1;3;1;3;;1;0
Genemuiden;G0154;10746;Overijssel;P23;5447;4537;;10;4527;663;897;342;183;40;21;52;881;1311;81;9;14;7;1;1;0;0;2;3;4;2;2;10;;1;0
Gennep;G0907;10542;Limburg;P31;12673;9317;;21;9296;2305;3000;1369;1538;365;229;188;30;10;27;39;89;23;24;7;11;0;11;8;6;4;5;0;;4;4
Giessenlanden;G0689;10255;Zuid-Holland;P28;10556;9401;;21;9380;1949;2092;2162;1295;148;119;166;837;410;70;27;33;14;6;10;5;2;8;12;1;3;3;1;4;0;3
Gieten;G0116;10506;Drenthe;P22;4677;3988;;10;3978;1597;417;1002;599;101;77;35;34;3;16;12;30;3;8;1;5;4;13;4;2;0;2;5;;4;4
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;17412;14013;;58;13955;2952;3830;2726;2453;569;262;458;39;24;26;217;160;58;43;24;8;7;17;30;4;9;19;1;5;8;6
Goedereede;G0511;10981;Zuid-Holland;P28;8193;7308;;23;7285;1071;1462;1251;613;102;67;110;500;1907;93;27;24;16;6;5;6;1;4;6;2;3;4;0;3;1;1
Goes;G0664;10674;Zeeland;P29;25579;20459;;76;20383;4771;4358;3481;3105;680;741;376;535;1386;303;103;213;103;73;47;15;11;18;19;;14;11;12;;4;4
Goirle;G0785;10971;Noord-Brabant;P30;14045;11065;;16;11049;2566;2742;1994;2052;591;382;201;23;13;27;212;89;34;30;6;12;6;9;11;3;20;12;1;4;4;5
Goor;G0156;10076;Overijssel;P23;9227;7624;;18;7606;2437;1891;1398;1050;138;116;111;70;13;32;124;133;25;16;11;8;4;8;7;2;7;2;1;;2;0
Gorinchem;G0512;10942;Zuid-Holland;P28;22447;17955;;54;17901;5174;2684;3472;3187;682;517;495;540;361;223;146;113;105;42;42;17;14;6;10;9;7;30;5;9;8;3
Gorssel;G0239;10085;Gelderland;P25;10686;9260;;21;9239;2037;2350;2718;1396;179;162;75;60;10;67;20;36;19;30;7;13;7;17;11;4;3;9;7;;0;2
Gouda;G0513;10302;Zuid-Holland;P28;50067;40188;;79;40109;9300;6508;8457;7118;1300;1470;1687;1003;1314;602;305;298;248;119;61;64;25;14;42;60;28;44;17;;13;12
Graafstroom;G0693;10451;Zuid-Holland;P28;6672;5936;;23;5913;714;1905;909;464;46;56;93;577;1022;78;13;7;8;1;0;6;0;5;4;1;0;1;0;0;1;2
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4668;3999;;10;3989;925;833;1222;610;114;112;47;3;2;4;25;24;9;30;1;1;8;1;2;2;6;0;1;5;2;0
Gramsbergen;G0157;11339;Overijssel;P23;4603;4078;;13;4065;1116;1596;465;326;62;46;36;73;5;173;3;20;3;4;1;0;2;121;0;1;0;0;10;;2;0
Grave;G0786;10165;Noord-Brabant;P30;9080;7217;;21;7196;1466;2069;1308;1368;320;244;125;13;12;13;142;51;9;9;22;5;3;5;3;;4;1;1;1;2;0
Groenlo;G0240;11094;Gelderland;P25;6841;5650;;14;5636;1257;2343;805;747;112;108;80;4;8;8;20;83;4;8;3;8;2;9;9;2;5;9;0;;0;2
Groesbeek;G0241;10616;Gelderland;P25;14648;11563;;60;11503;3783;3275;1448;1491;428;352;304;36;8;27;111;108;24;22;21;13;4;11;9;;6;5;7;;6;4
Groningen;G0014;10426;Groningen;P20;141219;110714;;139;110575;36699;12253;16281;21012;2817;8596;1002;1033;136;4369;3820;620;199;315;161;224;397;45;90;51;231;67;23;;110;24
