RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Westerschouwen;G0725;10701;Zeeland;P29;3551;4059;17;;4042;1301;996;1181;196;171;16;43;19;17;15;37;33;12;4;;;1;;;;;;;
Westervoort;G0293;11085;Gelderland;P25;4565;4114;21;;4093;1427;1563;618;252;11;11;86;14;25;19;16;8;11;22;9;;;1;;;;;;
Westkapelle;G0726;10931;Zeeland;P29;1822;1724;7;;1717;594;490;268;39;237;3;15;23;2;15;8;17;3;1;1;;;;1;;;;;
Westmaas;G0631;10695;Zuid-Holland;P28;1378;1255;4;;1251;336;354;365;83;47;2;12;6;12;7;5;14;5;;2;1;;;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;16363;14679;102;;14577;6546;3836;2375;631;46;311;173;69;91;216;108;81;27;31;14;14;1;5;2;;;;;
Westwoud;G0460;11101;Noord-Holland;P27;1268;1122;12;;1110;243;537;174;69;;19;26;2;13;7;5;;4;10;1;;;;;;;;;
Wierden;G0189;10676;Overijssel;P23;13145;12530;26;;12504;1818;7345;1384;364;677;25;105;76;33;150;36;404;14;59;10;;1;1;2;;;;;
Wieringen;G0462;11277;Noord-Holland;P27;5607;4946;52;;4894;2146;756;1239;286;7;202;58;22;45;36;61;9;11;4;1;;1;3;1;6;;;;
Wieringermeer;G0463;10239;Noord-Holland;P27;7800;7130;42;;7088;2032;2626;1545;336;38;102;118;41;68;37;34;65;13;21;2;;4;1;;5;;;;
Wijchen;G0296;10723;Gelderland;P25;14072;12567;41;;12526;3263;6420;1584;613;1;49;206;6;69;134;44;1;11;50;75;;;;;;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;788;726;5;;721;198;187;188;63;2;14;16;1;7;12;13;4;2;10;;;2;;1;1;;;;
Wijhe;G0190;10888;Overijssel;P23;4706;4446;9;;4437;1370;2099;592;128;31;9;47;39;8;59;9;34;2;9;1;;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;5318;4681;29;;4652;1439;1593;1002;291;32;34;85;12;38;24;24;11;9;22;33;2;1;;;;;;;
Wijlre;G0991;10131;Limburg;P31;2507;2301;21;;2280;543;1183;298;60;2;27;46;3;17;33;10;5;4;44;3;;1;;1;;;;;
Wijnandsrade;G0992;10992;Limburg;P31;1016;974;4;;970;250;444;150;26;2;3;60;;7;4;6;;;14;2;;2;;;;;;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;395;379;4;;375;40;143;31;11;117;1;4;10;1;5;6;5;;;1;;;;;;;;;
Willemstad;G0872;10827;Noord-Brabant;P30;1979;1862;10;;1852;675;663;323;91;22;12;15;7;3;7;9;20;2;1;;;1;;1;;;;;
Willeskop;G0349;10758;Utrecht;P26;597;551;4;;547;75;302;77;12;50;1;4;;1;17;;;;7;1;;;;;;;;;
Wilnis;G0350;10365;Utrecht;P26;3431;3168;31;;3137;376;1531;754;151;108;16;55;26;10;30;8;54;9;6;2;;;1;;;;;;
Winschoten;G0052;10453;Groningen;P20;14702;12781;66;;12715;6445;2276;1853;421;21;1015;159;125;91;40;72;124;43;12;6;;4;6;2;;;;;
Winsum;G0053;11135;Groningen;P20;3306;3171;8;;3163;1085;1216;455;152;3;5;82;94;20;8;13;25;2;1;;;;;2;;;;;
Winterswijk;G0294;11119;Gelderland;P25;18996;17161;75;;17086;7040;4356;3794;780;48;84;238;71;108;217;113;75;40;82;30;;1;6;3;;;;;
Wisch;G0295;10318;Gelderland;P25;12820;11050;43;;11007;3051;4770;2038;373;36;24;156;26;80;262;77;34;19;44;10;;3;2;2;;;;;
Wissenkerke;G0727;10243;Zeeland;P29;2256;2089;7;;2082;465;954;290;92;158;6;18;43;6;19;7;17;2;1;1;;2;;1;;;;;
Wittem;G0990;11371;Limburg;P31;4732;4486;35;;4451;1086;2435;537;107;6;23;62;5;32;52;24;1;9;60;;;7;1;4;;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;6179;5322;47;;5275;1803;1860;1085;227;5;23;53;3;26;90;27;4;14;30;4;13;5;2;1;;;;;
Woerden;G0632;10974;Zuid-Holland;P28;14749;13278;66;;13212;2953;5367;2680;725;595;44;221;113;68;84;94;64;41;57;94;2;4;4;2;;;;;
