RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid (P.v.d.A.);GL;SP (Socialistische Partij);Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Rozenburg;G0600;11314;Zuid-Holland;P28;10152;7911;;10;7901;1877;2136;1053;1034;317;373;472;218;50;285;57;14;9;3;3;
Rozendaal;G0277;10684;Gelderland;P25;1210;1127;;0;1127;284;150;390;109;67;37;74;6;4;5;0;0;0;1;0;
Rucphen;G0840;11152;Noord-Brabant;P30;17959;12029;;7;12022;3520;3667;1746;1533;410;496;283;33;5;268;37;9;3;10;2;
Ruurlo;G0278;10879;Gelderland;P25;6465;5408;;7;5401;1833;588;1357;913;196;196;216;23;8;55;7;5;0;3;1;
Sas van Gent;G0704;11405;Zeeland;P29;6016;4333;;2;4331;1281;886;658;691;227;175;255;28;24;63;35;;2;3;3;
Sassenheim;G0604;10612;Zuid-Holland;P28;11065;9522;;14;9508;3458;1626;1829;893;464;395;559;87;19;145;18;7;2;6;0;
Schagen;G0441;10511;Noord-Holland;P27;13452;10808;;8;10800;2387;1647;2274;1760;849;702;680;86;16;277;83;16;20;;3;
Scheemda;G0039;10711;Groningen;P20;11095;8839;;6;8833;2189;1176;927;2444;640;528;337;374;22;154;28;5;1;6;2;
Schermer;G0458;10308;Noord-Holland;P27;3621;3157;;13;3144;1017;506;576;405;203;172;176;21;2;52;14;0;0;;0;
Scherpenzeel;G0279;11146;Gelderland;P25;6615;5822;;1;5821;1974;766;814;483;130;127;156;363;915;74;15;1;0;2;1;
Schiedam;G0606;11260;Zuid-Holland;P28;55835;41745;;56;41689;8227;11935;5278;7149;2401;2864;1697;507;181;910;266;56;171;39;8;
Schiermonnikoog;G0088;10355;Fryslân;P21;826;987;;0;987;290;90;172;189;86;66;69;16;4;4;1;;0;0;0;
Schijndel;G0844;11178;Noord-Brabant;P30;17463;13190;;34;13156;4268;2315;1925;1526;762;1368;577;18;15;209;138;9;1;23;2;
Schinnen;G0962;10132;Limburg;P31;10392;8401;;5;8396;3737;1295;942;960;543;352;344;45;1;133;32;8;1;2;1;
Schipluiden;G0607;10130;Zuid-Holland;P28;7956;7189;;9;7180;3189;1102;1132;537;315;279;343;139;35;96;6;0;0;5;2;
Schoonhoven;G0608;10980;Zuid-Holland;P28;9080;7743;;12;7731;2209;1422;1186;940;490;381;397;295;234;133;20;15;2;5;2;
Schouwen-Duiveland;G1676;10843;Zeeland;P29;26522;22907;;83;22824;6143;3873;4055;3118;916;900;790;793;1762;366;78;;1;23;6;
Sevenum;G0964;10045;Limburg;P31;5483;4442;;7;4435;2342;548;482;335;212;250;166;13;1;58;24;0;1;3;0;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6922;5747;;3;5744;1760;1088;722;950;154;244;193;197;321;95;14;2;1;2;1;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;352474;252723;;596;252127;45077;57446;47749;41794;20183;13860;15810;3237;1345;3228;903;437;830;112;53;63
's-Gravenzande;G0519;10640;Zuid-Holland;P28;14463;12385;;5;12380;4863;2734;2064;892;238;276;315;351;425;185;22;6;3;4;2;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;99697;76818;;96;76722;18536;14704;12393;10699;7252;6510;4503;383;73;1113;319;86;51;80;20;
Simpelveld;G0965;10515;Limburg;P31;8563;6428;;4;6424;2777;1209;545;881;334;278;204;15;3;142;25;3;1;5;2;
Sint Anthonis;G1702;11415;Noord-Brabant;P30;8546;7337;;18;7319;3822;940;781;645;405;348;230;9;5;74;37;9;4;7;3;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;21211;17025;;16;17009;6231;2772;2474;2027;1033;1162;859;46;6;275;75;20;8;17;4;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12902;10680;;15;10665;4453;1657;1520;1175;592;573;417;28;4;151;60;14;2;17;2;
Sittard-Geleen;G1883;11230;Limburg;P31;74739;54708;;93;54615;18948;9937;5919;7242;4806;2902;2275;214;37;1733;347;183;28;32;12;
Skarsterlân;G0051;10022;Fryslân;P21;20236;16998;;16;16982;6665;2034;2182;3075;960;672;677;325;44;266;51;;6;20;5;
Sliedrecht;G0610;11331;Zuid-Holland;P28;17886;14674;;12;14662;3524;2451;1490;2179;452;618;442;1087;2098;259;30;8;19;5;0;
Slochteren;G0040;10747;Groningen;P20;11380;9140;;13;9127;1946;1219;1345;2047;542;400;482;844;88;153;40;7;2;10;2;
Sluis-Aardenburg;G1698;11020;Zeeland;P29;4613;3668;;4;3664;1189;682;763;507;148;140;154;10;8;40;14;;6;2;1;
Smallingerland;G0090;10405;Fryslân;P21;40201;32840;;35;32805;10311;3544;3298;7108;2177;1910;1369;2272;249;426;104;;9;19;9;
Sneek;G0091;11421;Fryslân;P21;24531;19274;;15;19259;5785;2571;2776;3772;1343;1125;932;548;31;289;60;;6;19;2;
Soest;G0342;11021;Utrecht;P26;33518;27910;;23;27887;7709;4947;6158;2816;1707;1225;1616;786;271;459;105;44;31;13;;
Someren;G0847;10203;Noord-Brabant;P30;13498;10856;;12;10844;4872;2110;1455;844;405;515;322;39;8;201;54;6;3;7;3;
Son en Breugel;G0848;10549;Noord-Brabant;P30;11287;9492;;4;9488;3412;1666;1930;785;503;441;516;60;2;122;39;2;2;8;0;
Spijkenisse;G0612;10735;Zuid-Holland;P28;56535;43235;;56;43179;8057;13447;6403;6505;2163;2325;1859;716;271;1023;222;113;23;32;20;
Stadskanaal;G0037;10610;Groningen;P20;26054;19284;;21;19263;6184;2439;1730;4437;836;864;515;1699;88;377;44;20;6;17;7;
Staphorst;G0180;11362;Overijssel;P23;10560;9612;;3;9609;2648;617;784;567;126;102;157;1648;2829;90;12;5;0;10;14;
Stede Broec;G0532;11337;Noord-Holland;P27;15813;12912;;12;12900;3821;2503;2120;1546;838;740;704;104;15;393;92;10;10;;4;
Steenbergen;G0851;10731;Noord-Brabant;P30;18057;13543;;15;13528;4198;2886;2206;1808;531;636;604;151;193;244;56;8;2;4;1;
Steenderen;G0280;10497;Gelderland;P25;3796;3344;;10;3334;1544;333;472;512;130;143;106;34;6;40;9;2;0;2;1;
Steenwijk;G0181;10546;Overijssel;P23;31645;26261;;28;26233;8945;3396;3482;4906;1235;1057;1036;1461;144;397;90;20;20;36;8;
Stein;G0971;11319;Limburg;P31;20932;15664;;18;15646;5934;3295;1638;1892;998;731;637;47;15;309;83;31;11;16;9;
Strijen;G0617;10558;Zuid-Holland;P28;7099;5990;;7;5983;1709;1307;978;736;223;260;219;168;240;111;19;7;1;4;1;
Susteren;G0974;10457;Limburg;P31;10049;7697;;16;7681;3132;1295;881;1027;454;328;345;25;4;132;37;10;0;8;3;
Swalmen;G0975;10474;Limburg;P31;6679;4637;;4;4633;1692;823;655;601;261;226;211;6;3;90;40;11;12;1;1;
Ten Boer;G0009;10891;Groningen;P20;5270;4601;;9;4592;1286;472;526;841;285;276;179;584;66;50;19;6;1;1;0;
Ter Aar;G0480;11104;Zuid-Holland;P28;6621;5634;;4;5630;2309;1111;924;419;246;167;233;65;51;88;11;2;1;3;0;
Terneuzen;G0715;10704;Zeeland;P29;25625;19270;;17;19253;5446;3450;2559;2770;949;865;818;1006;991;267;99;;17;14;2;
Terschelling;G0093;11210;Fryslân;P21;3768;4094;;4;4090;978;599;869;740;290;239;228;56;8;60;20;;0;1;2;
Texel;G0448;10237;Noord-Holland;P27;10276;10118;;12;10106;2790;1531;1800;1422;830;741;536;141;56;204;48;2;5;;0;
Tholen;G0716;10376;Zeeland;P29;17273;14213;;8;14205;3419;2192;1406;1686;383;429;314;802;3256;261;35;;6;10;6;
Thorn;G0977;11195;Limburg;P31;2011;1623;;25;1598;669;299;185;208;85;60;60;5;1;20;3;1;1;1;0;
Tiel;G0281;10027;Gelderland;P25;28695;21762;;31;21731;4768;4357;3898;4271;1373;1039;971;317;171;412;70;26;45;13;;
Tilburg;G0855;10792;Noord-Brabant;P30;148228;103529;;134;103395;27084;18275;15266;13663;9702;8885;6203;525;165;1719;1102;265;311;157;73;
Tubbergen;G0183;10694;Overijssel;P23;14657;12649;;11;12638;8755;1246;978;707;269;267;214;22;21;140;14;2;0;2;1;
Tynaarlo;G1730;10002;Drenthe;P22;24224;20286;;14;20272;4037;2389;4670;4223;1583;974;1373;593;31;308;55;11;3;18;4;
Tytsjerksteradiel;G0737;11241;Fryslân;P21;23852;20223;;25;20198;8394;2187;2151;3453;1187;852;738;776;148;254;37;;9;9;3;
Ubbergen;G0282;10408;Gelderland;P25;7289;6103;;6;6097;1962;735;903;999;584;455;335;22;5;61;23;9;1;3;;
Uden;G0856;11141;Noord-Brabant;P30;30199;23597;;29;23568;8044;3987;4024;2277;1260;2237;1110;89;16;356;86;35;10;29;8;
Uitgeest;G0450;11238;Noord-Holland;P27;8667;7397;;7;7390;1990;1239;1410;1043;518;458;436;52;7;183;45;5;1;;3;
Uithoorn;G0451;11206;Noord-Holland;P27;19683;16593;;14;16579;4485;2985;3973;1926;872;753;967;175;22;289;98;;9;14;11;
Urk;G0184;10783;Flevoland;P24;9986;8814;;2;8812;2932;484;59;38;11;33;23;2074;3136;13;1;3;1;;4;
Utrecht;G0344;10722;Utrecht;P26;196586;153390;;548;152842;26533;21140;22920;27969;21867;14346;12159;2182;521;2283;418;154;259;91;;
Vaals;G0981;10007;Limburg;P31;6145;4397;;4;4393;1759;817;394;782;248;136;129;21;3;69;26;5;1;2;1;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2719;2328;;2;2326;1022;380;321;173;72;50;60;183;28;34;3;0;0;0;0;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;14303;11454;;6;11448;5924;1842;1135;902;507;606;356;45;7;79;27;9;2;6;1;
Valkenswaard;G0858;11031;Noord-Brabant;P30;23945;19076;;25;19051;6422;3535;3232;2085;1077;1266;862;88;11;264;130;18;2;50;9;
Veendam;G0047;11292;Groningen;P20;21885;16315;;16;16299;2949;2416;2342;4889;1074;888;776;437;17;349;71;19;44;22;6;
Veenendaal;G0345;11052;Utrecht;P26;43279;36185;;35;36150;11617;5152;4769;3310;1585;1098;1017;3870;3179;431;63;26;16;17;;
Veere;G0717;10369;Zeeland;P29;16499;15062;;5;15057;5240;1633;2325;1369;739;485;520;655;1820;209;48;;4;7;3;
Veghel;G0860;10985;Noord-Brabant;P30;26616;21369;;23;21346;8702;3440;3259;2239;1021;1211;919;55;19;331;76;18;20;33;3;
Veldhoven;G0861;10071;Noord-Brabant;P30;31941;25583;;36;25547;8632;4355;4410;2652;1439;1809;1366;215;16;454;110;26;6;47;10;
Velsen;G0453;10620;Noord-Holland;P27;50476;40407;;53;40354;9370;8076;7124;6299;2505;2581;2178;815;99;969;278;;11;36;13;
Venhuizen;G0454;10433;Noord-Holland;P27;5771;4915;;11;4904;1354;899;1181;551;246;249;241;23;6;133;16;3;1;;1;
Venlo;G0983;10477;Limburg;P31;67093;48167;;62;48105;15674;10297;7158;5690;3656;2082;2054;185;44;783;285;70;71;37;19;
Venray;G0984;11222;Limburg;P31;28380;21373;;18;21355;8308;3508;2823;2523;1379;1243;998;58;14;293;126;39;26;11;6;
Vianen;G0620;10887;Utrecht;P26;14563;12003;;14;11989;3474;2321;1725;1758;623;640;532;233;366;270;26;10;4;7;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;56770;43295;;50;43245;10175;10894;5706;6715;2249;2963;1775;892;789;776;179;49;43;25;15;
Vlagtwedde;G0048;11249;Groningen;P20;13052;9672;;10;9662;2860;1570;1130;2325;508;479;334;235;26;156;28;3;2;6;0;
Vlieland;G0096;10211;Fryslân;P21;861;977;;3;974;178;140;262;148;79;56;55;9;8;21;16;;0;2;0;
Vlissingen;G0718;10270;Zeeland;P29;34529;25455;;31;25424;6359;5044;3613;4018;1655;1791;1147;634;460;492;151;;32;20;8;
Vlist;G0623;11174;Zuid-Holland;P28;7371;6417;;6;6411;1904;1119;1010;708;203;214;286;243;554;122;28;7;1;10;2;
Voerendaal;G0986;11341;Limburg;P31;10203;8219;;6;8213;3675;1319;946;989;414;381;363;20;5;85;6;4;1;4;1;
Voorhout;G0625;10017;Zuid-Holland;P28;10079;8874;;14;8860;2967;1461;2043;748;499;392;533;69;21;100;14;5;4;4;0;
Voorschoten;G0626;10537;Zuid-Holland;P28;16388;14084;;17;14067;3959;2180;3456;1457;991;552;999;169;78;152;49;15;4;4;2;
Voorst;G0285;10912;Gelderland;P25;17985;14827;;11;14816;5781;1637;2442;2304;781;533;692;143;211;215;47;9;4;15;2;
Vorden;G0286;10957;Gelderland;P25;6667;5739;;5;5734;2309;597;1060;794;289;255;275;62;12;66;10;3;1;1;0;
Vriezenveen;G0186;10643;Overijssel;P23;24783;20053;;10;20043;9951;1829;1263;2718;543;540;390;1892;621;233;36;8;7;5;7;
Vught;G0865;11224;Noord-Brabant;P30;19156;15425;;26;15399;4765;2192;3056;1993;1122;954;986;61;14;170;56;10;7;13;0;
Waalre;G0866;10959;Noord-Brabant;P30;12171;10405;;11;10394;3511;1609;2436;985;523;500;555;49;5;127;42;7;3;40;2;
Waalwijk;G0867;11359;Noord-Brabant;P30;34806;26705;;26;26679;8482;5155;4153;2988;1476;1546;1081;499;575;456;171;33;22;36;6;
Waddinxveen;G0627;10081;Zuid-Holland;P28;19632;16579;;17;16562;4730;3006;2612;1709;622;522;841;1074;1061;281;54;22;9;15;4;
Wageningen;G0289;11010;Gelderland;P25;25600;20899;;0;20899;4386;1725;2838;4104;3212;1831;1571;661;256;215;45;25;17;8;5;
Warmond;G0628;10204;Zuid-Holland;P28;3857;3319;;5;3314;1189;578;638;286;163;151;216;13;11;52;13;2;1;1;0;
Warnsveld;G0291;10838;Gelderland;P25;6867;5767;;7;5760;1535;566;1093;1066;441;410;430;134;9;62;6;3;1;3;1;
Wassenaar;G0629;10164;Zuid-Holland;P28;17876;15412;;22;15390;4126;2894;5586;925;526;369;629;97;30;145;39;15;2;5;2;
Wateringen;G0630;11329;Zuid-Holland;P28;11928;10202;;13;10189;3891;2352;1823;732;328;294;401;100;26;202;27;6;3;4;0;
Waterland;G0852;10983;Noord-Holland;P27;13059;11501;;12;11489;2944;2299;2123;1555;768;702;623;112;22;254;74;7;0;;6;
Weert;G0988;11081;Limburg;P31;36660;27748;;37;27711;8509;5735;5558;3183;1366;1439;1206;99;16;419;119;28;15;18;1;
Weesp;G0457;10773;Noord-Holland;P27;13559;10951;;5;10946;2466;1994;1979;1677;850;726;644;118;41;213;218;;8;7;5;
Wehl;G0292;11116;Gelderland;P25;5127;4008;;3;4005;1952;604;378;574;161;155;110;5;5;40;12;2;3;3;1;
Werkendam;G0870;10078;Noord-Brabant;P30;19589;16329;;13;16316;5884;2611;1866;1726;490;521;427;777;1728;224;38;10;2;10;2;
Wervershoof;G0459;11270;Noord-Holland;P27;6226;5350;;8;5342;2137;1063;780;441;266;196;231;24;6;156;31;4;4;;3;
West Maas en Waal;G0668;10042;Gelderland;P25;14108;11801;;5;11796;4519;2071;1790;1476;635;624;434;31;8;148;41;13;3;3;;
Wester-Koggenland;G0558;10354;Noord-Holland;P27;10175;8655;;14;8641;3149;1306;1713;922;414;427;391;30;8;230;39;7;0;;5;
Westerveld;G1701;10186;Drenthe;P22;14847;12870;;11;12859;2840;1647;2751;3185;764;620;615;156;37;198;28;8;3;6;1;
Westervoort;G0293;11085;Gelderland;P25;11749;9322;;7;9315;2428;1533;1393;1602;832;618;546;146;10;163;26;13;0;4;1;
Weststellingwerf;G0098;11322;Fryslân;P21;19663;15431;;18;15413;4149;2437;2342;3589;894;817;561;248;35;269;49;;1;18;4;
Westvoorne;G0614;10009;Zuid-Holland;P28;11026;9256;;6;9250;2098;2261;2353;1105;286;345;470;52;50;186;31;1;4;5;3;
Wierden;G0189;10676;Overijssel;P23;17359;15206;;5;15201;7993;1495;1642;1280;453;353;359;1048;393;136;29;9;3;7;1;
Wieringen;G0462;11277;Noord-Holland;P27;6499;5106;;6;5100;979;1044;1019;857;237;338;222;31;5;126;235;5;1;;1;
Wieringermeer;G0463;10239;Noord-Holland;P27;9497;7961;;9;7952;2588;1485;1424;914;339;364;340;202;51;171;62;2;2;;8;
