RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid (P.v.d.A.);GL;SP (Socialistische Partij);Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Woudrichem;G0874;10282;Noord-Brabant;P30;10792;8972;;10;8962;3631;1226;1016;909;278;345;258;807;356;116;11;2;2;5;0;
Wûnseradiel;G0710;10454;Fryslân;P21;8759;7488;;2;7486;3124;1004;909;1082;389;418;265;144;14;110;15;;1;11;0;
Wymbritseradiel;G0683;11427;Fryslân;P21;11787;10116;;6;10110;4941;1036;1226;1075;606;407;377;254;30;135;18;;1;4;0;
Zaanstad;G0479;11044;Noord-Holland;P27;102645;81235;;115;81120;15023;15847;12935;14512;6930;6947;4577;1141;213;2072;547;121;218;;37;
Zaltbommel;G0297;10557;Gelderland;P25;18754;15534;;15;15519;4120;2010;2265;2126;743;628;621;818;1965;164;34;13;2;10;;
Zandvoort;G0473;10910;Noord-Holland;P27;13234;10561;;15;10546;1879;2775;2593;1320;502;491;575;44;4;199;147;;11;4;2;
Zederik;G0707;10618;Zuid-Holland;P28;9985;8966;;20;8946;3405;1161;987;974;170;203;214;663;1045;99;19;2;3;1;0;
Zeevang;G0478;11121;Noord-Holland;P27;4753;4087;;12;4075;661;714;1181;593;278;249;250;15;4;86;39;3;0;;2;
Zeewolde;G0050;10012;Flevoland;P24;12215;10583;;4;10579;2974;1768;2356;934;555;337;482;866;96;186;17;8;0;;0;
Zeist;G0355;10324;Utrecht;P26;45387;37080;;39;37041;8720;6056;7156;4669;3341;2201;2211;1075;816;610;102;62;9;13;;
Zelhem;G0298;11159;Gelderland;P25;8693;6938;;4;6934;2611;868;1129;1143;292;271;284;101;113;97;20;0;1;3;1;
Zevenaar;G0299;10938;Gelderland;P25;20376;16187;;11;16176;5550;2378;2418;2490;1046;966;893;95;20;230;57;21;0;10;2;
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7313;6406;;8;6398;1717;1161;1020;720;147;132;226;369;768;106;22;3;0;3;4;
Zijpe;G0476;10004;Noord-Holland;P27;8554;7201;;10;7191;1984;1190;1483;1069;414;372;350;45;8;206;56;4;4;;6;
Zoetermeer;G0637;10766;Zuid-Holland;P28;82029;65993;;71;65922;15158;13119;12224;9142;3991;4107;4669;1365;659;1089;179;145;37;32;6;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6359;5323;;8;5315;2079;893;799;493;353;251;296;23;42;66;13;4;1;2;0;
Zuidhorn;G0056;10021;Groningen;P20;13179;11666;;22;11644;3931;932;1267;1844;751;503;426;1693;139;112;30;5;4;7;0;
Zundert;G0879;11192;Noord-Brabant;P30;15141;11194;;14;11180;4370;1993;1869;1186;500;507;423;42;3;226;43;5;4;8;1;
Zutphen;G0301;10254;Gelderland;P25;27304;21695;;32;21663;4326;2732;2955;4880;2375;2080;1391;487;34;277;62;32;19;9;4;
Zwartewaterland;G1896;10746;Overijssel;P23;15263;13257;;10;13247;4694;1114;1009;1315;330;294;237;1940;2117;162;22;5;4;3;1;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;31527;25493;;28;25465;6800;5594;3573;3427;1023;1108;1007;1253;996;465;125;40;34;8;12;
Zwolle;G0193;10093;Overijssel;P23;83543;67651;;55;67596;18387;7057;8600;12056;6862;4273;3599;5184;415;834;194;53;35;30;17;
