ElectionType,Year,Province,EligibleVoters,Votes1,ValidVotes,Party,Count,Turnout,VoteShare
Second Chamber,1959,Utrecht,379459,360990,353781,Katholieke Volkspartij (KVP),90089,0.9323299750434171,0.2546462359482279
Second Chamber,1959,Zeeland,167882,159015,155762,Katholieke Volkspartij (KVP),32807,0.9278064354725343,0.2106226165560278
Second Chamber,1959,Zuid-Holland,1582957,1497993,1464137,Katholieke Volkspartij (KVP),270177,0.9249379484092114,0.18452986298413332
Second Chamber,1959,Drenthe,170529,163660,158501,Partij van de Arbeid (P.v.d.A.),67418,0.9294665423476359,0.4253474741484281
Second Chamber,1959,Fryslân,272590,260527,256594,Partij van de Arbeid (P.v.d.A.),99391,0.9413184636266921,0.38734732690553947
Second Chamber,1959,Gelderland,697270,668694,655719,Partij van de Arbeid (P.v.d.A.),190802,0.9404090237641086,0.2909813502430157
Second Chamber,1959,Groningen,283531,268938,261576,Partij van de Arbeid (P.v.d.A.),106358,0.9225657864572128,0.4066045814600728
Second Chamber,1959,Limburg,446756,434371,420069,Partij van de Arbeid (P.v.d.A.),63114,0.9402649320882093,0.15024674517757797
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,Partij van de Arbeid (P.v.d.A.),3016,0.9929325751421608,0.24674793422236765
Second Chamber,1959,Noord-Brabant,757099,736630,718671,Partij van de Arbeid (P.v.d.A.),108893,0.9492430976662233,0.15151995836759796
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,Partij van de Arbeid (P.v.d.A.),376567,0.9265909878329631,0.3313024688859836
Second Chamber,1959,Overijssel,428400,413053,405871,Partij van de Arbeid (P.v.d.A.),121916,0.9474112978524744,0.3003811555888447
Second Chamber,1959,Utrecht,379459,360990,353781,Partij van de Arbeid (P.v.d.A.),105147,0.9323299750434171,0.29720929049327127
Second Chamber,1959,Zeeland,167882,159015,155762,Partij van de Arbeid (P.v.d.A.),45661,0.9278064354725343,0.2931459534417894
Second Chamber,1959,Zuid-Holland,1582957,1497993,1464137,Partij van de Arbeid (P.v.d.A.),533002,0.9249379484092114,0.3640383379424193
Second Chamber,1959,Drenthe,170529,163660,158501,VVD,29108,0.9294665423476359,0.1836455290502899
Second Chamber,1959,Fryslân,272590,260527,256594,VVD,26656,0.9413184636266921,0.10388395675658822
Second Chamber,1959,Gelderland,697270,668694,655719,VVD,72159,0.9404090237641086,0.11004561405114081
Second Chamber,1959,Groningen,283531,268938,261576,VVD,41804,0.9225657864572128,0.15981588524941126
Second Chamber,1959,Limburg,446756,434371,420069,VVD,10347,0.9402649320882093,0.024631667654599603
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,VVD,1186,0.9929325751421608,0.0970301889879735
Second Chamber,1959,Noord-Brabant,757099,736630,718671,VVD,30241,0.9492430976662233,0.04207905982014023
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,VVD,190387,0.9265909878329631,0.1675018871642915
Second Chamber,1959,Overijssel,428400,413053,405871,VVD,38935,0.9474112978524744,0.09592949483949334
Second Chamber,1959,Utrecht,379459,360990,353781,VVD,48872,0.9323299750434171,0.1381419578778962
Second Chamber,1959,Zeeland,167882,159015,155762,VVD,17225,0.9278064354725343,0.11058538025962687
Second Chamber,1959,Zuid-Holland,1582957,1497993,1464137,VVD,225838,0.9249379484092114,0.15424649469277807
Second Chamber,1959,Drenthe,170529,163660,158501,Anti-Revolutionaire Partij,24216,0.9294665423476359,0.15278137046453966
Second Chamber,1959,Fryslân,272590,260527,256594,Anti-Revolutionaire Partij,56289,0.9413184636266921,0.2193698995299968
Second Chamber,1959,Gelderland,697270,668694,655719,Anti-Revolutionaire Partij,59537,0.9404090237641086,0.09079651497058953
Second Chamber,1959,Groningen,283531,268938,261576,Anti-Revolutionaire Partij,43863,0.9225657864572128,0.1676874025139921
Second Chamber,1959,Limburg,446756,434371,420069,Anti-Revolutionaire Partij,4165,0.9402649320882093,0.009915037767604846
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,Anti-Revolutionaire Partij,2440,0.9929325751421608,0.19962366031252557
Second Chamber,1959,Noord-Brabant,757099,736630,718671,Anti-Revolutionaire Partij,18828,0.9492430976662233,0.026198357802109728
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,Anti-Revolutionaire Partij,84688,0.9265909878329631,0.0745082375381172
Second Chamber,1959,Overijssel,428400,413053,405871,Anti-Revolutionaire Partij,40894,0.9474112978524744,0.10075615158510956
Second Chamber,1959,Utrecht,379459,360990,353781,Anti-Revolutionaire Partij,43464,0.9323299750434171,0.12285566494526275
Second Chamber,1959,Zeeland,167882,159015,155762,Anti-Revolutionaire Partij,19491,0.9278064354725343,0.12513321606039984
Second Chamber,1959,Zuid-Holland,1582957,1497993,1464137,Anti-Revolutionaire Partij,165216,0.9249379484092114,0.11284189935777868
Second Chamber,1959,Drenthe,170529,163660,158501,Christelijk-Historische Unie,18284,0.9294665423476359,0.11535573908051053
Second Chamber,1959,Fryslân,272590,260527,256594,Christelijk-Historische Unie,41533,0.9413184636266921,0.16186270918259976
Second Chamber,1959,Gelderland,697270,668694,655719,Christelijk-Historische Unie,79755,0.9404090237641086,0.12162984449131412
Second Chamber,1959,Groningen,283531,268938,261576,Christelijk-Historische Unie,24356,0.9225657864572128,0.0931125179680093
Second Chamber,1959,Limburg,446756,434371,420069,Christelijk-Historische Unie,2750,0.9402649320882093,0.006546543544036813
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,Christelijk-Historische Unie,1887,0.9929325751421608,0.15438108484005564
Second Chamber,1959,Noord-Brabant,757099,736630,718671,Christelijk-Historische Unie,16189,0.9492430976662233,0.02252630202137
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,Christelijk-Historische Unie,56191,0.9265909878329631,0.04943666606253948
Second Chamber,1959,Overijssel,428400,413053,405871,Christelijk-Historische Unie,52543,0.9474112978524744,0.12945738917045072
Second Chamber,1959,Utrecht,379459,360990,353781,Christelijk-Historische Unie,37471,0.9323299750434171,0.10591580667135883
Second Chamber,1959,Zeeland,167882,159015,155762,Christelijk-Historische Unie,23274,0.9278064354725343,0.1494202693853443
Second Chamber,1959,Zuid-Holland,1582957,1497993,1464137,Christelijk-Historische Unie,132196,0.9249379484092114,0.0902893649979476
Second Chamber,1959,Drenthe,170529,163660,158501,Communistische Partij van Nederland,3010,0.9294665423476359,0.018990416464249437
Second Chamber,1959,Fryslân,272590,260527,256594,Communistische Partij van Nederland,5162,0.9413184636266921,0.02011738388270965
Second Chamber,1959,Gelderland,697270,668694,655719,Communistische Partij van Nederland,4127,0.9404090237641086,0.006293854532200531
Second Chamber,1959,Groningen,283531,268938,261576,Communistische Partij van Nederland,12626,0.9225657864572128,0.0482689543383185
Second Chamber,1959,Limburg,446756,434371,420069,Communistische Partij van Nederland,3124,0.9402649320882093,0.00743687346602582
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,Communistische Partij van Nederland,45,0.9929325751421608,0.003681583899206414
Second Chamber,1959,Noord-Brabant,757099,736630,718671,Communistische Partij van Nederland,3231,0.9492430976662233,0.0044957984947215065
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,Communistische Partij van Nederland,69489,0.9265909878329631,0.06113620487301892
Second Chamber,1959,Overijssel,428400,413053,405871,Communistische Partij van Nederland,9927,0.9474112978524744,0.024458510216300255
Second Chamber,1959,Utrecht,379459,360990,353781,Communistische Partij van Nederland,3034,0.9323299750434171,0.008575926915238523
Second Chamber,1959,Zeeland,167882,159015,155762,Communistische Partij van Nederland,576,0.9278064354725343,0.003697949435677508
Second Chamber,1959,Zuid-Holland,1582957,1497993,1464137,Communistische Partij van Nederland,30191,0.9249379484092114,0.02062033812409631
Second Chamber,1959,Drenthe,170529,163660,158501,Staatkundig Gereformeerde Partij (SGP),389,0.9294665423476359,0.0024542431908946946
Second Chamber,1959,Fryslân,272590,260527,256594,Staatkundig Gereformeerde Partij (SGP),1689,0.9413184636266921,0.0065823830642961255
Second Chamber,1959,Gelderland,697270,668694,655719,Staatkundig Gereformeerde Partij (SGP),23926,0.9404090237641086,0.0364881908256433
Second Chamber,1959,Groningen,283531,268938,261576,Staatkundig Gereformeerde Partij (SGP),584,0.9225657864572128,0.002232620729730556
Second Chamber,1959,Limburg,446756,434371,420069,Staatkundig Gereformeerde Partij (SGP),268,0.9402649320882093,6.379904253824967e-4
Second Chamber,1959,Niet-provinciaal ingedeeld,12310,12297,12223,Staatkundig Gereformeerde Partij (SGP),261,0.9929325751421608,0.0213531866153972
Second Chamber,1959,Noord-Brabant,757099,736630,718671,Staatkundig Gereformeerde Partij (SGP),4245,0.9492430976662233,0.005906736183872731
Second Chamber,1959,Noord-Holland,1226675,1167241,1136626,Staatkundig Gereformeerde Partij (SGP),6462,0.9265909878329631,0.005685247390082577
Second Chamber,1959,Overijssel,428400,413053,405871,Staatkundig Gereformeerde Partij (SGP),11147,0.9474112978524744,0.02746439139529555
